comm_range,n_drones,n_relay,delivered,delivered_sd,full,n,makespan
500,4,0,49.333333333333336,2.211083193570267,11,12,533.0833333333334
500,4,1,50.0,0.0,12,12,599.4166666666666
500,4,2,50.0,0.0,12,12,760.5
500,4,3,36.416666666666664,2.596739408480481,0,12,1000.0
400,4,0,40.583333333333336,10.323584110612403,4,12,853.25
400,4,1,48.416666666666664,3.5930101895516833,10,12,705.9166666666666
400,4,2,43.916666666666664,9.953712316964404,7,12,884.5
400,4,3,17.916666666666668,5.894324011755339,0,12,1000.0
300,4,0,21.0,8.831760866327848,0,12,1000.0
300,4,1,22.666666666666668,8.259674462242579,0,12,1000.0
300,4,2,18.5,10.95825411885184,1,12,988.9166666666666
300,4,3,9.333333333333334,3.5901098714230026,0,12,1000.0
250,4,0,14.416666666666666,5.648869110027442,0,12,1000.0
250,4,1,15.25,7.2009837290933145,0,12,1000.0
250,4,2,12.583333333333334,7.653521339154212,0,12,1000.0
250,4,3,7.833333333333333,2.1921577396609844,0,12,1000.0
200,4,0,10.833333333333334,3.9334745737353156,0,12,1000.0
200,4,1,9.666666666666666,3.3747427885527648,0,12,1000.0
200,4,2,8.166666666666666,3.4600899153377824,0,12,1000.0
200,4,3,5.916666666666667,2.2897719440056807,0,12,1000.0
150,4,0,7.0,2.48327740429189,0,12,1000.0
150,4,1,5.833333333333333,2.074983266331455,0,12,1000.0
150,4,2,4.583333333333333,2.0190069065976193,0,12,1000.0
150,4,3,4.166666666666667,1.9930434571835662,0,12,1000.0
