episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,n
200,15.375,2.6427968139832467,0.0,0.63509375,938.9541721321903,0,8
400,12.75,4.205650960315181,0.375,0.315125,844.2642148115358,0,8
600,15.875,3.295356581616017,0.375,0.41365625,849.8785045085431,0,8
800,14.875,3.295356581616017,0.25,0.346,774.4975913194853,0,8
1000,11.25,4.943429983321297,0.875,0.19746875000000003,658.9996235081214,0,8
1200,12.75,3.072051431861127,0.25,0.2748125,649.92641775185,0,8
1400,13.125,3.9191038516477206,0.5,0.19509375,716.1248086274061,0,8
1600,12.875,3.8547859862773186,0.5,0.21728125,661.5912910362078,0,8
1800,9.5,3.5,1.0,0.2108125,669.5315552607133,0,8
2000,8.625,4.442338910979215,0.875,0.1905625,547.382067127709,0,8
2200,6.125,4.044672421840859,1.375,0.11134375,504.8982415179748,0,8
2400,8.125,2.027159342528357,1.0,0.10346875,498.85740480122877,0,8
2600,8.375,2.9553976043842223,1.0,0.15565625,560.0625834738582,0,8
2800,5.0,3.278719262151,1.75,0.05596875,462.9670484841486,0,8
3000,6.625,3.119995993587171,1.25,0.061718749999999996,487.0871946623465,0,8
3200,5.625,2.1758618981911515,1.25,0.0185,439.65269333380127,0,8
3400,6.25,2.1065374432940898,1.25,0.028375,458.03851998107643,0,8
3600,6.125,3.3330729064933458,1.375,0.09121874999999999,488.54729904908106,0,8
3800,3.75,2.9895651857753496,2.125,0.03671875,372.72811916796525,0,8
4000,4.5,2.6457513110645907,1.625,0.0351875,400.5630394671139,0,8
4200,7.125,2.2603926650031405,1.5,0.11409375,505.06674122724473,0,8
4400,7.75,1.8540496217739157,0.75,0.06815625,504.60252443882763,0,8
4600,3.0,2.0,2.0,0.02809375,365.38827751574956,0,8
4800,4.125,2.0879116360612584,1.75,0.046531249999999996,401.1418609322706,0,8
5000,6.375,2.341874249399399,1.125,0.0636875,466.56420679377334,0,8
5200,4.375,1.653594569415369,1.625,0.028437499999999998,386.52707049775836,0,8
5400,5.375,3.2379584617471546,1.875,0.03584375,462.3280533138862,0,8
5600,2.625,1.7275343701356567,2.5,0.026,324.4249201558807,0,8
5800,3.875,2.315032397181517,2.25,0.0018125,346.5969533122955,0,8
6000,3.5,1.224744871391589,1.875,0.02621875,414.60581370217017,0,8
6200,3.0,1.8027756377319946,2.25,0.02328125,395.1254835176361,0,8
6400,4.625,2.4462982238476156,1.625,0.02040625,410.23236354102016,0,8
