episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,31.0833,4.4245,4.8333,0.0,0.506,800.4288,0,1,1266.3
100,31.4167,3.2264,4.5833,0.0,0.504,778.6051,0,1,2660.0
150,29.3333,3.7044,4.1667,0.0,0.443,728.7509,0,0,4021.7
200,28.8333,3.5079,4.0,0.0,0.4526,725.5121,0,0,5264.3
250,27.6667,3.6818,3.75,0.0,0.4436,716.8136,0,0,6601.8
300,29.3333,3.0092,3.8333,0.0,0.4511,755.6223,0,0,7905.7
350,30.8333,3.1047,4.6667,0.0,0.4782,764.3144,0,0,9210.8
400,29.5,3.5237,4.1667,0.0,0.465,725.9364,0,0,10534.7
450,28.25,4.4931,4.25,0.0,0.4637,742.413,0,0,11862.1
500,29.0833,3.303,4.5833,0.0,0.4625,714.6104,0,0,13629.0
550,28.3333,2.6247,3.9167,0.0,0.4572,714.1186,0,0,15391.7
600,26.6667,3.9861,3.5833,0.0,0.4311,728.5664,0,0,17128.1
650,29.25,3.562,4.3333,0.0,0.4735,763.7503,0,0,18842.4
700,27.0,2.5166,3.75,0.0,0.4045,715.4538,0,0,20389.6
750,28.0,4.2032,3.9167,0.0,0.4204,715.96,0,0,21621.1
800,28.3333,3.9861,4.1667,0.0,0.4074,715.996,0,0,22860.3
850,25.75,4.4745,3.6667,0.0833,0.3893,709.2526,0,0,23921.9
