episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,390.0,15.799,28,,833,0,5,24,1005,0.5933,758.9,0.2401,24,step_limit,0,1000,2.8
2,1000,370.0,31.855,29,,827,0,4,16,481,0.5735,762.5,0.1068,10,step_limit,0,2000,5.2
3,1000,370.0,17.603,29,,987,0,4,32,974,0.505,738.7,0.2409,12,step_limit,0,3000,9.0
4,1000,380.0,24.169,30,,938,0,4,27,748,0.5797,786.0,0.1689,19,step_limit,0,4000,11.7
5,1000,420.0,12.622,31,,831,0,5,18,1007,0.5595,826.9,0.2525,20,step_limit,0,5000,14.8
6,1000,400.0,42.427,29,,966,0,5,71,378,0.4763,749.4,0.0907,10,step_limit,0,6000,22.7
7,1000,340.0,8.568,29,,947,0,3,23,956,0.563,922.3,0.2321,13,step_limit,0,7000,45.0
8,1000,360.0,38.845,28,,682,0,4,130,887,0.502,772.3,0.2073,8,step_limit,0,8000,70.6
9,1000,300.0,13.0,28,,987,0,2,92,1263,0.635,1016.7,0.2978,15,step_limit,0,9000,97.4
10,1000,460.0,32.26,35,,891,0,5,54,501,0.5457,805.0,0.1098,7,step_limit,0,10000,124.2
11,1000,340.0,77.219,26,,913,0,4,333,1317,0.533,753.9,0.33,11,step_limit,0,11000,151.5
12,1000,380.0,51.87,30,,914,0,4,166,926,0.543,749.5,0.2197,49,step_limit,0,12000,178.7
13,1000,410.0,12.7,30,,826,0,5,71,1261,0.5383,771.9,0.3211,93,step_limit,0,13000,204.6
14,1000,430.0,15.107,32,,987,0,5,29,836,0.5445,811.8,0.2058,25,step_limit,0,14000,231.8
15,1000,360.0,24.158,28,,952,0,4,139,1318,0.5225,765.4,0.3272,71,step_limit,0,15000,259.6
16,1000,340.0,-3.67,26,,598,0,4,21,1403,0.5605,739.8,0.3495,100,step_limit,0,16000,287.2
17,1000,410.0,58.81,33,,986,0,4,148,586,0.5242,1005.8,0.1309,7,step_limit,0,17000,314.7
18,1000,480.0,22.337,34,,951,0,6,27,730,0.598,987.3,0.1778,11,step_limit,0,18000,341.2
19,1000,260.0,-4.93,21,,989,0,3,23,1187,0.5112,785.7,0.2904,17,step_limit,0,19000,369.2
20,1000,420.0,29.072,34,,973,0,4,42,736,0.5343,893.6,0.1807,32,step_limit,0,20000,397.5
21,1000,400.0,27.575,29,,875,0,5,28,497,0.5015,788.5,0.1117,10,step_limit,0,21000,424.4
22,1000,450.0,29.453,34,,985,0,5,32,578,0.5278,823.7,0.136,10,step_limit,0,22000,452.5
23,1000,380.0,14.244,33,,960,0,3,22,821,0.63,990.6,0.1912,12,step_limit,0,23000,480.3
24,1000,340.0,24.349,29,,960,0,3,44,1032,0.539,758.3,0.2497,15,step_limit,0,24000,506.4
25,1000,340.0,8.549,29,,937,0,3,18,1048,0.562,871.2,0.2609,22,step_limit,0,25000,534.1
26,1000,440.0,13.233,36,,991,0,4,24,1024,0.6405,990.0,0.2447,10,step_limit,0,26000,562.0
27,1000,410.0,23.006,30,,888,0,5,39,812,0.5145,884.0,0.1874,9,step_limit,0,27000,590.2
28,1000,370.0,41.586,29,,926,0,4,88,730,0.5333,979.7,0.161,10,step_limit,0,28000,618.1
29,1000,440.0,26.775,33,,949,0,5,30,805,0.528,852.5,0.203,10,step_limit,0,29000,645.8
30,1000,520.0,18.423,38,,978,0,6,30,988,0.619,873.0,0.2551,19,step_limit,0,30000,672.4
31,1000,440.0,17.999,36,,966,0,4,39,869,0.583,864.5,0.205,20,step_limit,0,31000,700.0
32,1000,420.0,38.683,31,,939,0,5,59,560,0.454,802.2,0.1327,12,step_limit,0,32000,727.6
33,1000,470.0,29.729,36,,894,0,5,34,684,0.5743,852.3,0.1702,10,step_limit,0,33000,755.3
34,1000,490.0,21.849,35,,974,0,6,28,631,0.514,803.4,0.1602,11,step_limit,0,34000,782.6
35,1000,430.0,7.796,32,,697,0,5,22,1263,0.5667,860.6,0.3163,36,step_limit,0,35000,809.2
36,1000,380.0,19.327,30,,965,0,4,37,849,0.4858,939.0,0.206,11,step_limit,0,36000,836.7
37,1000,410.0,9.863,30,,956,0,5,19,1027,0.497,808.6,0.2614,14,step_limit,0,37000,863.2
38,1000,380.0,23.306,30,,996,0,4,57,968,0.5082,913.7,0.2313,37,step_limit,0,38000,891.2
39,1000,470.0,27.699,33,,954,0,6,34,725,0.5425,886.3,0.164,14,step_limit,0,39000,920.0
40,1000,410.0,38.93,33,,948,0,4,49,630,0.576,835.5,0.1402,9,step_limit,0,40000,948.1
41,1000,240.0,45.718,22,,988,0,2,61,303,0.3817,687.3,0.0678,7,step_limit,0,41000,974.7
42,1000,450.0,25.962,34,,986,0,5,29,653,0.558,822.7,0.151,4,step_limit,0,42000,1002.9
43,1000,400.0,39.833,29,,957,0,5,57,607,0.51,724.9,0.1407,12,step_limit,0,43000,1030.4
44,1000,420.0,18.427,34,,962,0,4,64,1141,0.556,954.0,0.2848,18,step_limit,0,44000,1058.6
45,1000,480.0,23.603,34,,781,0,6,25,863,0.5185,919.5,0.2078,11,step_limit,0,45000,1083.0
46,1000,440.0,15.295,33,,931,0,5,45,963,0.5887,879.5,0.2351,40,step_limit,0,46000,1108.9
47,1000,330.0,31.209,28,,937,0,3,81,905,0.561,751.2,0.2184,10,step_limit,0,47000,1136.5
48,1000,330.0,32.771,28,,842,0,3,71,875,0.5222,808.0,0.2081,47,step_limit,0,48000,1164.2
49,1000,430.0,29.411,32,,971,0,5,29,747,0.5713,827.0,0.1769,9,step_limit,0,49000,1191.5
50,1000,400.0,24.461,29,,934,0,5,29,748,0.5375,852.9,0.1653,9,step_limit,0,50000,1219.5
51,1000,300.0,5.375,25,,474,0,3,18,952,0.622,1021.5,0.218,16,step_limit,0,51000,1292.1
52,1000,380.0,35.394,30,,962,0,4,26,443,0.5597,873.9,0.1,6,step_limit,0,52000,1318.6
53,1000,390.0,41.857,31,,994,0,4,63,563,0.5333,887.7,0.1303,11,step_limit,0,53000,1344.9
54,1000,440.0,31.88,33,,878,0,5,37,666,0.5717,916.8,0.1616,14,step_limit,0,54000,1372.6
55,1000,340.0,35.889,26,,992,0,4,54,592,0.5487,702.6,0.1451,25,step_limit,0,55000,1400.1
56,1000,400.0,14.267,32,,723,0,4,20,1013,0.6092,903.5,0.2407,11,step_limit,0,56000,1428.0
57,1000,330.0,17.932,25,,973,0,4,33,891,0.5837,844.0,0.2129,33,step_limit,0,57000,1456.0
58,1000,340.0,28.203,26,,995,0,4,37,838,0.5,728.7,0.1941,12,step_limit,0,58000,1482.6
59,1000,370.0,35.863,29,,915,0,4,34,492,0.5052,831.7,0.1155,11,step_limit,0,59000,1509.8
60,1000,420.0,27.92,31,,951,0,5,21,613,0.5992,1002.9,0.1415,11,step_limit,0,60000,1537.7
61,1000,400.0,23.032,29,,923,0,5,43,817,0.5052,800.8,0.1915,15,step_limit,0,61000,1565.0
62,1000,260.0,18.822,21,,990,0,3,15,704,0.509,689.0,0.166,7,step_limit,0,62000,1593.0
63,1000,450.0,41.687,31,,951,0,6,37,372,0.4845,808.2,0.0851,11,step_limit,0,63000,1621.0
64,1000,420.0,28.607,31,,982,0,5,25,646,0.5655,800.3,0.1558,18,step_limit,0,64000,1647.6
65,1000,430.0,27.157,32,,975,0,5,25,723,0.5647,876.1,0.1675,7,step_limit,0,65000,1675.6
66,1000,420.0,18.962,31,,937,0,5,42,957,0.5625,885.7,0.2288,12,step_limit,0,66000,1703.4
67,1000,400.0,26.782,32,,963,0,4,33,670,0.5473,950.3,0.1574,8,step_limit,0,67000,1731.1
68,1000,400.0,30.097,29,,857,0,5,55,614,0.5285,892.4,0.1475,7,step_limit,0,68000,1758.6
69,1000,380.0,26.093,30,,967,0,4,26,769,0.5813,878.7,0.1751,12,step_limit,0,69000,1785.8
70,1000,280.0,17.364,23,,968,0,3,15,808,0.55,776.0,0.1807,15,step_limit,0,70000,1812.1
71,1000,400.0,19.693,32,,994,0,4,21,715,0.5457,934.4,0.1679,28,step_limit,0,71000,1840.2
72,1000,390.0,35.366,31,,957,0,4,46,625,0.5453,884.2,0.146,12,step_limit,0,72000,1868.0
73,1000,420.0,18.778,31,,995,0,5,26,791,0.496,808.1,0.1912,17,step_limit,0,73000,1895.6
74,1000,400.0,28.421,32,,987,0,4,22,606,0.5248,790.5,0.1445,11,step_limit,0,74000,1923.7
75,1000,380.0,21.011,30,,769,0,4,25,868,0.5125,729.6,0.2131,37,step_limit,0,75000,1948.9
76,1000,450.0,33.094,34,,910,0,5,25,491,0.5893,957.0,0.1119,6,step_limit,0,76000,1973.9
77,1000,330.0,30.946,28,,983,0,3,49,634,0.5128,988.7,0.1458,9,step_limit,0,77000,1999.2
78,1000,310.0,-14.836,26,,516,0,3,16,1799,0.5258,836.0,0.4685,183,step_limit,0,78000,2025.6
79,1000,380.0,10.016,30,,949,0,4,25,1050,0.5125,756.0,0.2549,17,step_limit,0,79000,2050.4
80,1000,350.0,16.821,27,,908,0,4,28,937,0.578,768.5,0.2282,10,step_limit,0,80000,2077.0
81,1000,320.0,38.031,27,,988,0,3,76,745,0.537,803.2,0.1851,7,step_limit,0,81000,2104.4
82,1000,330.0,23.27,28,,991,0,3,25,731,0.502,969.6,0.1631,6,step_limit,0,82000,2131.2
83,1000,310.0,9.272,23,,997,0,4,26,1154,0.5145,750.1,0.2743,16,step_limit,0,83000,2158.2
84,1000,380.0,26.673,30,,994,0,4,50,754,0.614,868.6,0.1613,13,step_limit,0,84000,2184.3
85,1000,340.0,40.561,26,,997,0,4,63,600,0.4165,737.0,0.1508,32,step_limit,0,85000,2211.1
86,1000,400.0,28.663,29,,977,0,5,30,698,0.5553,832.7,0.1566,5,step_limit,0,86000,2235.1
87,1000,390.0,14.934,28,,988,0,5,19,928,0.4693,766.6,0.2253,12,step_limit,0,87000,2262.1
88,1000,370.0,23.26,29,,959,0,4,24,846,0.5757,860.5,0.2,12,step_limit,0,88000,2288.3
89,1000,400.0,27.18,32,,993,0,4,26,588,0.611,899.4,0.1372,10,step_limit,0,89000,2314.8
90,1000,360.0,39.118,31,,947,0,3,51,632,0.5405,909.2,0.1511,12,step_limit,0,90000,2341.5
91,1000,410.0,25.059,30,,986,0,5,25,719,0.565,981.8,0.166,10,step_limit,0,91000,2368.6
92,1000,390.0,23.554,31,,994,0,4,27,829,0.5357,861.5,0.1894,10,step_limit,0,92000,2395.7
93,1000,310.0,6.891,26,,994,0,3,16,1148,0.5128,699.7,0.2779,29,step_limit,0,93000,2421.7
94,1000,410.0,33.645,33,,910,0,4,33,655,0.5653,848.2,0.1614,10,step_limit,0,94000,2449.1
95,1000,320.0,31.844,27,,993,0,3,56,679,0.4075,730.6,0.1623,10,step_limit,0,95000,2476.8
96,1000,430.0,32.165,32,,958,0,5,26,499,0.5373,818.3,0.1152,16,step_limit,0,96000,2504.7
97,1000,370.0,28.55,29,,984,0,4,30,620,0.5373,738.8,0.1425,8,step_limit,0,97000,2532.9
98,1000,310.0,5.946,23,,984,0,4,11,1148,0.602,743.2,0.2786,22,step_limit,0,98000,2560.3
99,1000,420.0,28.917,31,,932,0,5,52,747,0.4975,793.8,0.1709,10,step_limit,0,99000,2585.5
100,1000,390.0,31.485,31,,955,0,4,28,654,0.5823,897.9,0.1562,10,step_limit,0,100000,2612.5
101,1000,400.0,30.549,29,,815,0,5,33,672,0.5503,876.7,0.1574,12,step_limit,0,101000,2685.0
102,1000,400.0,21.934,29,,1000,0,5,20,785,0.505,755.4,0.1917,10,step_limit,0,102000,2711.7
103,1000,430.0,29.533,32,,914,0,5,25,678,0.5567,786.6,0.1548,30,step_limit,0,103000,2737.7
104,1000,370.0,24.569,29,,989,0,4,29,750,0.5697,769.3,0.1837,9,step_limit,0,104000,2765.1
