episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,30.4167,4.5177,4.1667,0.0,0.5132,806.2703,0,1,1272.8
100,28.5833,4.0714,4.0833,0.0,0.4737,776.6923,0,0,2659.4
150,30.75,2.0052,4.3333,0.0,0.5206,779.5628,0,1,4020.8
200,28.25,3.0856,3.8333,0.0,0.4367,711.1769,0,0,5265.6
250,28.75,2.9756,4.0833,0.0,0.4425,708.3833,0,0,6600.4
300,27.25,3.9607,3.8333,0.0,0.4161,692.62,0,0,7900.6
350,27.75,2.8321,4.0833,0.0,0.4339,741.3119,0,0,9202.3
400,27.25,5.6439,3.9167,0.0,0.4276,719.1106,0,0,10517.2
450,27.25,3.3198,4.25,0.0,0.4437,702.8518,0,0,11834.6
500,27.3333,3.9441,3.5833,0.0,0.4196,722.6441,0,0,13590.7
550,28.3333,2.8382,3.9167,0.0,0.4414,732.3869,0,0,15346.8
600,27.5833,4.5545,3.75,0.0,0.4358,730.6235,0,0,17080.1
650,29.75,2.1651,4.4167,0.0,0.45,726.0976,0,0,18790.8
700,27.8333,2.5766,3.9167,0.0,0.4342,714.6448,0,0,20339.6
750,28.5833,3.8828,3.9167,0.0,0.465,727.5007,0,0,21574.3
800,28.6667,3.3993,4.3333,0.0,0.463,754.8743,0,0,22804.5
850,28.0,2.582,4.1667,0.0,0.4501,724.5388,0,0,23868.2
900,26.75,4.4371,4.0,0.0,0.4382,697.9562,0,0,24695.5
