episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,31.5833,3.0127,5.0,0.0,0.5017,803.7845,0,1,1294.8
100,28.0,3.6515,3.9167,0.0,0.4539,723.5859,0,0,2701.4
150,29.4167,3.1214,4.0,0.0,0.4595,745.9065,0,0,4066.8
200,26.25,5.2619,3.1667,0.0,0.4119,673.5108,0,0,5324.4
250,26.8333,2.1538,3.8333,0.0,0.4266,725.4191,0,0,6665.9
300,27.0833,2.3259,3.6667,0.0,0.4093,689.8454,0,0,7990.4
350,28.3333,3.8801,4.0833,0.0,0.4459,742.1363,0,0,9314.3
400,26.9167,4.6986,3.6667,0.0,0.4299,684.0591,0,0,10648.3
450,27.1667,4.5613,3.6667,0.0,0.4297,720.9048,0,0,12037.0
500,26.5,4.0517,3.4167,0.0,0.4339,714.136,0,0,13817.1
550,28.3333,4.6607,4.0833,0.0,0.46,713.1346,0,0,15588.4
600,28.8333,3.9756,4.0,0.0,0.4658,765.9382,0,0,17344.6
650,27.5,4.9582,3.8333,0.0,0.4085,700.284,0,0,19077.8
700,27.4167,3.796,3.8333,0.0,0.4148,719.4629,0,0,20565.1
750,28.25,3.8541,4.1667,0.0,0.4379,703.4698,0,0,21821.7
800,26.9167,4.6808,3.6667,0.0,0.4077,698.814,0,0,23077.6
