/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.05
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.47 교착최장  37 | step_limit
Ep 2 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.44 교착최장  46 | step_limit
Ep 3 |  1000스텝 | 배송 34/50 | 재적재  3 | 정지 0.46 교착최장  35 | step_limit
Ep 4 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.40 교착최장  47 | step_limit
Ep 5 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.30 교착최장  41 | step_limit
Ep 6 |  1000스텝 | 배송 21/50 | 재적재  3 | 정지 0.67 교착최장 559 | step_limit
Ep 7 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.75 교착최장 449 | step_limit
Ep 8 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.75 교착최장 485 | step_limit
Ep 9 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.41 교착최장  34 | step_limit
Ep 10 |  1000스텝 | 배송 12/50 | 재적재  0 | 정지 0.85 교착최장 838 | step_limit
Ep 11 |  1000스텝 | 배송 22/50 | 재적재  2 | 정지 0.82 교착최장 669 | step_limit
Ep 12 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.81 교착최장 719 | step_limit
Ep 13 |  1000스텝 | 배송 43/50 | 재적재  7 | 정지 0.44 교착최장  29 | step_limit
Ep 14 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.55 교착최장  86 | step_limit
Ep 15 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.60 교착최장 329 | step_limit
Ep 16 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.63 교착최장 300 | step_limit
Ep 17 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.62 교착최장 220 | step_limit
Ep 18 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.49 교착최장 105 | step_limit
