episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,420.0,17.508,34,,947,0,4,33,1794,0.6205,893.6,0.4718,37,step_limit,0,1000,2.7
2,1000,550.0,24.418,41,,967,0,6,35,1636,0.6388,895.7,0.4424,46,step_limit,0,2000,5.0
3,1000,390.0,17.937,34,,970,0,3,27,1782,0.637,860.5,0.4564,35,step_limit,0,3000,7.3
4,1000,480.0,31.492,37,,985,0,5,36,1598,0.6442,864.5,0.404,47,step_limit,0,4000,9.6
5,1000,550.0,50.227,41,,955,0,6,34,1189,0.6278,904.6,0.3025,41,step_limit,0,5000,11.9
6,1000,260.0,81.497,21,,396,0,3,507,2517,0.5647,660.8,0.6665,559,step_limit,0,6000,37.9
7,1000,350.0,-8.005,27,,1000,0,4,170,2841,0.653,711.5,0.7508,449,step_limit,0,7000,65.9
8,1000,470.0,-30.379,36,,544,0,5,64,2729,0.6388,778.0,0.7482,485,step_limit,0,8000,93.3
9,1000,590.0,157.116,42,,955,0,7,598,1516,0.487,968.7,0.4068,34,step_limit,0,9000,121.7
10,1000,80.0,-36.521,12,,193,0,0,161,3309,0.6498,680.8,0.85,838,step_limit,0,10000,149.9
11,1000,240.0,-54.963,22,,309,0,2,37,3114,0.6753,657.9,0.8181,669,step_limit,0,11000,177.8
12,1000,220.0,-20.174,20,,804,0,2,191,3087,0.6402,635.9,0.8143,719,step_limit,0,12000,206.0
13,1000,600.0,59.22,43,,969,0,7,180,1636,0.57,877.3,0.4431,29,step_limit,0,13000,234.6
14,1000,310.0,222.633,26,,538,0,3,990,2069,0.4235,732.8,0.5472,86,step_limit,0,14000,261.9
15,1000,370.0,52.149,29,,969,0,4,292,2264,0.5215,800.2,0.5956,329,step_limit,0,15000,290.5
16,1000,520.0,2.067,38,,956,0,6,99,2319,0.5615,876.2,0.6334,300,step_limit,0,16000,319.1
17,1000,420.0,31.492,31,,939,0,5,223,2314,0.5783,861.3,0.6217,220,step_limit,0,17000,347.4
18,1000,560.0,23.359,42,,954,0,6,65,1791,0.6362,913.3,0.4858,105,step_limit,0,18000,376.1
