episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,39.75,4.2254,6.0833,0.0,0.6089,864.899,0,1,1315.5
100,36.5833,2.9849,5.5,0.0,0.5486,826.4353,0,0,2766.9
150,27.5833,3.796,3.8333,0.0,0.3262,706.8739,0,0,4258.0
200,12.25,11.0312,1.4167,1.4167,0.098,388.7456,0,0,5761.2
250,3.5833,8.2205,0.5,3.3333,0.0369,156.1952,0,0,7265.7
300,8.8333,13.1709,1.1667,2.6667,0.0943,271.9759,0,0,8572.2
350,14.1667,11.0516,1.5,1.1667,0.1372,430.1785,0,0,9629.4
400,10.4167,11.8565,1.25,2.0,0.1306,353.1904,0,0,10688.3
450,12.3333,11.1006,1.3333,1.6667,0.1137,397.3566,0,0,11661.8
500,27.3333,4.8705,3.8333,0.0,0.3172,659.1456,0,0,12449.2
550,16.5833,12.4597,2.1667,1.25,0.1726,451.2546,0,0,13094.0
600,19.9167,10.563,2.3333,0.5833,0.1799,542.1785,0,0,13662.6
650,24.4167,4.0918,3.0833,0.0,0.2766,638.5813,0,0,14218.2
700,19.0833,11.5863,2.5,0.9167,0.2137,522.8884,0,0,14776.2
