episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,38.75,3.8324,5.6667,0.0,0.592,837.6739,0,1,1051.5
100,38.75,4.1054,5.75,0.0,0.5746,850.8183,0,0,2201.2
150,31.4167,3.774,4.4167,0.0,0.4233,743.5606,0,0,3356.3
200,27.5,4.4064,3.5833,0.0,0.2984,686.2067,0,0,4441.4
250,28.1667,4.3938,4.0,0.0,0.38,680.8461,0,0,5508.6
300,23.0833,7.7401,2.8333,0.0,0.2267,600.4284,0,0,6663.3
350,27.3333,6.587,3.5833,0.0,0.322,652.3472,0,0,7793.2
400,20.3333,10.2252,2.1667,0.3333,0.226,568.9272,0,0,8916.9
450,11.5,9.6134,1.3333,1.4167,0.101,376.1182,0,0,10077.9
500,13.5,9.2961,1.5,1.1667,0.1144,429.5436,0,0,11202.9
550,15.5833,9.1784,1.75,1.0,0.1358,468.7575,0,0,12506.2
600,15.9167,7.9316,1.8333,0.6667,0.137,486.413,0,0,13998.0
650,15.5,9.3318,1.75,0.8333,0.1148,474.2089,0,0,15498.0
700,19.1667,7.1511,2.3333,0.3333,0.177,571.0979,0,0,16981.0
750,8.5,10.681,0.9167,2.25,0.0676,258.8742,0,0,18459.4
800,23.9167,2.9,3.0,0.0,0.2569,634.5328,0,0,19918.4
