episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,500.0,27.625,39,,986,0,5,34,1574,0.6262,860.1,0.4176,39,step_limit,0,1000,2.5
2,1000,450.0,31.068,34,,963,0,5,56,1657,0.6348,903.7,0.4277,35,step_limit,0,2000,4.7
3,1000,520.0,40.316,38,,973,0,6,40,1364,0.6052,868.0,0.3455,45,step_limit,0,3000,6.8
4,1000,560.0,57.851,39,,997,0,7,58,1163,0.5825,860.2,0.2933,23,step_limit,0,4000,9.1
5,1000,470.0,28.625,36,,989,0,5,33,1567,0.6228,879.7,0.4105,29,step_limit,0,5000,11.3
6,1000,240.0,1.211,22,,892,0,2,207,2777,0.6298,695.7,0.7335,225,step_limit,0,6000,32.6
7,1000,520.0,68.646,41,,863,0,5,287,1877,0.5777,946.0,0.5045,151,step_limit,0,7000,54.1
8,1000,590.0,133.221,45,,991,0,6,381,1046,0.509,917.8,0.2831,38,step_limit,0,8000,76.6
9,1000,440.0,136.573,33,,938,0,5,504,1537,0.4655,740.2,0.385,38,step_limit,0,9000,99.7
10,1000,40.0,903.031,8,,100,0,0,3607,10,0.0077,382.2,0.002,0,step_limit,0,10000,121.6
11,1000,280.0,-10.729,23,,464,0,3,106,2444,0.585,752.2,0.6495,479,step_limit,0,11000,144.3
12,1000,340.0,53.253,26,,582,0,4,290,2193,0.541,776.6,0.5831,374,step_limit,0,12000,167.6
13,1000,390.0,141.577,31,,991,0,4,571,1734,0.4675,803.1,0.4574,307,step_limit,0,13000,191.5
14,1000,560.0,70.207,42,,966,0,6,170,1362,0.5867,865.2,0.3672,99,step_limit,0,14000,213.5
15,1000,330.0,43.822,28,,986,0,3,264,2254,0.5713,732.8,0.6004,161,step_limit,0,15000,236.7
16,1000,340.0,66.688,29,,970,0,3,367,2249,0.5797,865.5,0.5996,458,step_limit,0,16000,259.9
17,1000,630.0,57.548,46,,788,0,7,56,1046,0.6385,967.9,0.2808,17,step_limit,0,17000,282.2
18,1000,330.0,-7.551,25,,434,0,4,97,2512,0.6215,767.6,0.6686,540,step_limit,0,18000,305.4
19,1000,340.0,45.825,29,,992,0,3,210,2024,0.609,714.4,0.5291,172,step_limit,0,19000,328.8
20,1000,410.0,66.513,33,,976,0,4,258,1827,0.5553,833.9,0.4806,123,step_limit,0,20000,351.2
21,1000,470.0,50.292,36,,960,0,5,136,1665,0.573,816.0,0.4302,51,step_limit,0,21000,375.4
22,1000,370.0,16.079,29,,843,0,4,26,1829,0.602,791.0,0.4755,49,step_limit,0,22000,398.1
23,1000,450.0,21.693,34,,986,0,5,67,1875,0.5603,791.8,0.5062,60,step_limit,0,23000,419.9
24,1000,420.0,4.982,34,,984,0,4,46,2054,0.6098,850.4,0.5391,68,step_limit,0,24000,443.5
25,1000,570.0,29.252,43,,974,0,6,45,1608,0.6727,928.7,0.4251,53,step_limit,0,25000,466.5
26,1000,640.0,32.391,47,,942,0,7,35,1464,0.6432,968.2,0.3999,25,step_limit,0,26000,488.3
27,1000,530.0,22.987,39,,946,0,6,53,1737,0.6282,902.2,0.4503,44,step_limit,0,27000,511.6
28,1000,470.0,16.905,36,,991,0,5,47,1836,0.643,909.3,0.4815,95,step_limit,0,28000,535.2
29,1000,480.0,-12.038,37,,862,0,5,32,2282,0.6693,855.6,0.6178,116,step_limit,0,29000,557.4
30,1000,570.0,20.927,40,,933,0,7,36,1706,0.613,898.1,0.4578,87,step_limit,0,30000,581.4
31,1000,410.0,-4.431,30,,573,0,5,53,2259,0.602,866.2,0.598,93,step_limit,0,31000,605.0
32,1000,360.0,-24.212,28,,872,0,4,22,2490,0.6462,855.5,0.6546,78,step_limit,0,32000,628.3
33,1000,520.0,15.669,38,,903,0,6,33,1778,0.653,894.0,0.4764,78,step_limit,0,33000,650.5
34,1000,340.0,-2.858,26,,618,0,4,37,2169,0.5958,771.4,0.5627,114,step_limit,0,34000,673.9
35,1000,550.0,10.906,41,,799,0,6,39,1864,0.6495,886.8,0.5085,63,step_limit,0,35000,697.2
36,1000,480.0,14.51,34,,993,0,6,45,1899,0.6162,900.9,0.5028,61,step_limit,0,36000,719.5
37,1000,520.0,18.388,38,,866,0,6,43,1809,0.623,885.4,0.4743,58,step_limit,0,37000,742.3
38,1000,500.0,20.71,39,,997,0,5,37,1739,0.6418,821.0,0.4569,60,step_limit,0,38000,765.3
39,1000,530.0,30.603,39,,936,0,6,37,1546,0.642,900.6,0.4127,33,step_limit,0,39000,787.7
40,1000,520.0,37.754,38,,981,0,6,65,1574,0.6335,858.4,0.4169,56,step_limit,0,40000,810.8
41,1000,300.0,92.316,25,,992,0,3,374,1930,0.404,730.2,0.5022,16,step_limit,0,41000,833.1
42,1000,440.0,8.136,33,,929,0,5,35,2010,0.6418,765.1,0.5265,85,step_limit,0,42000,854.1
43,1000,410.0,61.765,33,,858,0,4,136,1441,0.585,887.7,0.3659,36,step_limit,0,43000,876.6
44,1000,580.0,50.71,41,,958,0,7,97,1428,0.6095,915.0,0.3752,31,step_limit,0,44000,900.1
45,1000,490.0,54.926,38,,997,0,5,85,1363,0.6068,891.3,0.3501,30,step_limit,0,45000,922.2
46,1000,460.0,19.295,35,,948,0,5,32,1735,0.6138,902.8,0.457,23,step_limit,0,46000,945.4
47,1000,370.0,0.768,29,,819,0,4,31,2112,0.623,751.6,0.5543,100,step_limit,0,47000,968.9
48,1000,450.0,41.287,37,,937,0,4,46,1399,0.6522,889.3,0.3628,36,step_limit,0,48000,991.3
49,1000,540.0,57.083,40,,994,0,6,44,1158,0.6348,867.9,0.2942,16,step_limit,0,49000,1014.8
50,1000,520.0,34.469,38,,968,0,6,50,1516,0.643,869.0,0.3995,60,step_limit,0,50000,1038.7
51,1000,490.0,62.913,35,,934,0,6,180,1575,0.595,854.4,0.4037,30,step_limit,0,51000,1072.7
52,1000,470.0,41.781,36,,964,0,5,39,1411,0.6268,784.8,0.3633,39,step_limit,0,52000,1095.7
53,1000,490.0,50.686,38,,994,0,5,78,1378,0.5867,854.9,0.3588,43,step_limit,0,53000,1118.3
54,1000,400.0,36.622,29,,748,0,5,76,1671,0.5535,693.0,0.4326,69,step_limit,0,54000,1142.0
55,1000,620.0,46.189,45,,927,0,7,51,1265,0.6018,897.0,0.3384,32,step_limit,0,55000,1165.3
56,1000,580.0,37.729,41,,834,0,7,39,1415,0.6502,887.1,0.3754,43,step_limit,0,56000,1187.7
57,1000,500.0,52.736,36,,832,0,6,50,1256,0.636,883.2,0.3159,26,step_limit,0,57000,1211.7
58,1000,500.0,25.061,36,,940,0,6,34,1608,0.6075,816.5,0.4304,62,step_limit,0,58000,1234.5
59,1000,550.0,33.98,41,,978,0,6,50,1557,0.6225,945.3,0.4134,29,step_limit,0,59000,1255.1
60,1000,430.0,34.157,32,,913,0,5,90,1720,0.5753,865.7,0.4574,136,step_limit,0,60000,1278.5
61,1000,460.0,45.421,35,,989,0,5,94,1553,0.61,826.9,0.4119,147,step_limit,0,61000,1301.7
62,1000,470.0,65.277,36,,955,0,5,135,1397,0.5972,895.3,0.3514,18,step_limit,0,62000,1323.6
63,1000,410.0,62.226,33,,996,0,4,147,1490,0.591,794.7,0.3854,15,step_limit,0,63000,1347.0
64,1000,460.0,38.202,35,,841,0,5,60,1549,0.6005,889.1,0.3913,37,step_limit,0,64000,1370.3
65,1000,620.0,54.311,42,,837,0,8,58,1220,0.6095,961.7,0.319,30,step_limit,0,65000,1392.1
66,1000,490.0,44.955,38,,945,0,5,87,1491,0.5823,889.5,0.3974,25,step_limit,0,66000,1415.5
67,1000,480.0,37.309,37,,945,0,5,31,1478,0.622,888.1,0.3631,38,step_limit,0,67000,1439.6
68,1000,500.0,28.833,36,,945,0,6,40,1626,0.5925,868.3,0.4275,37,step_limit,0,68000,1461.8
69,1000,540.0,35.783,40,,956,0,6,67,1610,0.6245,870.8,0.4303,53,step_limit,0,69000,1485.0
70,1000,450.0,39.599,34,,990,0,5,45,1463,0.6202,908.6,0.38,54,step_limit,0,70000,1508.4
71,1000,380.0,5.857,30,,987,0,4,33,2024,0.6088,748.2,0.534,74,step_limit,0,71000,1530.6
72,1000,420.0,40.786,34,,978,0,4,59,1507,0.5972,834.3,0.38,38,step_limit,0,72000,1553.9
73,1000,460.0,-5.428,32,,887,0,6,29,2200,0.6095,759.8,0.5871,87,step_limit,0,73000,1577.9
74,1000,520.0,34.723,41,,805,0,5,41,1529,0.6633,895.5,0.4042,56,step_limit,0,74000,1601.4
75,1000,520.0,58.42,41,,931,0,5,90,1343,0.6332,879.5,0.3381,26,step_limit,0,75000,1623.8
76,1000,380.0,13.606,30,,975,0,4,39,1927,0.5933,786.1,0.5025,38,step_limit,0,76000,1647.9
77,1000,520.0,32.204,38,,983,0,6,35,1571,0.644,898.8,0.4079,31,step_limit,0,77000,1671.2
78,1000,590.0,33.713,42,,996,0,7,42,1507,0.6438,883.9,0.403,67,step_limit,0,78000,1693.6
79,1000,500.0,36.691,36,,920,0,6,78,1581,0.5697,812.5,0.4302,100,step_limit,0,79000,1717.2
80,1000,560.0,51.964,42,,970,0,6,68,1291,0.5853,912.6,0.338,19,step_limit,0,80000,1740.8
81,1000,560.0,55.01,42,,994,0,6,37,1093,0.6448,888.5,0.2907,60,step_limit,0,81000,1762.8
82,1000,580.0,31.927,41,,934,0,7,51,1559,0.614,855.6,0.4121,43,step_limit,0,82000,1786.3
83,1000,480.0,37.121,37,,975,0,5,67,1573,0.5755,967.9,0.4148,47,step_limit,0,83000,1810.0
84,1000,440.0,37.102,33,,969,0,5,53,1556,0.626,832.9,0.4064,19,step_limit,0,84000,1834.2
85,1000,470.0,22.088,36,,956,0,5,37,1755,0.6138,880.7,0.46,43,step_limit,0,85000,1856.6
86,1000,500.0,51.749,36,,971,0,6,71,1363,0.6142,899.4,0.3564,25,step_limit,0,86000,1880.3
87,1000,400.0,93.175,32,,997,0,4,192,1140,0.5205,873.0,0.2876,28,step_limit,0,87000,1903.5
88,1000,460.0,16.699,35,,991,0,5,38,1819,0.6305,972.0,0.4832,42,step_limit,0,88000,1924.7
89,1000,590.0,76.165,42,,987,0,7,135,1089,0.561,877.8,0.2959,27,step_limit,0,89000,1946.3
90,1000,500.0,60.798,39,,980,0,5,86,1215,0.611,965.3,0.3183,27,step_limit,0,90000,1966.7
91,1000,460.0,47.368,35,,937,0,5,109,1538,0.59,889.0,0.406,91,step_limit,0,91000,1988.6
92,1000,450.0,53.575,37,,973,0,4,92,1401,0.5655,813.9,0.3659,19,step_limit,0,92000,2009.8
93,1000,460.0,51.068,38,,986,0,4,61,1327,0.6305,874.1,0.3427,19,step_limit,0,93000,2030.5
94,1000,410.0,35.477,33,,836,0,4,69,1617,0.6295,812.9,0.4299,140,step_limit,0,94000,2053.0
95,1000,450.0,51.728,37,,996,0,4,73,1309,0.587,894.5,0.3436,32,step_limit,0,95000,2075.7
96,1000,460.0,31.533,35,,996,0,5,75,1724,0.617,805.4,0.4563,91,step_limit,0,96000,2097.6
97,1000,370.0,37.181,29,,987,0,4,56,1610,0.5793,810.8,0.4138,61,step_limit,0,97000,2120.3
98,1000,620.0,98.011,45,,974,0,7,175,924,0.5723,913.6,0.2375,22,step_limit,0,98000,2143.1
