episode,delivered,delivered_sd,reloads,idle_drones,hop2plus,max_reach,comm_loss,is_best,wall_sec
50,41.0833,4.3677,6.25,0.0,0.5974,859.3623,0,1,1060.8
100,37.1667,2.3034,5.4167,0.0,0.5406,823.5752,0,0,2207.4
150,30.6667,2.8087,4.5,0.0,0.4143,715.9271,0,0,3377.5
200,21.4167,10.1033,2.6667,0.3333,0.239,583.3444,0,0,4464.1
250,31.9167,5.7222,4.4167,0.0,0.4303,732.1424,0,0,5544.4
300,28.8333,6.8048,3.75,0.0,0.3522,753.2363,0,0,6688.7
350,28.5,8.7987,3.9167,0.0833,0.3726,686.8826,0,0,7813.7
400,20.6667,5.8926,2.25,0.0,0.1736,572.8895,0,0,8927.8
450,13.1667,11.3125,1.5,1.25,0.1116,425.9129,0,0,10084.7
500,20.8333,5.0799,2.1667,0.0,0.1696,580.7092,0,0,11211.2
550,24.5833,4.4807,3.0,0.0,0.2529,635.1658,0,0,12504.5
600,22.5833,8.0152,2.5833,0.3333,0.2275,599.7067,0,0,13988.6
650,17.25,9.1116,2.1667,0.6667,0.1188,480.8711,0,0,15482.9
700,7.5833,11.0035,1.0,2.5833,0.0675,255.6533,0,0,16980.3
750,11.5,12.5797,1.1667,2.0,0.1026,313.6784,0,0,18452.9
800,14.0,9.1013,1.5,0.4167,0.0895,456.7029,0,0,19926.5
