episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,459.4,27.877,38,,986,0,4,37,1603,0.5907,886.1,0.4136,37,step_limit,0,1000,2.8
2,1000,479.35,32.446,37,,975,0,5,36,1473,0.6025,971.2,0.3853,53,step_limit,0,2000,5.1
3,1000,479.35,18.621,37,,962,0,5,57,1853,0.6512,901.2,0.4873,54,step_limit,0,3000,7.4
4,1000,489.4,34.328,38,,965,0,5,68,1581,0.601,909.4,0.4153,23,step_limit,0,4000,9.8
5,1000,539.5,44.164,40,,891,0,6,36,1262,0.6542,893.8,0.335,30,step_limit,0,5000,12.1
6,1000,409.15,43.198,33,,917,0,4,314,2417,0.5527,769.7,0.6672,219,step_limit,0,6000,35.2
7,1000,509.35,-17.451,37,,616,0,6,41,2404,0.6717,800.3,0.6653,370,step_limit,0,7000,58.0
8,1000,439.15,131.773,33,,856,0,5,623,2243,0.6038,825.0,0.6046,286,step_limit,0,8000,79.9
9,1000,348.85,-41.68,27,,398,0,4,29,2803,0.6318,699.3,0.7544,297,step_limit,0,9000,102.9
10,1000,298.75,-52.102,25,,522,0,3,32,3003,0.673,733.0,0.8027,693,step_limit,0,10000,126.0
11,1000,368.95,32.302,29,,630,0,4,257,2410,0.5323,757.7,0.6499,358,step_limit,0,11000,148.7
12,1000,318.85,84.914,27,,413,0,3,520,2532,0.5972,770.2,0.6808,436,step_limit,0,12000,171.9
13,1000,208.45,-65.861,19,,995,0,2,24,3221,0.5118,581.9,0.8456,279,step_limit,0,13000,194.9
14,1000,318.85,-55.803,27,,406,0,3,25,3050,0.6515,714.1,0.8162,479,step_limit,0,14000,217.9
15,1000,519.4,338.71,38,,711,0,6,1318,1116,0.4208,966.4,0.3066,71,step_limit,0,15000,242.0
16,1000,238.6,-41.863,22,,952,0,2,60,2966,0.666,709.4,0.783,603,step_limit,0,16000,265.4
17,1000,549.55,60.208,41,,996,0,6,178,1621,0.5683,865.9,0.4326,58,step_limit,0,17000,288.6
18,1000,469.3,-7.903,36,,909,0,5,32,2187,0.6322,875.3,0.5926,57,step_limit,0,18000,310.8
19,1000,338.8,-17.404,26,,573,0,4,46,2476,0.6567,754.2,0.6504,303,step_limit,0,19000,335.1
20,1000,619.75,37.968,45,,995,0,7,45,1314,0.6078,901.0,0.35,81,step_limit,0,20000,360.1
21,1000,328.9,-29.365,28,,648,0,3,22,2545,0.6753,809.7,0.6691,139,step_limit,0,21000,381.8
22,1000,349.0,-23.267,30,,1000,0,3,35,2539,0.6793,876.1,0.6704,83,step_limit,0,22000,404.6
23,1000,409.15,-11.342,33,,935,0,4,33,2283,0.6775,914.9,0.6038,112,step_limit,0,23000,428.2
24,1000,479.35,-3.46,37,,885,0,5,36,2134,0.6683,871.7,0.5745,65,step_limit,0,24000,450.3
25,1000,429.1,-11.774,32,,797,0,5,31,2319,0.645,753.4,0.605,165,step_limit,0,25000,473.4
26,1000,399.1,-9.246,32,,884,0,4,29,2233,0.6555,860.5,0.598,125,step_limit,0,26000,496.7
27,1000,368.95,-14.488,29,,984,0,4,29,2345,0.6525,815.4,0.6187,160,step_limit,0,27000,520.3
28,1000,559.6,21.804,42,,943,0,6,45,1674,0.6288,893.9,0.4491,25,step_limit,0,28000,542.5
29,1000,499.45,25.151,39,,886,0,5,37,1660,0.642,883.2,0.4251,37,step_limit,0,29000,566.0
30,1000,429.25,-11.33,35,,983,0,4,59,2342,0.6272,908.2,0.6268,163,step_limit,0,30000,589.4
31,1000,539.5,16.401,40,,936,0,6,35,1745,0.6298,888.9,0.4778,75,step_limit,0,31000,611.8
32,1000,439.15,9.158,33,,908,0,5,46,1992,0.6372,859.7,0.5274,95,step_limit,0,32000,635.4
33,1000,419.2,3.525,34,,929,0,4,31,2069,0.6422,906.6,0.5427,131,step_limit,0,33000,658.4
34,1000,569.65,21.548,43,,989,0,6,44,1735,0.6408,962.5,0.4616,28,step_limit,0,34000,680.5
35,1000,519.4,7.319,38,,996,0,6,37,1940,0.6012,895.7,0.5223,162,step_limit,0,35000,703.9
36,1000,589.6,47.862,42,,997,0,7,44,1286,0.5988,916.6,0.3469,36,step_limit,0,36000,727.3
37,1000,519.55,35.297,41,,959,0,5,47,1519,0.6482,921.1,0.3872,25,step_limit,0,37000,749.3
38,1000,559.6,24.384,42,,980,0,6,40,1656,0.6402,961.2,0.4443,93,step_limit,0,38000,772.2
39,1000,559.45,6.434,39,,950,0,7,34,1970,0.6282,886.8,0.5257,85,step_limit,0,39000,795.5
