episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,530.0,50.703,36,,991,0,7,35,1145,0.5805,911.5,0.294,48,step_limit,0,1000,2.1
2,1000,500.0,29.129,39,,960,0,5,31,1516,0.631,868.2,0.4013,36,step_limit,0,2000,3.9
3,1000,480.0,30.73,37,,977,0,5,33,1551,0.576,882.3,0.41,25,step_limit,0,3000,5.9
4,1000,480.0,21.836,37,,987,0,5,33,1685,0.6468,883.3,0.4471,39,step_limit,0,4000,7.7
5,1000,580.0,59.747,44,,930,0,6,55,1086,0.6472,942.2,0.2853,14,step_limit,0,5000,9.5
6,1000,230.0,43.612,21,,633,0,2,362,2645,0.5817,838.8,0.6968,319,step_limit,0,6000,28.9
7,1000,380.0,-40.191,30,,516,0,4,44,2857,0.6685,770.6,0.7724,484,step_limit,0,7000,46.6
8,1000,570.0,2.436,43,,976,0,6,51,2084,0.662,915.9,0.5681,83,step_limit,0,8000,64.5
9,1000,360.0,-27.257,28,,944,0,4,51,2575,0.507,685.9,0.6916,277,step_limit,0,9000,82.8
10,1000,290.0,270.867,24,,999,0,3,1200,2068,0.344,696.3,0.5384,22,step_limit,0,10000,102.3
11,1000,180.0,-63.273,19,,368,0,1,14,3176,0.539,755.2,0.8303,518,step_limit,0,11000,119.8
12,1000,120.0,335.026,16,,186,0,0,1609,3009,0.501,611.1,0.7804,763,step_limit,0,12000,136.4
13,1000,310.0,121.309,26,,989,0,3,559,2103,0.482,679.5,0.555,183,step_limit,0,13000,155.5
14,1000,210.0,165.591,19,,247,0,2,937,3115,0.4587,565.4,0.8206,685,step_limit,0,14000,172.6
15,1000,230.0,534.561,21,,318,0,2,2082,604,0.1885,733.8,0.1563,10,step_limit,0,15000,192.1
16,1000,310.0,454.186,26,,954,0,3,1712,669,0.2682,698.6,0.174,18,step_limit,0,16000,209.4
17,1000,410.0,29.458,33,,974,0,4,126,1904,0.5877,782.5,0.5101,67,step_limit,0,17000,227.8
18,1000,580.0,86.441,41,,937,0,7,232,1294,0.5757,974.2,0.3469,57,step_limit,0,18000,245.4
19,1000,540.0,43.374,40,,884,0,6,115,1618,0.6045,914.6,0.4379,79,step_limit,0,19000,263.6
20,1000,610.0,42.825,44,,947,0,7,84,1447,0.6082,911.9,0.3931,46,step_limit,0,20000,282.6
21,1000,610.0,40.782,44,,980,0,7,54,1419,0.6238,919.7,0.3801,32,step_limit,0,21000,301.7
22,1000,360.0,5.25,28,,997,0,4,64,2157,0.571,754.5,0.5657,199,step_limit,0,22000,321.8
23,1000,460.0,37.544,32,,886,0,6,84,1665,0.556,756.1,0.4349,74,step_limit,0,23000,339.8
24,1000,550.0,28.426,41,,896,0,6,40,1565,0.599,904.1,0.4188,68,step_limit,0,24000,357.0
25,1000,440.0,59.856,36,,987,0,4,144,1485,0.569,862.4,0.3944,51,step_limit,0,25000,373.8
26,1000,580.0,27.457,41,,689,0,7,43,1595,0.6285,889.2,0.4189,30,step_limit,0,26000,392.1
27,1000,520.0,7.36,38,,872,0,6,35,1969,0.652,876.8,0.5208,61,step_limit,0,27000,409.4
28,1000,490.0,42.342,38,,891,0,5,51,1427,0.596,855.5,0.3666,42,step_limit,0,28000,427.1
29,1000,450.0,4.502,34,,825,0,5,33,1997,0.644,861.1,0.5394,251,step_limit,0,29000,444.5
30,1000,490.0,19.979,35,,941,0,6,41,1811,0.646,918.3,0.4727,54,step_limit,0,30000,463.1
31,1000,680.0,63.443,48,,981,0,8,68,1038,0.6115,914.2,0.2781,23,step_limit,0,31000,481.2
32,1000,550.0,34.281,41,,992,0,6,53,1551,0.64,907.2,0.4073,27,step_limit,0,32000,498.4
33,1000,470.0,67.004,36,,995,0,5,184,1545,0.5058,887.1,0.4062,32,step_limit,0,33000,516.0
34,1000,530.0,77.008,39,,992,0,6,96,910,0.5605,877.3,0.2421,25,step_limit,0,34000,534.5
35,1000,480.0,57.585,37,,961,0,5,77,1207,0.5843,807.4,0.3257,60,step_limit,0,35000,554.2
36,1000,460.0,24.62,38,,960,0,4,36,1664,0.6198,876.7,0.4468,39,step_limit,0,36000,572.1
37,1000,500.0,52.455,36,,899,0,6,50,1278,0.61,863.2,0.3206,21,step_limit,0,37000,591.3
38,1000,560.0,52.122,42,,928,0,6,72,1329,0.583,878.7,0.3442,19,step_limit,0,38000,608.7
39,1000,390.0,11.896,31,,934,0,4,65,2065,0.6272,850.7,0.5388,99,step_limit,0,39000,627.4
40,1000,540.0,69.822,40,,990,0,6,74,1029,0.5713,913.9,0.2665,17,step_limit,0,40000,647.6
41,1000,390.0,80.05,31,,932,0,4,289,1764,0.4998,827.6,0.4621,48,step_limit,0,41000,664.5
42,1000,590.0,38.002,42,,980,0,7,57,1500,0.6388,850.0,0.3961,37,step_limit,0,42000,683.1
43,1000,560.0,64.646,39,,963,0,7,76,1122,0.6035,880.4,0.2831,40,step_limit,0,43000,700.4
44,1000,530.0,63.08,39,,1000,0,6,92,1253,0.6232,902.9,0.3185,23,step_limit,0,44000,718.6
45,1000,440.0,81.203,33,,989,0,5,198,1361,0.4953,760.7,0.3533,26,step_limit,0,45000,735.5
46,1000,480.0,45.713,34,,964,0,6,41,1365,0.6058,882.3,0.3468,28,step_limit,0,46000,755.2
47,1000,510.0,73.825,37,,990,0,6,122,1162,0.581,893.9,0.3026,48,step_limit,0,47000,773.1
48,1000,280.0,32.139,23,,775,0,3,97,1828,0.601,723.6,0.467,99,step_limit,0,48000,790.9
49,1000,410.0,33.069,30,,990,0,5,62,1675,0.6298,726.4,0.4332,33,step_limit,0,49000,806.4
50,1000,440.0,78.659,33,,817,0,5,159,1264,0.5655,826.3,0.3181,28,step_limit,0,50000,824.4
51,1000,420.0,109.387,31,,935,0,5,248,1078,0.492,756.2,0.2715,16,step_limit,0,51000,857.3
52,1000,400.0,53.874,32,,682,0,4,96,1448,0.5483,877.6,0.375,23,step_limit,0,52000,875.5
53,1000,360.0,49.086,28,,976,0,4,112,1604,0.5857,862.9,0.4116,100,step_limit,0,53000,893.3
54,1000,480.0,82.771,34,,989,0,6,164,1190,0.5068,804.5,0.2959,19,step_limit,0,54000,912.8
55,1000,550.0,79.832,41,,975,0,6,111,1019,0.602,909.2,0.2499,37,step_limit,0,55000,932.4
56,1000,420.0,92.714,31,,975,0,5,235,1315,0.5252,697.1,0.3427,26,step_limit,0,56000,950.4
57,1000,480.0,48.006,37,,934,0,5,44,1285,0.5925,846.0,0.3431,46,step_limit,0,57000,968.1
58,1000,500.0,70.424,36,,980,0,6,137,1312,0.5363,864.3,0.3392,28,step_limit,0,58000,985.7
59,1000,550.0,67.11,41,,970,0,6,59,1012,0.6308,866.9,0.2514,21,step_limit,0,59000,1003.6
60,1000,560.0,66.435,42,,974,0,6,130,1322,0.6018,880.6,0.3412,31,step_limit,0,60000,1020.4
61,1000,540.0,84.939,40,,873,0,6,83,739,0.6068,877.6,0.1871,14,step_limit,0,61000,1039.0
62,1000,510.0,81.594,37,,964,0,6,103,976,0.5693,867.0,0.2467,16,step_limit,0,62000,1056.5
63,1000,350.0,70.247,27,,618,0,4,137,1340,0.5302,709.3,0.339,19,step_limit,0,63000,1075.2
64,1000,420.0,94.11,31,,992,0,5,273,1451,0.4918,754.7,0.3807,47,step_limit,0,64000,1095.5
65,1000,380.0,118.98,30,,958,0,4,300,1122,0.4878,752.5,0.279,34,step_limit,0,65000,1113.4
66,1000,510.0,74.805,37,,1000,0,6,132,1172,0.5477,907.8,0.3002,29,step_limit,0,66000,1132.3
67,1000,420.0,138.932,31,,950,0,5,217,428,0.451,792.8,0.1045,16,step_limit,0,67000,1150.0
68,1000,430.0,75.967,32,,912,0,5,125,1203,0.518,741.1,0.3033,37,step_limit,0,68000,1168.8
69,1000,290.0,88.121,24,,939,0,3,246,1472,0.4657,742.7,0.3737,50,step_limit,0,69000,1186.3
70,1000,330.0,44.525,25,,998,0,4,118,1723,0.5443,868.3,0.4366,20,step_limit,0,70000,1204.9
71,1000,470.0,90.632,33,,679,0,6,148,1005,0.5687,878.8,0.2535,24,step_limit,0,71000,1222.3
72,1000,450.0,82.189,34,,900,0,5,161,1174,0.5577,856.6,0.3006,16,step_limit,0,72000,1240.3
73,1000,450.0,71.177,34,,949,0,5,95,1078,0.5705,854.3,0.2782,26,step_limit,0,73000,1257.7
74,1000,440.0,176.933,33,,885,0,5,473,738,0.377,869.2,0.1898,30,step_limit,0,74000,1277.1
75,1000,370.0,149.036,29,,819,0,4,377,978,0.4497,697.6,0.2299,30,step_limit,0,75000,1295.1
76,1000,390.0,105.818,31,,958,0,4,174,823,0.528,743.0,0.2095,23,step_limit,0,76000,1314.6
77,1000,410.0,103.68,30,,977,0,5,201,950,0.5002,745.6,0.2415,19,step_limit,0,77000,1333.3
78,1000,430.0,73.721,32,,952,0,5,108,1179,0.5763,735.6,0.3008,24,step_limit,0,78000,1351.4
79,1000,430.0,123.86,32,,988,0,5,310,1089,0.4895,778.5,0.2855,39,step_limit,0,79000,1369.8
80,1000,390.0,96.341,31,,963,0,4,149,926,0.525,765.6,0.2312,17,step_limit,0,80000,1388.1
