episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,560.0,61.072,42,,1000,0,6,43,1014,0.6045,972.5,0.2597,18,step_limit,0,1000,2.4
2,1000,470.0,45.925,36,,926,0,5,77,1446,0.6005,875.2,0.3676,24,step_limit,0,2000,3.9
3,1000,530.0,21.096,42,,998,0,5,31,1668,0.634,881.9,0.4463,40,step_limit,0,3000,5.4
4,1000,530.0,27.623,39,,932,0,6,35,1567,0.6285,866.2,0.4123,34,step_limit,0,4000,7.0
5,1000,480.0,32.459,37,,952,0,5,51,1505,0.579,880.4,0.3961,28,step_limit,0,5000,8.6
6,1000,260.0,23.858,21,,981,0,3,288,2692,0.5933,683.0,0.7074,444,step_limit,0,6000,20.7
7,1000,590.0,45.435,42,,977,0,7,95,1506,0.6165,909.4,0.3932,76,step_limit,0,7000,37.1
8,1000,530.0,94.079,39,,798,0,6,235,1200,0.5727,880.1,0.3202,22,step_limit,0,8000,54.6
9,1000,600.0,79.316,43,,973,0,7,136,993,0.5817,968.8,0.2594,28,step_limit,0,9000,72.7
10,1000,160.0,721.255,17,,372,0,1,2832,245,0.1013,541.0,0.0576,5,step_limit,0,10000,89.2
11,1000,390.0,81.272,31,,741,0,4,354,1994,0.558,755.0,0.5262,188,step_limit,0,11000,107.1
12,1000,490.0,26.078,35,,743,0,6,76,1813,0.627,860.1,0.4769,56,step_limit,0,12000,125.3
13,1000,580.0,50.184,41,,996,0,7,104,1441,0.5677,912.6,0.39,75,step_limit,0,13000,143.5
14,1000,430.0,96.642,32,,983,0,5,391,1839,0.627,812.7,0.4961,109,step_limit,0,14000,162.7
15,1000,540.0,32.34,40,,957,0,6,85,1677,0.641,861.9,0.4549,146,step_limit,0,15000,180.6
16,1000,190.0,615.603,20,,992,0,1,2327,134,0.1522,666.1,0.0303,5,step_limit,0,16000,198.0
17,1000,580.0,17.9,41,,952,0,7,31,1759,0.6302,904.9,0.4718,65,step_limit,0,17000,215.2
18,1000,490.0,60.439,38,,987,0,5,83,1250,0.6065,876.3,0.3203,74,step_limit,0,18000,232.3
