episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,529.6,50.928,42,,919,0,5,35,1153,0.632,882.8,0.2981,23,step_limit,0,1000,1.9
2,1000,439.15,51.408,33,,840,0,5,80,1416,0.6255,894.2,0.3437,36,step_limit,0,2000,3.4
3,1000,529.45,37.838,39,,991,0,6,35,1409,0.6442,888.5,0.372,39,step_limit,0,3000,4.9
4,1000,479.35,25.215,37,,946,0,5,27,1614,0.6182,892.6,0.427,38,step_limit,0,4000,6.5
5,1000,429.25,5.727,35,,991,0,4,29,1977,0.6325,868.4,0.5265,58,step_limit,0,5000,8.2
6,1000,649.9,76.514,48,,931,0,7,217,1345,0.5797,904.1,0.374,78,step_limit,0,6000,20.8
7,1000,248.65,-61.204,23,,376,0,2,21,3174,0.5262,605.6,0.8397,678,step_limit,0,7000,38.4
8,1000,248.5,-67.359,20,,251,0,3,19,3247,0.5085,644.3,0.856,739,step_limit,0,8000,55.4
9,1000,298.75,-55.236,25,,380,0,3,22,3036,0.6655,660.8,0.8089,620,step_limit,0,9000,73.4
10,1000,489.4,7.785,38,,995,0,5,33,1961,0.683,770.8,0.5169,96,step_limit,0,10000,91.8
11,1000,509.35,-3.225,37,,662,0,6,58,2199,0.6445,812.9,0.6047,319,step_limit,0,11000,110.2
12,1000,288.7,-40.531,24,,425,0,3,28,2819,0.6405,702.1,0.744,575,step_limit,0,12000,128.5
13,1000,318.7,-55.807,24,,288,0,4,34,3084,0.69,758.2,0.8237,724,step_limit,0,13000,145.4
14,1000,328.75,135.176,25,,634,0,4,549,1896,0.5008,649.9,0.4937,151,step_limit,0,14000,164.0
15,1000,248.65,370.85,23,,573,0,2,1508,1376,0.292,662.4,0.3621,38,step_limit,0,15000,180.3
16,1000,308.8,375.53,26,,728,0,3,1433,989,0.3013,691.9,0.2572,22,step_limit,0,16000,197.9
17,1000,489.4,20.533,38,,959,0,5,132,2063,0.6205,883.9,0.5663,296,step_limit,0,17000,214.5
18,1000,529.45,3.349,39,,616,0,6,37,2036,0.666,911.1,0.5504,96,step_limit,0,18000,232.7
19,1000,419.05,49.098,31,,785,0,5,145,1731,0.577,839.7,0.4527,70,step_limit,0,19000,249.8
