episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,44.3333,4.7668,7.4167,0.6256,886.1001,0.0833,993.1667,44.3675,1,649.8
100,43.6667,3.2232,7.1667,0.6187,875.4759,0.0,1000.0,43.6667,0,1368.3
150,45.1667,3.6705,7.75,0.6202,906.2098,0.1667,974.25,45.2954,1,2123.1
200,45.1667,3.5551,7.3333,0.6255,893.393,0.0833,982.9167,45.2521,0,2814.6
250,45.5,1.7559,7.4167,0.6307,896.1832,0.0,1000.0,45.5,1,3472.7
300,45.1667,4.0995,7.5,0.6101,895.1742,0.1667,977.25,45.2804,0,4105.1
350,44.3333,2.1731,7.25,0.6163,890.9589,0.0,1000.0,44.3333,0,4745.9
400,43.3333,4.0689,7.25,0.6151,890.2817,0.0833,995.0,43.3583,0,5458.9
450,46.0,3.6515,7.9167,0.6238,898.2605,0.3333,961.25,46.1938,1,6107.0
500,45.25,3.0856,7.5,0.6139,902.8811,0.1667,992.5833,45.2871,0,6791.8
550,43.5833,3.6619,7.3333,0.598,871.4824,0.0833,994.0833,43.6129,0,7413.3
600,42.6667,3.5668,7.0833,0.6081,873.3438,0.0,1000.0,42.6667,0,8013.7
650,43.5833,3.6161,7.0833,0.6169,873.2562,0.0833,991.5,43.6258,0,8695.1
700,42.25,4.9687,7.1667,0.6006,877.8258,0.1667,993.4167,42.2829,0,9378.2
750,45.0,2.6458,7.8333,0.5945,892.4477,0.0833,996.4167,45.0179,0,10027.6
800,44.5,4.1533,7.5,0.6147,898.3025,0.1667,977.5833,44.6121,0,10624.4
