episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,8,57,513,896.36,57,513,9,0.5531,798.3,0.0527,2,complete,0.022,0.9
2,3,50,984,713.68,50,984,8,0.4895,773.3,0.3321,44,complete,0.1111,1.5
3,7,72,597,1118.81,72,597,12,0.6025,801.6,0.1445,4,complete,0.0254,2.1
4,3,46,1000,600.0,42,,7,0.3547,619.1,0.27,85,step_limit,0.0877,2.7
5,5,58,1000,770.0,52,,10,0.6638,1017.7,0.3242,20,step_limit,0.1103,8.0
6,3,61,1000,620.0,44,,7,0.533,699.7,0.4624,204,step_limit,0.0709,18.8
7,3,30,1000,410.0,29,,5,0.5473,746.3,0.4113,79,step_limit,0.0772,32.4
8,3,69,1000,760.0,52,,9,0.54,688.8,0.4148,88,step_limit,0.0704,52.3
9,5,66,1000,920.0,61,,12,0.6198,1006.5,0.2407,9,step_limit,0.0817,70.1
10,4,26,733,404.08,26,733,4,0.4945,812.9,0.2389,18,complete,0.0833,84.9
11,8,32,281,531.32,32,281,3,0.4399,698.9,0.1899,2,complete,0.0091,89.8
12,5,35,590,582.5,35,590,6,0.4434,702.4,0.2776,20,complete,0.0215,100.3
13,5,23,315,441.25,23,315,3,0.4965,810.9,0.1811,19,complete,0.0,106.1
14,4,61,1000,770.0,54,,9,0.59,892.5,0.335,28,step_limit,0.0303,126.9
15,7,78,635,1228.55,78,635,14,0.4877,753.7,0.1595,4,complete,0.0085,139.2
16,7,46,458,746.34,46,458,7,0.6023,874.2,0.2372,4,complete,0.0043,150.8
17,6,74,723,1112.02,74,723,12,0.5025,776.9,0.2159,3,complete,0.0096,164.9
18,5,24,375,436.25,24,375,3,0.5035,749.4,0.2056,6,complete,0.019,171.9
19,6,24,256,463.44,24,256,3,0.5905,837.5,0.1712,3,complete,0.0093,177.0
20,5,66,1000,930.0,65,,11,0.4334,626.5,0.3509,36,step_limit,0.0108,199.2
21,5,43,447,698.25,43,447,6,0.3919,627.1,0.0541,3,complete,0.0,207.7
22,5,43,635,651.25,43,635,6,0.3745,491.7,0.2827,18,complete,0.0,222.3
23,3,22,907,331.39,22,907,4,0.5696,784.3,0.4314,86,complete,0.0556,239.1
24,5,35,506,573.5,35,506,5,0.5502,776.2,0.2458,15,complete,0.0214,248.6
25,7,25,213,392.49,25,213,0,0.6794,883.6,0.1359,2,complete,0.0087,252.7
26,4,79,1000,960.0,67,,11,0.4625,644.0,0.3832,106,step_limit,0.0164,274.3
27,7,63,769,922.37,63,769,10,0.7639,1117.6,0.3318,8,complete,0.0092,291.6
28,4,77,1000,800.0,54,,10,0.549,756.6,0.4766,33,step_limit,0.0372,309.8
29,5,34,611,537.25,34,611,5,0.6756,888.6,0.2105,5,complete,0.0032,321.7
30,5,25,400,440.0,25,400,3,0.6905,895.5,0.2936,17,complete,0.0,332.2
31,7,68,616,1043.68,68,616,11,0.5519,780.2,0.1421,3,complete,0.0099,344.3
32,5,79,1000,1070.0,73,,13,0.6364,829.1,0.2488,18,step_limit,0.0233,365.8
33,5,62,1000,810.0,59,,9,0.658,921.9,0.3431,20,step_limit,0.022,384.4
34,5,33,419,515.25,33,419,3,0.4721,650.0,0.2493,17,complete,0.0074,392.3
35,5,26,553,411.75,26,553,3,0.5248,672.2,0.2298,9,complete,0.0143,405.5
36,5,57,845,828.75,57,845,9,0.6452,937.1,0.2867,14,complete,0.024,421.3
37,5,29,415,536.25,29,415,5,0.6651,959.5,0.2321,16,complete,0.034,431.9
38,6,63,1000,830.0,62,,9,0.6893,862.5,0.3614,28,step_limit,0.0405,451.0
39,6,44,581,728.94,44,581,8,0.6294,887.3,0.2376,11,complete,0.0145,462.0
40,8,56,375,865.0,56,375,7,0.5813,846.7,0.1457,1,complete,0.0038,472.2
41,8,21,147,368.84,21,147,0,0.642,933.2,0.1222,0,complete,0.0,475.1
42,3,24,1000,320.0,23,,4,0.6163,790.9,0.4212,60,step_limit,0.1171,493.4
43,5,52,863,774.25,52,863,9,0.5219,787.4,0.2065,18,complete,0.04,513.0
44,5,72,784,1114.0,72,784,13,0.4745,750.2,0.2133,16,complete,0.0135,528.1
45,4,52,1000,670.0,47,,8,0.601,959.1,0.3803,23,step_limit,0.0593,550.0
46,8,72,535,1100.2,72,535,11,0.4,634.2,0.1298,4,complete,0.0123,560.5
47,5,69,1000,920.0,64,,11,0.4982,718.1,0.2348,23,step_limit,0.0204,583.0
48,4,56,1000,680.0,48,,8,0.397,723.2,0.2613,18,step_limit,0.0204,601.5
49,8,78,585,1206.2,78,585,13,0.616,868.2,0.2087,4,complete,0.0101,614.7
50,7,40,615,553.95,40,615,4,0.7556,1166.5,0.4005,4,complete,0.0163,624.9
51,8,51,379,813.88,51,379,7,0.4736,733.7,0.1161,2,complete,0.0325,657.2
52,3,42,1000,580.0,40,,7,0.4797,637.3,0.4028,144,step_limit,0.0504,678.6
53,8,60,380,933.6,60,380,8,0.5148,625.4,0.0972,4,complete,0.0034,686.2
54,4,49,703,761.28,49,703,8,0.4491,633.6,0.2171,16,complete,0.0206,699.5
55,5,40,538,645.5,40,538,6,0.4498,705.1,0.1786,8,complete,0.0194,712.8
56,6,61,673,935.02,61,673,10,0.5035,839.7,0.1111,4,complete,0.0289,725.6
57,3,53,1000,680.0,47,,8,0.5353,730.9,0.4645,179,step_limit,0.0653,744.6
58,8,57,584,876.48,57,584,9,0.5424,933.4,0.1346,3,complete,0.0346,758.2
59,3,50,1000,580.0,40,,7,0.4293,761.8,0.3001,59,step_limit,0.0435,774.4
60,5,21,283,369.25,21,283,1,0.5682,753.1,0.1884,2,complete,0.0118,779.4
61,7,26,310,436.3,26,310,2,0.5535,853.4,0.1537,2,complete,0.0286,787.6
62,7,55,415,817.95,55,415,6,0.6575,896.8,0.1796,3,complete,0.0139,794.8
63,7,68,1000,930.0,67,,11,0.6861,948.7,0.4569,6,step_limit,0.0212,813.9
64,3,41,1000,420.0,30,,5,0.4623,761.5,0.4842,93,step_limit,0.0606,835.2
65,6,68,506,1108.44,68,506,12,0.416,661.4,0.0975,8,complete,0.0153,845.0
66,3,61,1000,730.0,49,,9,0.2127,589.6,0.3847,58,step_limit,0.0251,866.4
67,3,53,1000,580.0,40,,7,0.4347,707.9,0.3984,74,step_limit,0.0337,885.0
68,4,44,964,618.64,44,964,7,0.3763,678.2,0.3178,15,complete,0.0302,905.0
69,5,34,664,524.0,34,664,5,0.4958,733.4,0.1381,6,complete,0.0646,918.2
70,5,31,752,442.0,31,752,4,0.6652,1016.6,0.4234,30,complete,0.0448,935.1
71,7,71,536,1095.28,71,536,11,0.3905,581.8,0.0721,2,complete,0.026,945.6
72,3,53,1000,610.0,43,,7,0.4887,739.5,0.3397,74,step_limit,0.0461,967.2
73,4,21,1000,250.0,20,,3,0.6735,1057.6,0.4817,160,step_limit,0.0607,985.9
74,7,45,461,675.53,45,461,5,0.5888,853.9,0.1377,8,complete,0.0227,997.2
75,6,40,470,597.8,40,470,4,0.5301,793.8,0.1649,4,complete,0.0301,1006.3
76,5,75,1000,780.0,56,,9,0.6684,892.6,0.3801,18,step_limit,0.0608,1025.4
77,6,24,248,405.52,24,248,1,0.541,918.9,0.0232,1,complete,0.0376,1032.2
78,5,64,983,924.25,64,983,11,0.6354,927.7,0.2803,15,complete,0.0654,1050.6
79,3,41,1000,570.0,39,,7,0.528,778.4,0.2953,121,step_limit,0.0749,1071.3
80,3,69,1000,770.0,53,,9,0.295,607.7,0.2396,34,step_limit,0.0333,1089.7
81,7,47,602,687.46,47,602,6,0.5121,820.9,0.1237,2,complete,0.0476,1103.4
82,8,69,512,1046.64,69,512,10,0.5859,903.8,0.1926,8,complete,0.0201,1113.6
