episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,8,57,397,778.24,57,397,8,0.5148,799.0,0.0438,1,complete,0.0133,1.2
2,3,50,1000,720.0,48,,9,0.493,771.7,0.3387,47,step_limit,0.0952,2.3
3,7,72,741,1058.13,72,741,13,0.6117,800.6,0.1307,8,complete,0.0299,3.7
4,3,46,1000,640.0,43,,8,0.306,590.8,0.2539,59,step_limit,0.0638,4.8
5,5,58,1000,660.0,47,,8,0.6344,914.4,0.3067,39,step_limit,0.1905,15.7
6,3,61,1000,660.0,45,,8,0.5097,709.8,0.4474,70,step_limit,0.0609,36.0
7,3,30,1000,360.0,27,,4,0.495,659.3,0.4731,153,step_limit,0.0563,53.7
8,3,69,1000,780.0,54,,9,0.5263,723.9,0.4118,62,step_limit,0.0333,73.0
9,5,66,1000,910.0,63,,11,0.607,1006.0,0.2746,11,step_limit,0.04,91.1
10,4,26,1000,270.0,22,,3,0.4557,724.2,0.2032,20,step_limit,0.0179,111.2
11,8,32,506,369.52,32,506,3,0.4476,696.5,0.0669,3,complete,0.0268,120.7
12,5,35,1000,440.0,34,,5,0.5948,702.9,0.1755,12,step_limit,0.0659,141.3
13,5,23,626,288.7,23,626,3,0.4895,808.1,0.1257,6,complete,0.0815,152.7
14,4,61,1000,570.0,40,,7,0.5168,714.3,0.4548,183,step_limit,0.0815,174.0
15,7,78,1000,1030.0,74,,12,0.3897,743.0,0.2262,9,step_limit,0.0468,193.0
16,7,46,581,569.33,46,581,5,0.4738,874.5,0.0951,5,complete,0.0357,206.4
17,6,74,862,1048.28,74,862,12,0.4915,760.7,0.1337,5,complete,0.0304,222.6
18,5,24,356,282.2,24,356,2,0.5927,757.6,0.1293,7,complete,0.0368,229.2
19,6,24,861,248.34,24,861,2,0.6887,831.8,0.2065,11,complete,0.097,248.1
20,5,66,1000,930.0,65,,11,0.4118,629.1,0.1623,11,step_limit,0.1081,267.2
21,5,43,1000,530.0,40,,6,0.3056,568.6,0.0856,3,step_limit,0.0688,288.3
22,5,43,785,570.75,43,785,6,0.2711,487.7,0.135,8,complete,0.0713,302.9
23,3,22,1000,250.0,19,,3,0.563,781.7,0.4119,156,step_limit,0.1045,324.2
24,5,35,627,468.65,35,627,5,0.5394,783.4,0.2325,12,complete,0.0667,335.9
25,7,25,406,221.58,25,406,0,0.6925,878.1,0.1001,6,complete,0.1143,346.5
26,4,79,1000,990.0,67,,12,0.425,670.8,0.4047,64,step_limit,0.0373,365.8
27,7,63,576,919.68,63,576,11,0.7004,1118.9,0.1753,5,complete,0.0581,377.0
28,4,77,1000,1000.0,68,,12,0.5272,768.8,0.4213,77,step_limit,0.0385,398.4
29,5,34,1000,380.0,31,,4,0.643,772.3,0.2586,31,step_limit,0.0819,419.5
30,5,25,798,300.1,25,798,3,0.7363,887.7,0.3674,70,complete,0.0698,433.7
31,7,68,667,963.31,68,667,11,0.5943,782.5,0.2233,9,complete,0.0271,447.0
32,5,79,1000,1010.0,70,,12,0.619,828.3,0.3683,29,step_limit,0.0504,468.7
33,5,62,1000,860.0,61,,10,0.66,924.3,0.2751,10,step_limit,0.0396,491.0
34,5,33,1000,420.0,32,,5,0.3488,641.8,0.1044,8,step_limit,0.1067,509.0
35,5,26,709,314.55,26,709,3,0.4993,676.9,0.1505,11,complete,0.0433,525.0
36,5,57,1000,810.0,56,,10,0.646,926.8,0.3081,47,step_limit,0.0667,543.1
37,5,29,943,362.85,29,943,4,0.6872,965.3,0.2953,23,complete,0.0987,563.8
38,6,63,1000,860.0,59,,11,0.6688,844.1,0.1791,10,step_limit,0.0433,582.5
39,6,44,735,545.9,44,735,5,0.7027,890.6,0.2794,9,complete,0.054,597.8
40,8,56,464,762.88,56,464,8,0.66,843.9,0.1241,4,complete,0.0467,605.7
41,8,21,171,196.32,21,171,0,0.6908,937.4,0.119,0,complete,0.01,608.4
42,3,24,1000,260.0,20,,3,0.604,786.9,0.6101,250,step_limit,0.0746,627.8
43,5,52,889,745.55,52,889,9,0.4828,789.2,0.1407,7,complete,0.0816,643.4
44,5,72,829,1008.55,72,829,11,0.4468,741.0,0.1478,8,complete,0.0505,658.8
45,4,52,1000,540.0,40,,6,0.6328,850.2,0.5257,91,step_limit,0.0312,679.9
46,8,72,722,1022.24,72,722,12,0.3849,643.4,0.0731,3,complete,0.0709,694.2
47,5,69,916,1004.2,69,916,12,0.5133,722.5,0.1101,5,complete,0.0678,714.8
48,4,56,1000,740.0,51,,9,0.45,726.2,0.2888,15,step_limit,0.0771,736.3
49,8,78,1000,1020.0,77,,11,0.5415,864.7,0.069,3,step_limit,0.0493,753.4
50,7,40,632,535.76,40,632,6,0.7498,1174.4,0.2436,5,complete,0.0881,764.9
51,8,51,418,686.56,51,418,7,0.4967,743.5,0.0213,0,complete,0.0423,797.1
52,3,42,1000,460.0,34,,5,0.4927,639.6,0.4203,108,step_limit,0.0745,818.3
53,8,60,671,816.32,60,671,9,0.429,625.3,0.1487,5,complete,0.0788,831.0
54,4,49,1000,670.0,47,,8,0.3977,629.7,0.1462,22,step_limit,0.086,852.1
55,5,40,771,541.45,40,771,6,0.331,694.5,0.0999,6,complete,0.0658,866.1
56,6,61,1000,830.0,59,,10,0.5647,746.4,0.161,3,step_limit,0.1305,888.2
57,3,53,1000,620.0,41,,8,0.461,754.8,0.5179,187,step_limit,0.0568,909.1
58,8,57,612,761.04,57,612,8,0.5927,936.1,0.1001,2,complete,0.0633,920.1
59,3,50,1000,580.0,40,,7,0.435,747.8,0.4921,169,step_limit,0.0963,938.8
60,5,21,803,229.85,21,803,2,0.5656,752.5,0.0849,5,complete,0.1015,956.6
61,7,26,214,275.02,26,214,1,0.6669,843.5,0.0718,1,complete,0.0625,960.8
62,7,55,991,720.63,55,991,8,0.7049,892.2,0.3731,6,complete,0.0612,983.0
63,7,68,808,953.44,68,808,11,0.6607,960.6,0.1702,4,complete,0.1051,999.0
64,3,41,1000,430.0,31,,5,0.551,776.2,0.6045,178,step_limit,0.0741,1019.9
65,6,68,1000,960.0,66,,12,0.3362,644.5,0.1731,9,step_limit,0.0565,1039.5
66,3,61,967,470.99,35,,5,0.2837,433.2,0.7809,500,no_progress,0.0084,1059.7
67,3,53,1000,520.0,37,,6,0.4837,621.1,0.4656,99,step_limit,0.0581,1078.6
68,4,44,761,619.56,44,761,7,0.4304,666.1,0.107,18,complete,0.0833,1095.0
69,5,34,709,454.55,34,709,5,0.5334,733.2,0.1652,8,complete,0.08,1108.4
70,5,31,1000,360.0,29,,4,0.7234,1019.4,0.4281,32,step_limit,0.0889,1129.7
71,7,71,721,989.53,71,721,11,0.3979,589.6,0.0821,2,complete,0.0289,1143.4
72,3,53,1000,540.0,39,,6,0.538,731.8,0.5153,73,step_limit,0.0637,1164.6
73,4,21,1000,160.0,17,,1,0.6945,983.8,0.4687,61,step_limit,0.0896,1182.4
74,7,45,1000,570.0,43,,7,0.6751,861.8,0.1145,4,step_limit,0.0938,1202.1
75,6,40,1000,460.0,37,,5,0.483,761.4,0.1915,9,step_limit,0.1057,1222.2
76,5,75,1000,690.0,50,,8,0.6832,848.7,0.595,34,step_limit,0.0569,1246.5
77,6,24,421,274.74,24,421,2,0.6041,919.1,0.0994,3,complete,0.117,1255.0
78,5,64,907,924.65,64,907,11,0.6501,932.4,0.2661,18,complete,0.0778,1271.3
79,3,41,1000,530.0,38,,6,0.5663,731.3,0.4322,79,step_limit,0.0952,1288.2
80,3,69,1000,740.0,50,,9,0.3177,618.5,0.406,73,step_limit,0.051,1309.6
81,7,47,1000,580.0,44,,7,0.4657,777.0,0.1885,3,step_limit,0.0967,1327.9
82,8,69,965,972.8,69,965,12,0.6785,905.4,0.22,3,complete,0.0631,1347.0
83,6,31,399,436.06,31,399,5,0.665,912.1,0.1797,4,complete,0.068,1353.8
84,4,33,768,449.28,33,768,5,0.5846,832.7,0.14,24,complete,0.1007,1370.5
85,5,38,488,505.6,38,488,5,0.4357,556.5,0.0436,5,complete,0.0441,1379.8
86,8,24,447,234.24,24,447,1,0.7662,824.3,0.0899,1,complete,0.0824,1388.3
87,3,30,1000,320.0,26,,3,0.3857,601.0,0.2921,49,step_limit,0.1013,1409.0
88,5,38,1000,490.0,36,,6,0.6712,914.1,0.2886,14,step_limit,0.0651,1428.1
