episode,delivered,delivered_sd,reloads,hop2plus,max_reach,full,steps,score,is_best,wall_sec
50,43.0,3.44,7.0,0.6353,871.8506,0.0,1000.0,43.0,1,756.6
100,43.1667,5.8713,7.1667,0.6352,871.5502,0.0,992.75,43.2029,1,1592.6
150,42.4167,4.6808,6.9167,0.6139,868.8727,0.0,1000.0,42.4167,0,2428.1
200,41.5833,6.4091,7.0833,0.633,875.8406,0.0,987.1667,41.6475,0,3252.3
250,43.0833,3.7072,7.1667,0.6316,880.8534,0.0,1000.0,43.0833,0,3991.8
300,44.8333,4.758,7.6667,0.6188,892.1193,0.0833,998.25,44.8421,1,4744.1
350,42.5833,2.465,6.5,0.6405,874.4916,0.0,1000.0,42.5833,0,5490.6
400,41.4167,7.2395,6.8333,0.591,866.7983,0.0833,994.5,41.4442,0,6257.0
450,45.75,3.7221,7.5,0.614,912.5118,0.0833,998.0833,45.7596,1,7060.8
500,45.75,3.4911,7.3333,0.6067,895.7639,0.1667,993.6667,45.7817,1,7813.7
550,44.75,3.562,7.25,0.6097,891.7483,0.1667,990.0,44.8,0,8555.4
600,45.75,2.586,7.4167,0.635,897.229,0.1667,986.1667,45.8192,1,9286.5
650,44.3333,4.1298,7.75,0.6143,908.9965,0.0833,993.6667,44.365,0,10050.6
700,46.0833,2.2898,7.8333,0.6476,892.9261,0.0,1000.0,46.0833,1,10744.5
750,45.3333,1.972,7.8333,0.6279,902.5934,0.0,1000.0,45.3333,0,11195.1
800,46.0,2.708,7.6667,0.6363,892.1889,0.1667,987.6667,46.0617,0,11648.7
