/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
이어받기: weights/v5_26_09_15_23_s3b/latest.pth (ep1500) — 에피소드·최고 기록은 초기화
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=200.0 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:298: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지43 |  683스텝 | 배송 43/43 | 재적재  8 | 중계율 0.06 | alpha 3.289 | complete
Ep 2 | 드론5 목적지74 |  978스텝 | 배송 74/74 | 재적재 13 | 중계율 0.05 | alpha 3.289 | complete
Ep 3 | 드론6 목적지43 |  632스텝 | 배송 43/43 | 재적재  6 | 중계율 0.02 | alpha 3.289 | complete
Ep 4 | 드론5 목적지23 |  327스텝 | 배송 23/23 | 재적재  3 | 중계율 0.03 | alpha 3.289 | complete
Ep 5 | 드론5 목적지31 |  470스텝 | 배송 31/31 | 재적재  4 | 중계율 0.03 | alpha 3.289 | complete
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 61/68 | 재적재 11 | 중계율 0.06 | alpha 3.490 | step_limit
Ep 7 | 드론8 목적지44 |  428스텝 | 배송 44/44 | 재적재  7 | 중계율 0.02 | alpha 3.623 | complete
Ep 8 | 드론8 목적지30 |  140스텝 | 배송 30/30 | 재적재  0 | 중계율 0.01 | alpha 3.665 | complete
Ep 9 | 드론8 목적지42 |  356스텝 | 배송 42/42 | 재적재  4 | 중계율 0.04 | alpha 3.770 | complete
Ep 10 | 드론8 목적지47 |  373스텝 | 배송 47/47 | 재적재  6 | 중계율 0.00 | alpha 3.872 | complete
Ep 11 | 드론7 목적지21 |  301스텝 | 배송 21/21 | 재적재  1 | 중계율 0.03 | alpha 3.944 | complete
Ep 12 | 드론3 목적지37 | 1000스텝 | 배송 31/37 | 재적재  5 | 중계율 0.07 | alpha 4.152 | step_limit
Ep 13 | 드론7 목적지28 |  238스텝 | 배송 28/28 | 재적재  1 | 중계율 0.01 | alpha 4.191 | complete
Ep 14 | 드론3 목적지41 | 1000스텝 | 배송 36/41 | 재적재  6 | 중계율 0.04 | alpha 4.324 | step_limit
Ep 15 | 드론3 목적지66 | 1000스텝 | 배송 45/66 | 재적재  7 | 중계율 0.02 | alpha 4.412 | step_limit
Ep 16 | 드론4 목적지71 | 1000스텝 | 배송 42/71 | 재적재  7 | 중계율 0.01 | alpha 4.472 | step_limit
Ep 17 | 드론5 목적지24 |  741스텝 | 배송 24/24 | 재적재  3 | 중계율 0.01 | alpha 4.516 | complete
Ep 18 | 드론6 목적지49 |  605스텝 | 배송 49/49 | 재적재  7 | 중계율 0.00 | alpha 4.556 | complete
Ep 19 | 드론8 목적지34 |  381스텝 | 배송 34/34 | 재적재  4 | 중계율 0.01 | alpha 4.576 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 39/48 | 재적재  7 | 중계율 0.04 | alpha 4.595 | step_limit
Ep 21 | 드론4 목적지63 | 1000스텝 | 배송 42/63 | 재적재  8 | 중계율 0.02 | alpha 4.602 | step_limit
Ep 22 | 드론8 목적지46 |  391스텝 | 배송 46/46 | 재적재  7 | 중계율 0.01 | alpha 4.608 | complete
Ep 23 | 드론4 목적지44 | 1000스텝 | 배송 32/44 | 재적재  5 | 중계율 0.03 | alpha 4.651 | step_limit
