episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,comm_loss,env_steps,wall_sec
1,1000,380.0,-2.162,33,,996,0,3,88,2347,0.5058,943.2,0.6252,137,step_limit,0,1000,2.3
2,1000,370.0,-32.859,29,,990,0,4,44,2705,0.653,898.0,0.7207,338,step_limit,0,2000,4.2
3,1000,490.0,5.554,38,,943,0,5,96,2136,0.6048,953.2,0.5857,84,step_limit,0,3000,5.9
4,1000,340.0,-34.619,26,,776,0,4,23,2660,0.6538,932.1,0.7108,249,step_limit,0,4000,7.7
5,1000,450.0,-15.439,37,,997,0,4,33,2303,0.662,895.9,0.6256,99,step_limit,0,5000,9.4
6,1000,420.0,-25.277,34,,994,0,4,29,2484,0.659,920.6,0.66,114,step_limit,0,6000,12.1
7,1000,310.0,50.697,26,,854,0,3,320,2397,0.615,904.5,0.6261,154,step_limit,0,7000,17.9
8,811,337.56,-9.847,25,,312,0,4,98,2155,0.4673,656.0,0.7248,386,no_progress,0,7811,28.3
9,1000,400.0,-8.208,32,,790,0,4,124,2605,0.6015,725.5,0.7049,195,step_limit,0,8811,41.1
10,1000,410.0,-46.355,33,,596,0,4,42,2836,0.6797,774.9,0.7736,419,step_limit,0,9811,53.5
11,1000,560.0,28.489,42,,828,0,6,178,2008,0.53,845.0,0.5605,153,step_limit,0,10811,68.7
12,1000,250.0,-54.754,23,,956,0,2,44,3126,0.5325,630.8,0.8309,160,step_limit,0,11811,83.8
13,1000,380.0,-17.297,30,,809,0,4,89,2559,0.5188,779.8,0.6893,176,step_limit,0,12811,99.9
14,574,57.04,489.764,8,,75,0,0,1939,0,0.0148,305.2,0.0,0,no_progress,0,13385,108.3
15,1000,530.0,24.842,42,,875,0,5,132,2003,0.6085,920.1,0.5623,144,step_limit,0,14385,122.2
16,573,77.08,-35.448,10,,74,0,0,44,1950,0.6784,478.5,0.889,486,no_progress,0,14958,131.2
17,776,138.96,-42.547,14,,277,0,1,68,2586,0.5048,647.5,0.8703,409,no_progress,0,15734,142.3
18,1000,390.0,-23.81,31,,690,0,4,106,2817,0.5982,725.5,0.76,354,step_limit,0,16734,159.5
19,1000,460.0,-18.239,35,,986,0,5,116,2744,0.5855,701.9,0.7512,151,step_limit,0,17734,173.8
20,1000,410.0,-13.053,30,,658,0,5,95,2542,0.6545,821.7,0.6882,122,step_limit,0,18734,189.0
21,788,238.48,-44.374,21,,289,0,2,36,2448,0.6421,618.0,0.8354,501,no_progress,0,19522,202.7
22,1000,300.0,-50.269,25,,995,0,3,48,3063,0.4908,834.3,0.8147,287,step_limit,0,20522,217.8
23,1000,400.0,-38.108,32,,936,0,4,33,2693,0.6867,834.4,0.7269,181,step_limit,0,21522,234.3
24,1000,340.0,-31.813,26,,958,0,4,46,2719,0.633,877.5,0.7216,180,step_limit,0,22522,249.9
25,1000,540.0,8.401,40,,909,0,6,123,2241,0.6115,832.3,0.6131,145,step_limit,0,23522,266.7
26,1000,490.0,-8.113,35,,882,0,6,71,2311,0.643,916.1,0.6357,95,step_limit,0,24522,281.9
27,1000,440.0,25.387,33,,988,0,5,211,2291,0.6145,967.5,0.6255,137,step_limit,0,25522,300.3
28,1000,420.0,-11.676,31,,916,0,5,80,2465,0.6362,864.3,0.6623,149,step_limit,0,26522,317.2
29,1000,470.0,-12.69,36,,955,0,5,80,2437,0.6305,865.1,0.66,185,step_limit,0,27522,333.8
30,1000,360.0,-26.855,28,,652,0,4,44,2576,0.6425,877.5,0.6851,146,step_limit,0,28522,348.4
31,1000,580.0,22.279,41,,834,0,7,135,2042,0.57,941.2,0.5634,148,step_limit,0,29522,365.7
32,1000,400.0,-35.331,32,,961,0,4,44,2722,0.5877,884.0,0.7319,148,step_limit,0,30522,402.3
33,965,271.4,-28.115,25,,466,0,2,103,2793,0.6,809.2,0.7727,310,no_progress,0,31487,448.5
34,1000,420.0,4.128,34,,975,0,4,116,2348,0.5757,896.8,0.6309,143,step_limit,0,32487,496.6
35,1000,440.0,-9.299,33,,959,0,5,77,2388,0.6637,917.3,0.6475,136,step_limit,0,33487,546.3
36,1000,360.0,-15.838,28,,735,0,4,74,2494,0.6727,913.7,0.6695,118,step_limit,0,34487,594.1
37,1000,350.0,-28.691,30,,929,0,3,78,2763,0.6318,835.7,0.7469,149,step_limit,0,35487,643.1
38,1000,340.0,-6.18,29,,999,0,3,119,2570,0.5998,757.0,0.6858,102,step_limit,0,36487,690.5
39,1000,400.0,-9.384,32,,996,0,4,106,2505,0.5845,869.7,0.6777,154,step_limit,0,37487,739.9
40,1000,380.0,-32.555,27,,838,0,5,33,2658,0.6495,914.3,0.7088,244,step_limit,0,38487,788.5
41,1000,410.0,-16.638,33,,997,0,4,92,2577,0.653,870.8,0.6899,161,step_limit,0,39487,838.4
42,1000,360.0,-18.587,28,,799,0,4,112,2728,0.4998,777.5,0.732,214,step_limit,0,40487,887.0
43,1000,320.0,-43.286,24,,873,0,4,31,2837,0.5847,862.8,0.7554,137,step_limit,0,41487,934.6
44,733,80.68,-61.885,11,,234,0,0,6,2592,0.7261,748.7,0.9125,517,no_progress,0,42220,969.3
45,1000,380.0,-1.13,30,,890,0,4,121,2464,0.523,906.5,0.6603,112,step_limit,0,43220,1018.7
46,1000,370.0,-31.262,29,,961,0,4,40,2615,0.6663,806.2,0.6977,190,step_limit,0,44220,1066.7
47,1000,470.0,1.372,36,,986,0,5,78,2206,0.5907,899.2,0.6058,156,step_limit,0,45220,1116.4
48,1000,230.0,-60.948,21,,978,0,2,23,3131,0.6795,904.4,0.8194,262,step_limit,0,46220,1164.4
49,917,193.32,-48.017,20,,418,0,1,19,2734,0.7156,944.4,0.7817,320,no_progress,0,47137,1200.5
50,665,53.4,-48.987,8,,166,0,0,2,2218,0.7214,930.6,0.8558,404,no_progress,0,47802,1231.1
51,1000,440.0,-14.801,33,,986,0,5,53,2428,0.6285,888.9,0.658,154,step_limit,0,48802,1296.0
52,1000,520.0,25.391,38,,921,0,6,108,1915,0.558,894.5,0.5244,84,step_limit,0,49802,1342.7
53,1000,340.0,-14.267,29,,841,0,3,100,2615,0.5897,889.6,0.7022,106,step_limit,0,50802,1392.3
54,1000,380.0,-20.443,30,,963,0,4,79,2632,0.638,910.2,0.7085,167,step_limit,0,51802,1439.5
55,1000,320.0,-52.574,24,,850,0,4,20,2944,0.6913,924.0,0.7836,152,step_limit,0,52802,1488.4
56,1000,550.0,25.096,38,,978,0,7,112,1916,0.598,931.0,0.5163,114,step_limit,0,53802,1529.2
57,1000,120.0,-68.321,16,,646,0,0,25,3337,0.7113,925.8,0.8589,316,step_limit,0,54802,1576.2
58,1000,320.0,-39.696,27,,945,0,3,52,2868,0.6418,916.7,0.7634,151,step_limit,0,55802,1626.4
59,1000,380.0,-36.867,30,,902,0,4,28,2676,0.629,944.4,0.7178,151,step_limit,0,56802,1674.3
60,1000,380.0,-22.079,30,,994,0,4,58,2599,0.6445,881.4,0.6927,208,step_limit,0,57802,1723.8
61,1000,410.0,-6.016,33,,977,0,4,94,2400,0.6623,904.1,0.6477,150,step_limit,0,58802,1771.1
62,1000,240.0,-45.899,22,,982,0,2,61,3053,0.7033,911.7,0.7992,440,step_limit,0,59802,1818.8
63,1000,320.0,-22.437,24,,994,0,4,51,2579,0.6212,929.1,0.6724,100,step_limit,0,60802,1867.9
64,1000,300.0,-34.964,22,,856,0,4,73,2905,0.6747,908.4,0.7639,135,step_limit,0,61802,1915.6
65,1000,480.0,-7.262,37,,866,0,5,65,2300,0.657,888.9,0.6236,84,step_limit,0,62802,1963.8
66,1000,80.0,-87.94,9,,525,2,1,5,3601,0.716,834.6,0.9215,475,step_limit,0,63802,2010.8
67,1000,350.0,-21.399,30,,981,0,3,75,2644,0.6673,905.4,0.7016,154,step_limit,0,64802,2056.1
68,1000,210.0,-55.803,22,,995,0,1,28,3081,0.7115,916.7,0.8114,150,step_limit,0,65802,2100.3
69,1000,680.0,47.8,48,,981,0,8,109,1467,0.6022,974.0,0.4041,44,step_limit,0,66802,2146.2
70,1000,350.0,-14.831,27,,989,0,4,83,2570,0.5645,967.7,0.6856,167,step_limit,0,67802,2195.1
71,1000,360.0,-41.058,28,,849,0,4,20,2771,0.677,859.6,0.7375,97,step_limit,0,68802,2242.3
72,1000,530.0,2.174,39,,973,0,6,71,2133,0.6132,904.2,0.5789,108,step_limit,0,69802,2289.4
73,1000,440.0,-23.451,33,,907,0,5,43,2487,0.6677,935.0,0.6738,112,step_limit,0,70802,2338.4
74,1000,530.0,-4.762,39,,990,0,6,40,2166,0.5763,920.1,0.5899,153,step_limit,0,71802,2386.2
75,1000,440.0,-24.868,33,,964,0,5,43,2538,0.6693,861.1,0.6887,173,step_limit,0,72802,2435.1
76,1000,190.0,-59.816,20,,886,0,1,15,3086,0.71,888.0,0.805,168,step_limit,0,73802,2482.8
77,1000,220.0,-45.473,20,,895,0,2,22,2896,0.68,886.3,0.7569,313,step_limit,0,74802,2530.7
78,1000,180.0,-55.082,19,,984,0,1,23,3054,0.7147,940.5,0.7892,174,step_limit,0,75802,2580.2
79,1000,320.0,-49.126,27,,987,0,3,12,2887,0.6973,966.0,0.7621,126,step_limit,0,76802,2627.2
80,1000,350.0,-30.263,27,,810,0,4,57,2716,0.6587,906.9,0.7298,146,step_limit,0,77802,2676.5
81,1000,430.0,-15.897,35,,914,0,4,50,2409,0.6585,902.8,0.651,149,step_limit,0,78802,2724.1
82,1000,140.0,-73.444,15,,722,0,1,9,3332,0.712,805.8,0.8625,248,step_limit,0,79802,2773.3
83,1000,360.0,-16.403,28,,716,0,4,83,2606,0.668,953.1,0.6891,135,step_limit,0,80802,2820.7
84,1000,420.0,-27.315,34,,899,0,4,30,2525,0.6943,945.1,0.6844,141,step_limit,0,81802,2865.9
85,1000,360.0,-31.742,28,,907,0,4,29,2647,0.6653,927.1,0.7067,88,step_limit,0,82802,2908.9
86,1000,320.0,-27.713,24,,931,0,4,62,2723,0.6182,919.2,0.7207,120,step_limit,0,83802,2956.7
87,1000,230.0,-56.819,21,,941,0,2,24,3095,0.6713,888.9,0.8141,165,step_limit,0,84802,3004.3
88,1000,560.0,21.579,42,,978,0,6,69,1761,0.634,901.9,0.4884,75,step_limit,0,85802,3049.1
89,1000,410.0,-13.109,30,,938,0,5,37,2324,0.6535,912.5,0.6159,100,step_limit,0,86802,3097.0
90,1000,400.0,-13.96,29,,873,0,5,85,2524,0.5968,873.3,0.6821,147,step_limit,0,87802,3142.4
91,1000,300.0,-40.456,22,,971,0,4,48,2892,0.6793,935.5,0.7581,177,step_limit,0,88802,3189.3
92,1000,560.0,10.196,39,,972,0,7,73,2025,0.6148,944.4,0.5531,108,step_limit,0,89802,3236.7
93,1000,300.0,-51.181,25,,891,0,3,23,2974,0.6685,902.1,0.7901,137,step_limit,0,90802,3286.0
94,1000,420.0,-6.489,34,,779,0,4,66,2288,0.6362,958.3,0.6229,133,step_limit,0,91802,3333.9
95,1000,340.0,-18.086,29,,756,0,3,74,2565,0.6693,873.3,0.6864,173,step_limit,0,92802,3382.9
96,1000,450.0,2.7,34,,919,0,5,119,2352,0.654,888.9,0.6383,205,step_limit,0,93802,3429.8
97,1000,350.0,-8.728,30,,980,0,3,126,2603,0.6495,914.4,0.7003,164,step_limit,0,94802,3477.0
98,1000,330.0,-39.56,28,,994,0,3,58,2900,0.6212,899.6,0.7742,292,step_limit,0,95802,3526.7
99,1000,90.0,-42.416,13,,802,0,0,80,3105,0.632,938.4,0.7976,160,step_limit,0,96802,3574.2
100,1000,330.0,-34.907,28,,998,0,3,29,2678,0.6845,955.7,0.7114,154,step_limit,0,97802,3624.3
101,1000,210.0,-38.2,22,,985,0,1,52,2893,0.64,869.9,0.7578,149,step_limit,0,98802,3691.3
102,1000,220.0,-61.112,20,,901,0,2,12,3039,0.7007,855.5,0.796,134,step_limit,0,99802,3738.2
103,1000,250.0,-32.898,20,,993,0,3,63,2846,0.6508,744.0,0.7417,147,step_limit,0,100802,3786.7
104,1000,230.0,-51.243,21,,928,0,2,29,2997,0.701,888.9,0.7843,177,step_limit,0,101802,3836.3
105,1000,310.0,-35.346,26,,987,0,3,82,2915,0.659,841.6,0.7786,188,step_limit,0,102802,3884.9
106,1000,290.0,-37.469,21,,821,0,4,19,2723,0.6877,847.0,0.7112,110,step_limit,0,103802,3934.5
107,1000,380.0,-31.041,27,,865,0,5,34,2651,0.583,880.6,0.705,171,step_limit,0,104802,3982.9
108,1000,290.0,-45.676,24,,959,0,3,34,2901,0.6747,902.8,0.7673,451,step_limit,0,105802,4028.5
109,1000,330.0,-42.433,28,,990,0,3,22,2778,0.6837,944.4,0.7428,97,step_limit,0,106802,4076.9
110,1000,300.0,-23.452,25,,925,0,3,64,2622,0.666,791.8,0.6855,148,step_limit,0,107802,4125.3
111,1000,420.0,-17.016,34,,974,0,4,54,2472,0.674,906.1,0.6658,202,step_limit,0,108802,4171.2
112,1000,300.0,-38.11,25,,846,0,3,42,2815,0.6775,874.1,0.747,152,step_limit,0,109802,4216.1
113,1000,370.0,-36.911,29,,871,0,4,21,2670,0.618,940.9,0.7169,121,step_limit,0,110802,4260.7
114,1000,350.0,-31.742,30,,981,0,3,41,2692,0.6907,888.7,0.7139,91,step_limit,0,111802,4310.0
115,1000,360.0,-20.505,28,,689,0,4,68,2630,0.5435,912.9,0.7007,131,step_limit,0,112802,4358.2
116,1000,240.0,-39.63,22,,945,0,2,46,2836,0.639,853.2,0.7476,158,step_limit,0,113802,4407.4
117,1000,360.0,-23.063,28,,968,0,4,54,2573,0.6312,944.4,0.6902,134,step_limit,0,114802,4455.3
118,1000,170.0,-68.406,18,,888,0,1,21,3280,0.6885,782.2,0.8517,464,step_limit,0,115802,4504.9
119,1000,280.0,-51.952,26,,828,0,2,35,3007,0.6715,806.9,0.8013,167,step_limit,0,116802,4552.8
120,1000,430.0,11.433,32,,917,0,5,103,2115,0.6295,875.0,0.5694,114,step_limit,0,117802,4602.5
121,1000,310.0,-44.407,26,,598,0,3,52,2979,0.6255,889.6,0.7866,311,step_limit,0,118802,4650.8
122,1000,270.0,-34.618,22,,997,0,3,54,2825,0.668,878.7,0.746,137,step_limit,0,119802,4699.0
123,1000,250.0,-44.77,23,,989,0,2,63,3038,0.6625,713.1,0.8019,321,step_limit,0,120802,4748.4
124,1000,250.0,-53.073,20,,658,0,3,17,2984,0.7033,903.5,0.784,166,step_limit,0,121802,4796.0
125,688,92.48,-40.975,12,,189,0,0,55,2317,0.6831,767.1,0.8894,279,no_progress,0,122490,4829.2
126,1000,360.0,-37.065,28,,978,0,4,39,2767,0.6907,883.1,0.7375,129,step_limit,0,123490,4878.6
127,1000,320.0,-32.598,27,,901,0,3,25,2659,0.7043,955.7,0.7041,159,step_limit,0,124490,4926.9
128,1000,400.0,-0.574,32,,884,0,4,121,2441,0.63,906.7,0.6621,141,step_limit,0,125490,4972.0
129,1000,170.0,-67.27,18,,523,0,1,27,3279,0.5753,704.1,0.857,456,step_limit,0,126490,5019.0
130,1000,290.0,-32.375,24,,902,0,3,40,2665,0.6138,924.2,0.707,190,step_limit,0,127490,5067.2
131,1000,390.0,-21.043,31,,883,0,4,54,2510,0.6242,875.0,0.6802,229,step_limit,0,128490,5116.8
132,1000,580.0,9.344,41,,971,0,7,46,1987,0.6418,958.3,0.5295,81,step_limit,0,129490,5160.9
133,1000,330.0,-37.65,28,,987,0,3,32,2765,0.6665,841.4,0.7282,160,step_limit,0,130490,5209.2
134,1000,640.0,4.216,44,,992,0,8,51,2017,0.6262,875.0,0.5626,61,step_limit,0,131490,5259.2
135,1000,240.0,-56.092,22,,925,0,2,12,3040,0.6863,937.3,0.7976,200,step_limit,0,132490,5307.5
136,1000,330.0,-40.816,25,,961,0,4,26,2800,0.6745,860.3,0.7434,304,step_limit,0,133490,5357.0
137,1000,300.0,-53.315,25,,894,0,3,23,2987,0.6797,875.1,0.7943,156,step_limit,0,134490,5405.0
138,1000,560.0,-5.603,39,,996,0,7,49,2225,0.6108,883.5,0.6066,203,step_limit,0,135490,5453.9
139,1000,330.0,-47.023,25,,857,0,4,16,2846,0.6295,830.8,0.758,112,step_limit,0,136490,5501.8
140,1000,210.0,-60.404,19,,886,0,2,35,3208,0.6903,825.0,0.8356,165,step_limit,0,137490,5549.1
