episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,50,1000,340.0,29,,3,0.5753,972.8,0.7054,120,step_limit,0.2254,1.9
2,4,50,1000,290.0,24,,3,0.6002,849.9,0.6846,81,step_limit,0.0326,3.1
3,4,50,1000,290.0,24,,3,0.6525,956.2,0.6828,99,step_limit,0.1061,4.3
4,4,50,1000,540.0,43,,5,0.595,956.7,0.5142,63,step_limit,0.122,5.5
5,4,50,1000,390.0,31,,4,0.642,866.8,0.6792,225,step_limit,0.1115,6.6
6,4,50,1000,180.0,16,,2,0.584,858.4,0.7181,312,step_limit,0.0417,15.2
7,4,50,1000,300.0,25,,3,0.5098,753.8,0.7314,211,step_limit,0.0633,32.4
8,4,50,1000,320.0,27,,3,0.5138,762.6,0.7691,253,step_limit,0.2019,59.9
9,4,50,1000,640.0,47,,7,0.649,941.8,0.4248,147,step_limit,0.3061,87.7
10,4,50,1000,400.0,32,,4,0.6188,740.0,0.7187,407,step_limit,0.2716,114.9
11,4,50,869,675.24,50,869,7,0.5843,906.1,0.364,58,complete,0.2655,137.7
12,4,50,672,133.12,16,,0,0.7106,615.2,0.8706,499,no_progress,0.145,156.3
13,4,50,1000,610.0,47,,6,0.652,916.5,0.4046,139,step_limit,0.3162,183.9
14,4,50,1000,460.0,35,,5,0.572,739.5,0.6128,395,step_limit,0.309,209.6
15,4,50,1000,590.0,45,,6,0.611,927.1,0.3168,123,step_limit,0.3094,237.2
16,4,50,1000,410.0,33,,4,0.6398,744.4,0.7314,284,step_limit,0.1777,264.7
17,4,50,1000,480.0,37,,5,0.5797,786.3,0.6639,172,step_limit,0.2147,292.6
18,4,50,984,480.64,37,,5,0.6751,924.4,0.6939,454,no_progress,0.2717,320.1
19,4,50,810,287.6,26,,2,0.4818,531.4,0.8479,325,no_progress,0.1728,341.3
20,4,50,1000,590.0,45,,6,0.6362,893.7,0.443,151,step_limit,0.2786,368.7
