episode,n_drones,n_dests,steps,team_reward,delivered,makespan,reloads,hop2plus,max_reach,stall_ratio,max_stall_run,term_reason,relay_frac,wall_sec
1,4,50,1000,290.0,27,,2,0.6102,805.5,0.7558,122,step_limit,0.0821,3.5
2,4,50,1000,190.0,20,,1,0.6555,885.5,0.7401,101,step_limit,0.1055,4.9
3,4,50,1000,230.0,21,,2,0.6713,852.7,0.7883,287,step_limit,0.053,6.4
4,4,50,1000,210.0,19,,2,0.6242,942.5,0.8231,319,step_limit,0.1364,8.0
5,4,50,1000,110.0,15,,0,0.7282,913.6,0.8816,388,step_limit,0.0603,9.6
6,4,50,1000,560.0,39,,7,0.6385,843.5,0.654,97,step_limit,0.0482,12.4
7,4,50,1000,370.0,29,,4,0.629,936.5,0.6734,89,step_limit,0.1286,32.9
8,4,50,1000,630.0,46,,7,0.6438,930.6,0.5536,171,step_limit,0.1875,60.7
9,4,50,750,710.0,50,750,8,0.5667,916.7,0.2702,19,complete,0.2244,82.1
10,4,50,1000,470.0,36,,5,0.657,875.0,0.6996,338,step_limit,0.1206,109.3
11,4,50,960,701.6,50,960,8,0.6622,944.4,0.4638,119,complete,0.25,134.2
12,4,50,1000,470.0,36,,5,0.6797,949.4,0.5996,385,step_limit,0.2409,161.3
13,4,50,1000,690.0,49,,8,0.6312,934.7,0.4558,130,step_limit,0.2313,188.8
14,4,50,1000,550.0,41,,6,0.6492,930.1,0.5401,126,step_limit,0.2758,216.2
15,4,50,1000,630.0,46,,7,0.6408,932.1,0.5647,90,step_limit,0.1694,243.7
16,4,50,1000,570.0,43,,6,0.6232,799.3,0.6386,201,step_limit,0.1909,269.2
17,4,50,1000,600.0,43,,7,0.6488,892.4,0.503,168,step_limit,0.2304,297.1
18,4,50,1000,420.0,34,,4,0.4863,749.0,0.7649,236,step_limit,0.2078,324.5
19,4,50,836,446.56,33,,5,0.6621,772.5,0.7412,375,no_progress,0.125,347.7
20,4,50,1000,450.0,34,,5,0.581,891.1,0.7249,208,step_limit,0.1695,373.7
21,4,50,637,154.52,18,,0,0.4674,488.1,0.9092,477,no_progress,0.3298,391.5
22,4,50,1000,660.0,49,,7,0.6675,922.4,0.5529,76,step_limit,0.202,419.2
23,4,50,1000,480.0,37,,5,0.6755,803.8,0.6637,175,step_limit,0.2131,446.7
24,4,50,966,671.36,50,966,7,0.6517,861.1,0.6154,89,complete,0.1818,471.9
25,4,50,630,114.8,14,,0,0.7024,579.5,0.8613,457,no_progress,0.1,489.5
26,4,50,584,136.64,16,,0,0.723,581.3,0.8704,497,no_progress,0.1648,504.5
27,4,50,1000,550.0,41,,6,0.674,777.0,0.5931,302,step_limit,0.2191,532.2
28,4,50,583,116.68,14,,0,0.482,592.6,0.9329,510,no_progress,0.0,548.3
29,4,50,829,536.84,39,,6,0.6698,719.2,0.7177,468,no_progress,0.1416,570.2
30,4,50,1000,590.0,45,,6,0.5395,913.3,0.6026,175,step_limit,0.1591,597.5
31,4,50,1000,540.0,40,,6,0.6162,914.5,0.5638,163,step_limit,0.2097,625.3
32,4,50,1000,600.0,43,,7,0.6703,865.1,0.6003,230,step_limit,0.2071,652.9
33,4,50,1000,650.0,48,,7,0.664,907.6,0.5557,132,step_limit,0.202,679.1
34,4,50,1000,490.0,38,,5,0.677,870.1,0.7059,203,step_limit,0.1317,706.4
35,4,50,707,711.72,50,707,8,0.6326,860.0,0.2675,38,complete,0.2727,726.6
36,4,50,1000,630.0,46,,7,0.6545,890.3,0.5499,90,step_limit,0.207,754.1
37,4,50,1000,620.0,42,,8,0.5817,875.0,0.568,129,step_limit,0.1375,780.2
38,4,50,1000,240.0,22,,2,0.5607,578.4,0.8646,235,step_limit,0.0739,807.6
39,4,50,988,500.48,36,,6,0.5418,933.7,0.68,486,no_progress,0.196,830.9
40,4,50,1000,680.0,48,,8,0.6032,889.0,0.4672,49,step_limit,0.2266,854.0
41,4,50,1000,570.0,40,,7,0.5755,834.2,0.5408,138,step_limit,0.2692,879.7
42,4,50,1000,690.0,49,,8,0.4763,904.0,0.3065,38,step_limit,0.2099,907.3
43,4,50,1000,640.0,44,,8,0.5485,889.9,0.4164,52,step_limit,0.2372,935.1
44,4,50,1000,300.0,25,,3,0.5533,764.4,0.7073,171,step_limit,0.2138,962.5
45,4,50,1000,620.0,42,,8,0.5753,906.0,0.3877,138,step_limit,0.2552,989.4
46,4,50,1000,480.0,37,,5,0.5945,927.9,0.6145,200,step_limit,0.1855,1015.5
47,4,50,1000,380.0,30,,4,0.614,767.7,0.6556,169,step_limit,0.1928,1042.6
48,4,50,1000,480.0,37,,5,0.604,851.8,0.7078,179,step_limit,0.158,1070.1
49,4,50,1000,600.0,46,,6,0.5647,914.2,0.3966,87,step_limit,0.1097,1097.8
50,4,50,878,414.88,33,,4,0.6472,808.9,0.7212,305,no_progress,0.1382,1121.1
51,4,50,959,701.64,50,959,8,0.5879,898.6,0.4213,136,complete,0.1748,1171.8
52,4,50,930,732.8,50,930,9,0.5618,942.8,0.2494,31,complete,0.1569,1197.5
53,4,50,1000,380.0,30,,4,0.6308,780.4,0.7298,131,step_limit,0.1487,1223.4
54,4,50,1000,470.0,36,,5,0.4437,715.2,0.505,109,step_limit,0.0944,1250.7
55,4,50,1000,470.0,36,,5,0.5795,795.5,0.6139,119,step_limit,0.0833,1278.4
56,4,50,1000,640.0,47,,7,0.5693,905.5,0.5474,174,step_limit,0.1589,1306.3
57,4,50,1000,540.0,40,,6,0.511,867.9,0.5435,143,step_limit,0.1033,1334.1
58,4,50,1000,600.0,43,,7,0.6512,871.2,0.5409,136,step_limit,0.1579,1361.6
59,4,50,1000,560.0,42,,6,0.551,877.7,0.5543,71,step_limit,0.1842,1388.1
60,4,50,1000,650.0,48,,7,0.62,943.3,0.4485,154,step_limit,0.2172,1415.6
61,4,50,1000,510.0,40,,5,0.6315,773.3,0.5462,95,step_limit,0.1144,1443.4
62,4,50,1000,490.0,38,,5,0.6597,920.4,0.6513,145,step_limit,0.1495,1470.9
63,4,50,1000,440.0,36,,4,0.5727,762.4,0.6611,162,step_limit,0.0971,1498.3
64,4,50,1000,690.0,49,,8,0.6222,940.0,0.4262,104,step_limit,0.2327,1524.3
65,4,50,1000,390.0,31,,4,0.6488,789.2,0.7285,156,step_limit,0.1037,1551.8
66,4,50,1000,460.0,35,,5,0.658,872.4,0.5733,74,step_limit,0.1577,1579.1
67,4,50,1000,680.0,48,,8,0.6332,938.7,0.481,86,step_limit,0.1633,1606.6
68,4,50,1000,450.0,31,,6,0.6368,844.3,0.7251,556,step_limit,0.1019,1633.8
69,4,50,1000,360.0,31,,3,0.6877,918.7,0.75,241,step_limit,0.1818,1659.8
70,4,50,1000,590.0,42,,7,0.6022,921.9,0.5097,286,step_limit,0.1921,1686.6
71,4,50,1000,350.0,27,,4,0.5105,660.6,0.6962,181,step_limit,0.1795,1710.2
72,4,50,1000,300.0,25,,3,0.535,720.9,0.7559,349,step_limit,0.1507,1735.9
73,4,50,1000,410.0,30,,5,0.5527,837.2,0.6408,206,step_limit,0.1234,1758.5
74,4,50,1000,570.0,40,,7,0.6382,896.0,0.5373,100,step_limit,0.1436,1786.3
75,4,50,1000,560.0,42,,6,0.6228,891.2,0.6205,113,step_limit,0.1424,1813.8
76,4,50,1000,500.0,36,,6,0.598,851.2,0.6123,124,step_limit,0.2029,1841.2
77,4,50,1000,510.0,37,,6,0.6385,806.0,0.5576,148,step_limit,0.1902,1868.9
78,4,50,1000,370.0,29,,4,0.6518,833.1,0.754,156,step_limit,0.1461,1894.9
79,4,50,1000,530.0,39,,6,0.6125,948.0,0.5451,243,step_limit,0.1149,1922.3
80,4,50,1000,480.0,37,,5,0.6567,923.2,0.6644,186,step_limit,0.1235,1950.3
81,4,50,1000,420.0,34,,4,0.629,901.5,0.6752,125,step_limit,0.1759,1977.6
82,4,50,1000,530.0,39,,6,0.6015,936.6,0.5783,184,step_limit,0.1424,2004.6
83,4,50,1000,540.0,37,,7,0.5535,906.5,0.5452,89,step_limit,0.118,2030.4
84,4,50,1000,370.0,29,,4,0.5775,792.9,0.7093,130,step_limit,0.1235,2058.0
85,4,50,1000,460.0,35,,5,0.6435,935.7,0.7146,157,step_limit,0.1512,2085.5
86,4,50,1000,450.0,34,,5,0.5427,916.3,0.6176,161,step_limit,0.141,2112.7
87,4,50,1000,150.0,16,,1,0.671,722.0,0.8389,283,step_limit,0.1066,2139.8
88,4,50,1000,370.0,29,,4,0.5813,819.2,0.6586,113,step_limit,0.1603,2165.8
89,4,50,1000,560.0,39,,7,0.599,965.2,0.5399,156,step_limit,0.0815,2193.5
90,4,50,1000,200.0,21,,1,0.7218,901.2,0.8513,319,step_limit,0.1213,2220.5
91,4,50,1000,370.0,29,,4,0.5725,829.8,0.6694,103,step_limit,0.0918,2248.5
92,4,50,1000,500.0,36,,6,0.5962,825.3,0.6908,140,step_limit,0.1037,2275.6
93,4,50,1000,440.0,33,,5,0.6535,783.2,0.6572,134,step_limit,0.1469,2301.4
94,4,50,1000,280.0,23,,3,0.635,792.8,0.7479,156,step_limit,0.1404,2328.8
95,4,50,1000,400.0,32,,4,0.6392,951.2,0.658,137,step_limit,0.1451,2356.2
96,4,50,1000,320.0,24,,4,0.578,834.0,0.7293,143,step_limit,0.1232,2384.1
97,4,50,1000,370.0,29,,4,0.5897,892.8,0.6258,129,step_limit,0.15,2411.2
98,4,50,1000,350.0,27,,4,0.6212,962.5,0.6949,159,step_limit,0.12,2437.1
99,4,50,1000,640.0,47,,7,0.6382,899.2,0.4906,134,step_limit,0.1495,2464.8
100,4,50,1000,370.0,29,,4,0.6068,749.7,0.6809,141,step_limit,0.1104,2492.0
101,4,50,1000,220.0,20,,2,0.6052,912.9,0.7892,229,step_limit,0.1029,2540.9
102,4,50,1000,500.0,36,,6,0.6012,922.5,0.607,80,step_limit,0.0934,2568.1
103,4,50,1000,410.0,30,,5,0.621,924.7,0.6485,165,step_limit,0.1265,2595.8
104,4,50,1000,490.0,38,,5,0.5763,896.6,0.6165,109,step_limit,0.1638,2623.4
105,4,50,982,240.72,22,,2,0.6836,753.2,0.8224,295,no_progress,0.192,2650.2
106,4,50,1000,580.0,41,,7,0.664,944.8,0.6269,158,step_limit,0.1209,2673.2
107,4,50,1000,450.0,34,,5,0.645,908.4,0.6166,125,step_limit,0.1433,2699.0
108,4,50,1000,270.0,25,,2,0.5877,655.4,0.789,309,step_limit,0.1199,2726.0
