/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=고정 드론 4 목적지 50 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론4 목적지50 | 1000스텝 | 배송 27/50 | 재적재  2 | 중계율 0.08 | step_limit
Ep 2 | 드론4 목적지50 | 1000스텝 | 배송 20/50 | 재적재  1 | 중계율 0.11 | step_limit
Ep 3 | 드론4 목적지50 | 1000스텝 | 배송 21/50 | 재적재  2 | 중계율 0.05 | step_limit
Ep 4 | 드론4 목적지50 | 1000스텝 | 배송 19/50 | 재적재  2 | 중계율 0.14 | step_limit
Ep 5 | 드론4 목적지50 | 1000스텝 | 배송 15/50 | 재적재  0 | 중계율 0.06 | step_limit
Ep 6 | 드론4 목적지50 | 1000스텝 | 배송 39/50 | 재적재  7 | 중계율 0.05 | step_limit
Ep 7 | 드론4 목적지50 | 1000스텝 | 배송 29/50 | 재적재  4 | 중계율 0.13 | step_limit
Ep 8 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.19 | step_limit
Ep 9 | 드론4 목적지50 |  750스텝 | 배송 50/50 | 재적재  8 | 중계율 0.22 | complete
Ep 10 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  5 | 중계율 0.12 | step_limit
Ep 11 | 드론4 목적지50 |  960스텝 | 배송 50/50 | 재적재  8 | 중계율 0.25 | complete
Ep 12 | 드론4 목적지50 | 1000스텝 | 배송 36/50 | 재적재  5 | 중계율 0.24 | step_limit
Ep 13 | 드론4 목적지50 | 1000스텝 | 배송 49/50 | 재적재  8 | 중계율 0.23 | step_limit
Ep 14 | 드론4 목적지50 | 1000스텝 | 배송 41/50 | 재적재  6 | 중계율 0.28 | step_limit
Ep 15 | 드론4 목적지50 | 1000스텝 | 배송 46/50 | 재적재  7 | 중계율 0.17 | step_limit
Ep 16 | 드론4 목적지50 | 1000스텝 | 배송 43/50 | 재적재  6 | 중계율 0.19 | step_limit
