/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론8 목적지57 |  475스텝 | 배송 57/57 | 재적재  9 | 중계율 0.14 | complete
Ep 2 | 드론3 목적지50 | 1000스텝 | 배송 23/50 | 재적재  2 | 중계율 0.07 | step_limit
Ep 3 | 드론7 목적지72 |  558스텝 | 배송 72/72 | 재적재 11 | 중계율 0.14 | complete
Ep 4 | 드론3 목적지46 | 1000스텝 | 배송 30/46 | 재적재  5 | 중계율 0.15 | step_limit
Ep 5 | 드론5 목적지58 | 1000스텝 | 배송 24/58 | 재적재  1 | 중계율 0.12 | step_limit
Ep 6 | 드론3 목적지61 | 1000스텝 | 배송 21/61 | 재적재  3 | 중계율 0.10 | step_limit
Ep 7 | 드론3 목적지30 | 1000스텝 | 배송 18/30 | 재적재  1 | 중계율 0.09 | step_limit
Ep 8 | 드론3 목적지69 | 1000스텝 | 배송 37/69 | 재적재  6 | 중계율 0.28 | step_limit
Ep 9 | 드론5 목적지66 | 1000스텝 | 배송 43/66 | 재적재  5 | 중계율 0.20 | step_limit
Ep 10 | 드론4 목적지26 |  517스텝 | 배송 26/26 | 재적재  3 | 중계율 0.20 | complete
Ep 11 | 드론8 목적지32 |  189스텝 | 배송 32/32 | 재적재  3 | 중계율 0.10 | complete
Ep 12 | 드론5 목적지35 |  494스텝 | 배송 35/35 | 재적재  5 | 중계율 0.15 | complete
Ep 13 | 드론5 목적지23 |  241스텝 | 배송 23/23 | 재적재  1 | 중계율 0.26 | complete
Ep 14 | 드론4 목적지61 | 1000스텝 | 배송 50/61 | 재적재  9 | 중계율 0.20 | step_limit
Ep 15 | 드론7 목적지78 |  521스텝 | 배송 78/78 | 재적재 12 | 중계율 0.14 | complete
Ep 16 | 드론7 목적지46 |  550스텝 | 배송 46/46 | 재적재  6 | 중계율 0.11 | complete
Ep 17 | 드론6 목적지74 |  524스텝 | 배송 74/74 | 재적재 11 | 중계율 0.14 | complete
Ep 18 | 드론5 목적지24 |  320스텝 | 배송 24/24 | 재적재  1 | 중계율 0.12 | complete
Ep 19 | 드론6 목적지24 |  414스텝 | 배송 24/24 | 재적재  3 | 중계율 0.11 | complete
Ep 20 | 드론5 목적지66 |  621스텝 | 배송 66/66 | 재적재 10 | 중계율 0.13 | complete
Ep 21 | 드론5 목적지43 | 1000스텝 | 배송 33/43 | 재적재  3 | 중계율 0.11 | step_limit
Ep 22 | 드론5 목적지43 |  720스텝 | 배송 43/43 | 재적재  6 | 중계율 0.06 | complete
Ep 23 | 드론3 목적지22 |  500스텝 | 배송 22/22 | 재적재  3 | 중계율 0.23 | complete
Ep 24 | 드론5 목적지35 |  612스텝 | 배송 35/35 | 재적재  5 | 중계율 0.07 | complete
Ep 25 | 드론7 목적지25 |  194스텝 | 배송 25/25 | 재적재  0 | 중계율 0.08 | complete
Ep 26 | 드론4 목적지79 | 1000스텝 | 배송 56/79 | 재적재  9 | 중계율 0.10 | step_limit
Ep 27 | 드론7 목적지63 |  757스텝 | 배송 63/63 | 재적재 10 | 중계율 0.14 | complete
Ep 28 | 드론4 목적지77 | 1000스텝 | 배송 41/77 | 재적재  5 | 중계율 0.20 | step_limit
Ep 29 | 드론5 목적지34 |  556스텝 | 배송 34/34 | 재적재  5 | 중계율 0.06 | complete
Ep 30 | 드론5 목적지25 |  567스텝 | 배송  8/25 | 재적재  0 | 중계율 0.00 | no_progress
Ep 31 | 드론7 목적지68 |  407스텝 | 배송 68/68 | 재적재  8 | 중계율 0.18 | complete
Ep 32 | 드론5 목적지79 | 1000스텝 | 배송 66/79 | 재적재 12 | 중계율 0.17 | step_limit
Ep 33 | 드론5 목적지62 | 1000스텝 | 배송 55/62 | 재적재  8 | 중계율 0.13 | step_limit
Ep 34 | 드론5 목적지33 |  424스텝 | 배송 33/33 | 재적재  4 | 중계율 0.09 | complete
Ep 35 | 드론5 목적지26 |  450스텝 | 배송 26/26 | 재적재  3 | 중계율 0.10 | complete
Ep 36 | 드론5 목적지57 |  772스텝 | 배송 57/57 | 재적재  9 | 중계율 0.23 | complete
Ep 37 | 드론5 목적지29 |  694스텝 | 배송 29/29 | 재적재  4 | 중계율 0.28 | complete
Ep 38 | 드론6 목적지63 |  484스텝 | 배송 63/63 | 재적재  9 | 중계율 0.14 | complete
Ep 39 | 드론6 목적지44 |  863스텝 | 배송 44/44 | 재적재  7 | 중계율 0.22 | complete
Ep 40 | 드론8 목적지56 |  369스텝 | 배송 56/56 | 재적재  8 | 중계율 0.14 | complete
Ep 41 | 드론8 목적지21 |  176스텝 | 배송 21/21 | 재적재  0 | 중계율 0.14 | complete
Ep 42 | 드론3 목적지24 | 1000스텝 | 배송 20/24 | 재적재  2 | 중계율 0.24 | step_limit
Ep 43 | 드론5 목적지52 |  693스텝 | 배송 52/52 | 재적재  7 | 중계율 0.19 | complete
Ep 44 | 드론5 목적지72 |  707스텝 | 배송 72/72 | 재적재 13 | 중계율 0.18 | complete
Ep 45 | 드론4 목적지52 | 1000스텝 | 배송 37/52 | 재적재  6 | 중계율 0.31 | step_limit
Ep 46 | 드론8 목적지72 |  372스텝 | 배송 72/72 | 재적재 11 | 중계율 0.10 | complete
Ep 47 | 드론5 목적지69 |  821스텝 | 배송 69/69 | 재적재 13 | 중계율 0.19 | complete
Ep 48 | 드론4 목적지56 |  759스텝 | 배송 56/56 | 재적재 11 | 중계율 0.20 | complete
Ep 49 | 드론8 목적지78 |  477스텝 | 배송 78/78 | 재적재 14 | 중계율 0.12 | complete
Ep 50 | 드론7 목적지40 |  597스텝 | 배송 40/40 | 재적재  4 | 중계율 0.28 | complete
  [홀드아웃] 배송 37.8±9.8 완주 0.08 재적재 5.6 2홉+ 0.62 | 최고 37.8@ep50 정체 0/15  ← 갱신
Ep 51 | 드론8 목적지51 |  282스텝 | 배송 51/51 | 재적재  8 | 중계율 0.11 | complete
Ep 52 | 드론3 목적지42 |  714스텝 | 배송 19/42 | 재적재  2 | 중계율 0.24 | no_progress
Ep 53 | 드론8 목적지60 |  422스텝 | 배송 60/60 | 재적재  9 | 중계율 0.14 | complete
Ep 54 | 드론4 목적지49 |  582스텝 | 배송 49/49 | 재적재  7 | 중계율 0.17 | complete
Ep 55 | 드론5 목적지40 |  571스텝 | 배송 40/40 | 재적재  6 | 중계율 0.12 | complete
Ep 56 | 드론6 목적지61 |  785스텝 | 배송 61/61 | 재적재 11 | 중계율 0.17 | complete
Ep 57 | 드론3 목적지53 | 1000스텝 | 배송 31/53 | 재적재  5 | 중계율 0.18 | step_limit
Ep 58 | 드론8 목적지57 |  357스텝 | 배송 57/57 | 재적재  8 | 중계율 0.13 | complete
