/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=150
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:277: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 1 | 드론6 목적지43 |  650스텝 | 배송 43/43 | 재적재  7 | 중계율 0.08 | complete
Ep 2 | 드론5 목적지74 |  699스텝 | 배송 74/74 | 재적재 12 | 중계율 0.12 | complete
Ep 3 | 드론6 목적지43 |  527스텝 | 배송 43/43 | 재적재  6 | 중계율 0.05 | complete
Ep 4 | 드론5 목적지23 | 1000스텝 | 배송 22/23 | 재적재  3 | 중계율 0.03 | step_limit
Ep 5 | 드론5 목적지31 |  826스텝 | 배송 31/31 | 재적재  4 | 중계율 0.03 | complete
Ep 6 | 드론3 목적지68 | 1000스텝 | 배송 25/68 | 재적재  4 | 중계율 0.06 | step_limit
Ep 7 | 드론8 목적지44 |  795스텝 | 배송 44/44 | 재적재  4 | 중계율 0.01 | complete
Ep 8 | 드론8 목적지30 |  287스텝 | 배송 30/30 | 재적재  2 | 중계율 0.03 | complete
Ep 9 | 드론8 목적지42 |  402스텝 | 배송 42/42 | 재적재  5 | 중계율 0.05 | complete
Ep 10 | 드론8 목적지47 |  453스텝 | 배송 47/47 | 재적재  4 | 중계율 0.04 | complete
Ep 11 | 드론7 목적지21 |  336스텝 | 배송 21/21 | 재적재  0 | 중계율 0.02 | complete
Ep 12 | 드론3 목적지37 | 1000스텝 | 배송 20/37 | 재적재  2 | 중계율 0.07 | step_limit
Ep 13 | 드론7 목적지28 |  382스텝 | 배송 28/28 | 재적재  2 | 중계율 0.03 | complete
Ep 14 | 드론3 목적지41 | 1000스텝 | 배송 12/41 | 재적재  0 | 중계율 0.21 | step_limit
Ep 15 | 드론3 목적지66 |  612스텝 | 배송  8/66 | 재적재  0 | 중계율 0.45 | no_progress
Ep 16 | 드론4 목적지71 | 1000스텝 | 배송 54/71 | 재적재  9 | 중계율 0.34 | step_limit
Ep 17 | 드론5 목적지24 |  346스텝 | 배송 24/24 | 재적재  3 | 중계율 0.24 | complete
Ep 18 | 드론6 목적지49 |  526스텝 | 배송 49/49 | 재적재  7 | 중계율 0.09 | complete
Ep 19 | 드론8 목적지34 |  307스텝 | 배송 34/34 | 재적재  2 | 중계율 0.15 | complete
Ep 20 | 드론3 목적지48 | 1000스텝 | 배송 22/48 | 재적재  4 | 중계율 0.31 | step_limit
Ep 21 | 드론4 목적지63 | 1000스텝 | 배송 37/63 | 재적재  6 | 중계율 0.39 | step_limit
Ep 22 | 드론8 목적지46 |  533스텝 | 배송 46/46 | 재적재  6 | 중계율 0.14 | complete
Ep 23 | 드론4 목적지44 |  742스텝 | 배송 44/44 | 재적재  7 | 중계율 0.33 | complete
Ep 24 | 드론6 목적지41 |  464스텝 | 배송 41/41 | 재적재  5 | 중계율 0.20 | complete
Ep 25 | 드론6 목적지38 |  474스텝 | 배송 38/38 | 재적재  5 | 중계율 0.24 | complete
Ep 26 | 드론7 목적지77 |  888스텝 | 배송 77/77 | 재적재 12 | 중계율 0.21 | complete
Ep 27 | 드론3 목적지41 | 1000스텝 | 배송 24/41 | 재적재  3 | 중계율 0.38 | step_limit
Ep 28 | 드론6 목적지52 |  809스텝 | 배송 52/52 | 재적재  7 | 중계율 0.36 | complete
Ep 29 | 드론6 목적지72 | 1000스텝 | 배송 64/72 | 재적재 10 | 중계율 0.36 | step_limit
Ep 30 | 드론7 목적지61 |  665스텝 | 배송 61/61 | 재적재  9 | 중계율 0.29 | complete
Ep 31 | 드론6 목적지45 |  526스텝 | 배송 45/45 | 재적재  7 | 중계율 0.24 | complete
Ep 32 | 드론3 목적지68 | 1000스텝 | 배송 20/68 | 재적재  1 | 중계율 0.30 | step_limit
Ep 33 | 드론3 목적지35 |  997스텝 | 배송 35/35 | 재적재  5 | 중계율 0.30 | complete
Ep 34 | 드론3 목적지24 |  459스텝 | 배송 24/24 | 재적재  3 | 중계율 0.18 | complete
Ep 35 | 드론3 목적지58 | 1000스텝 | 배송 43/58 | 재적재  8 | 중계율 0.39 | step_limit
Ep 36 | 드론5 목적지64 |  759스텝 | 배송 64/64 | 재적재 10 | 중계율 0.30 | complete
Ep 37 | 드론8 목적지58 |  510스텝 | 배송 58/58 | 재적재  7 | 중계율 0.23 | complete
Ep 38 | 드론3 목적지77 | 1000스텝 | 배송 40/77 | 재적재  6 | 중계율 0.35 | step_limit
Ep 39 | 드론4 목적지28 |  661스텝 | 배송 28/28 | 재적재  4 | 중계율 0.39 | complete
Ep 40 | 드론3 목적지37 |  887스텝 | 배송 37/37 | 재적재  5 | 중계율 0.25 | complete
Ep 41 | 드론7 목적지59 |  534스텝 | 배송 59/59 | 재적재  9 | 중계율 0.17 | complete
Ep 42 | 드론8 목적지58 |  573스텝 | 배송 58/58 | 재적재  9 | 중계율 0.19 | complete
Ep 43 | 드론7 목적지20 |  306스텝 | 배송 20/20 | 재적재  0 | 중계율 0.15 | complete
Ep 44 | 드론8 목적지30 |  389스텝 | 배송 30/30 | 재적재  2 | 중계율 0.10 | complete
Ep 45 | 드론7 목적지39 |  385스텝 | 배송 39/39 | 재적재  6 | 중계율 0.18 | complete
Ep 46 | 드론7 목적지32 |  367스텝 | 배송 32/32 | 재적재  3 | 중계율 0.16 | complete
Ep 47 | 드론7 목적지35 |  445스텝 | 배송 35/35 | 재적재  3 | 중계율 0.13 | complete
Ep 48 | 드론7 목적지39 |  536스텝 | 배송 39/39 | 재적재  5 | 중계율 0.12 | complete
Ep 49 | 드론6 목적지47 |  424스텝 | 배송 47/47 | 재적재  6 | 중계율 0.10 | complete
Ep 50 | 드론4 목적지72 | 1000스텝 | 배송 44/72 | 재적재  7 | 중계율 0.25 | step_limit
  [홀드아웃] 배송 26.2±13.1 완주 0.08 재적재 3.2 2홉+ 0.70 | 최고 26.2@ep50 정체 0/15  ← 갱신
Ep 51 | 드론4 목적지71 | 1000스텝 | 배송 67/71 | 재적재 11 | 중계율 0.17 | step_limit
Ep 52 | 드론5 목적지45 |  693스텝 | 배송 45/45 | 재적재  7 | 중계율 0.10 | complete
Ep 53 | 드론7 목적지64 |  527스텝 | 배송 64/64 | 재적재  9 | 중계율 0.06 | complete
Ep 54 | 드론7 목적지24 |  354스텝 | 배송 24/24 | 재적재  1 | 중계율 0.12 | complete
Ep 55 | 드론7 목적지60 |  645스텝 | 배송 60/60 | 재적재  8 | 중계율 0.14 | complete
Ep 56 | 드론7 목적지20 |  298스텝 | 배송 20/20 | 재적재  0 | 중계율 0.08 | complete
Ep 57 | 드론6 목적지61 |  680스텝 | 배송 61/61 | 재적재  9 | 중계율 0.19 | complete
Ep 58 | 드론6 목적지77 |  710스텝 | 배송 77/77 | 재적재 12 | 중계율 0.13 | complete
