/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 37/50 | 재적재  5 | 정지 0.53 교착최장  44 | step_limit
Ep 2 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.59 교착최장  59 | step_limit
Ep 3 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.64 교착최장 172 | step_limit
Ep 4 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.58 교착최장  80 | step_limit
Ep 5 |  1000스텝 | 배송 30/50 | 재적재  5 | 정지 0.66 교착최장 126 | step_limit
Ep 6 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.49 교착최장 112 | step_limit
Ep 7 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.73 교착최장 458 | step_limit
Ep 8 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.51 교착최장 339 | step_limit
Ep 9 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.31 교착최장  46 | step_limit
Ep 10 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.57 교착최장 288 | step_limit
Ep 11 |  1000스텝 | 배송 42/50 | 재적재  6 | 정지 0.44 교착최장  85 | step_limit
Ep 12 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.60 교착최장 182 | step_limit
Ep 13 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.53 교착최장  95 | step_limit
Ep 14 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.59 교착최장 412 | step_limit
Ep 15 |  1000스텝 | 배송 16/50 | 재적재  2 | 정지 0.70 교착최장 397 | step_limit
Ep 16 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.46 교착최장  20 | step_limit
Ep 17 |  1000스텝 | 배송 25/50 | 재적재  2 | 정지 0.63 교착최장 504 | step_limit
Ep 18 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.55 교착최장 115 | step_limit
Ep 19 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.76 교착최장 576 | step_limit
Ep 20 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.65 교착최장 337 | step_limit
Ep 21 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.74 교착최장 307 | step_limit
Ep 22 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.49 교착최장  59 | step_limit
Ep 23 |  1000스텝 | 배송 34/50 | 재적재  6 | 정지 0.57 교착최장  81 | step_limit
Ep 24 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.63 교착최장 212 | step_limit
Ep 25 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.72 교착최장 436 | step_limit
Ep 26 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.74 교착최장 382 | step_limit
Ep 27 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.61 교착최장 151 | step_limit
Ep 28 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.55 교착최장 138 | step_limit
Ep 29 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.68 교착최장 223 | step_limit
Ep 30 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.64 교착최장 167 | step_limit
Ep 31 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.69 교착최장 179 | step_limit
Ep 32 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.67 교착최장 173 | step_limit
Ep 33 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.78 교착최장 249 | step_limit
Ep 34 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.69 교착최장 189 | step_limit
Ep 35 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.65 교착최장  80 | step_limit
Ep 36 |  1000스텝 | 배송 40/50 | 재적재  6 | 정지 0.58 교착최장  95 | step_limit
Ep 37 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.69 교착최장 356 | step_limit
Ep 38 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.67 교착최장 153 | step_limit
Ep 39 |  1000스텝 | 배송 21/50 | 재적재  2 | 정지 0.85 교착최장 467 | step_limit
Ep 40 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.80 교착최장 627 | step_limit
Ep 41 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.77 교착최장 307 | step_limit
Ep 42 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.49 교착최장  50 | step_limit
Ep 43 |  1000스텝 | 배송 39/50 | 재적재  5 | 정지 0.55 교착최장  67 | step_limit
Ep 44 |  1000스텝 | 배송 28/50 | 재적재  5 | 정지 0.76 교착최장 301 | step_limit
Ep 45 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.82 교착최장 552 | step_limit
Ep 46 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.79 교착최장 263 | step_limit
Ep 47 |  1000스텝 | 배송 29/50 | 재적재  5 | 정지 0.71 교착최장 184 | step_limit
Ep 48 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.80 교착최장 410 | step_limit
Ep 49 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.77 교착최장 214 | step_limit
Ep 50 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.79 교착최장 337 | step_limit
  [홀드아웃] 배송 33.3±9.6 재적재 4.5 2홉+ 0.64 | 최고 33.3@ep50 정체 0/15  ← 갱신
Ep 51 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.75 교착최장 396 | step_limit
Ep 52 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.70 교착최장 177 | step_limit
Ep 53 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.71 교착최장  94 | step_limit
Ep 54 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.52 교착최장  63 | step_limit
Ep 55 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.66 교착최장 212 | step_limit
Ep 56 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.61 교착최장 296 | step_limit
Ep 57 |  1000스텝 | 배송 23/50 | 재적재  4 | 정지 0.73 교착최장 204 | step_limit
Ep 58 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.62 교착최장  96 | step_limit
Ep 59 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.68 교착최장  88 | step_limit
Ep 60 |  1000스텝 | 배송 18/50 | 재적재  2 | 정지 0.86 교착최장 478 | step_limit
Ep 61 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.78 교착최장 470 | step_limit
Ep 62 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.68 교착최장 246 | step_limit
Ep 63 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.75 교착최장 245 | step_limit
Ep 64 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.63 교착최장 134 | step_limit
Ep 65 |  1000스텝 | 배송 43/50 | 재적재  6 | 정지 0.58 교착최장 235 | step_limit
Ep 66 |  1000스텝 | 배송 46/50 | 재적재  8 | 정지 0.50 교착최장 129 | step_limit
Ep 67 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.65 교착최장 178 | step_limit
Ep 68 |  1000스텝 | 배송 35/50 | 재적재  6 | 정지 0.66 교착최장 139 | step_limit
Ep 69 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.77 교착최장 202 | step_limit
Ep 70 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.59 교착최장  79 | step_limit
Ep 71 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.74 교착최장 195 | step_limit
Ep 72 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.77 교착최장 492 | step_limit
Ep 73 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.79 교착최장 438 | step_limit
Ep 74 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.75 교착최장 575 | step_limit
Ep 75 |  1000스텝 | 배송 41/50 | 재적재  6 | 정지 0.55 교착최장  95 | step_limit
Ep 76 |  1000스텝 | 배송 37/50 | 재적재  7 | 정지 0.63 교착최장  77 | step_limit
Ep 77 |  1000스텝 | 배송 29/50 | 재적재  3 | 정지 0.75 교착최장 268 | step_limit
Ep 78 |  1000스텝 | 배송 22/50 | 재적재  3 | 정지 0.82 교착최장 541 | step_limit
Ep 79 |  1000스텝 | 배송 23/50 | 재적재  3 | 정지 0.82 교착최장 719 | step_limit
Ep 80 |  1000스텝 | 배송 36/50 | 재적재  5 | 정지 0.53 교착최장 139 | step_limit
Ep 81 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.75 교착최장 314 | step_limit
Ep 82 |  1000스텝 | 배송 36/50 | 재적재  6 | 정지 0.65 교착최장  67 | step_limit
Ep 83 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.80 교착최장 525 | step_limit
Ep 84 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.73 교착최장 183 | step_limit
Ep 85 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.68 교착최장 212 | step_limit
Ep 86 |  1000스텝 | 배송 26/50 | 재적재  2 | 정지 0.81 교착최장 233 | step_limit
Ep 87 |  1000스텝 | 배송 28/50 | 재적재  5 | 정지 0.69 교착최장  58 | step_limit
Ep 88 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.75 교착최장 170 | step_limit
Ep 89 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.72 교착최장 173 | step_limit
