episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-146.4528,0,0.0,,4,0,0,0.0,0,7,0,0.1,nan,nan,1000,1.8
2,1000,-137.4492,0,0.0,,4,0,0,0.0,0,12,0,0.1,nan,nan,2000,3.0
3,1000,-159.5232,0,0.0,,4,0,0,0.0,0,9,0,0.1,nan,nan,3000,4.2
4,1000,-160.2694,0,0.0,,4,0,0,0.0,0,5,0,0.1,nan,nan,4000,5.4
5,1000,-153.9142,0,0.0,,4,0,0,0.0,0,5,0,0.1,nan,nan,5000,6.7
6,1000,86.9853,14,0.28,,1,0,5,2.0616,0,11,0,0.08595,0.039769,0.514329,6000,13.4
7,1000,112.587,19,0.38,,0,4,5,0.433,0,135,0,0.074029,1.108401,0.327676,7000,19.2
8,1000,91.1074,15,0.3,,0,2,5,1.299,0,659,0,0.064798,1.182761,-0.199184,8000,25.2
9,1000,128.7902,19,0.38,,0,4,5,0.433,0,1296,0,0.057317,2.062026,-0.551524,9000,31.3
10,1000,144.5579,19,0.38,,0,4,5,0.433,0,1254,0,0.051115,1.10548,-0.755388,10000,37.2
11,1000,101.1958,16,0.32,,0,2,5,1.2247,0,1726,0,0.046791,1.023647,-1.698687,11000,43.4
12,1000,114.2196,18,0.36,,0,4,5,0.5,0,1734,0,0.04318,1.143179,-1.711084,12000,49.5
13,1000,103.8008,17,0.34,,0,3,5,0.8292,0,1828,0,0.040584,1.64891,-1.605575,13000,55.8
14,1000,130.4591,17,0.34,,0,2,5,1.299,0,295,0,0.041013,1.201705,-2.56318,14000,61.8
15,1000,115.9556,17,0.34,,0,3,5,0.8292,0,1026,0,0.038493,1.571383,-3.027638,15000,67.7
16,1000,25.6441,8,0.16,,1,0,5,1.8708,0,794,0,0.038402,2.059306,-4.148105,16000,73.9
17,1000,83.6863,13,0.26,,0,1,5,1.7854,0,792,0,0.039877,2.34867,-4.587139,17000,80.1
18,1000,60.9712,12,0.24,,0,1,5,1.5811,0,1525,0,0.041877,1.858699,-7.138031,18000,86.5
19,1000,134.7383,18,0.36,,0,3,5,0.866,0,1319,0,0.043634,1.297392,-7.942608,19000,92.6
20,1000,155.5812,20,0.4,,0,5,5,0.0,0,953,0,0.045779,1.947114,-7.743231,20000,98.6
21,1000,136.9902,19,0.38,,0,4,5,0.433,0,1013,0,0.047399,2.246566,-9.706463,21000,104.7
22,1000,127.4665,17,0.34,,0,3,5,0.8292,0,1042,0,0.049547,2.65415,-9.609013,22000,110.9
23,1000,93.7727,15,0.3,,0,2,5,1.0897,0,1377,0,0.052071,4.448533,-10.676682,23000,117.0
24,1000,124.0839,17,0.34,,0,2,5,1.299,0,1044,0,0.057738,2.684553,-10.765417,24000,123.1
25,1000,127.6741,18,0.36,,0,3,5,0.866,0,1159,0,0.06217,2.674012,-12.12922,25000,129.2
26,1000,102.7311,15,0.3,,0,3,5,0.8292,0,510,0,0.06408,1.693973,-11.767257,26000,135.5
27,1000,177.7733,19,0.38,,0,4,5,0.433,0,110,0,0.062229,3.816175,-12.894786,27000,141.6
28,1000,121.5285,15,0.3,,0,1,5,1.6394,0,587,0,0.059305,2.551937,-13.727201,28000,147.5
29,1000,89.6507,14,0.28,,0,1,5,1.5,0,484,0,0.057151,1.346192,-12.401682,29000,153.7
30,1000,142.9854,18,0.36,,0,3,5,0.866,0,784,0,0.054791,7.261703,-15.423418,30000,159.9
31,1000,162.9494,20,0.4,,0,5,5,0.0,0,405,0,0.052678,1.778127,-17.269501,31000,166.0
32,1000,140.3476,18,0.36,,0,3,5,0.866,0,221,0,0.05051,1.985554,-14.101861,32000,172.0
33,1000,112.5705,16,0.32,,0,3,5,0.7071,0,1136,0,0.050304,5.900395,-14.438301,33000,178.2
34,1000,132.7342,17,0.34,,0,4,5,0.433,0,513,0,0.049956,2.502507,-16.085054,34000,184.4
35,1000,93.5456,17,0.34,,0,3,5,0.8292,0,2243,0,0.05155,3.512686,-18.127529,35000,190.6
36,1000,75.5519,15,0.3,,0,3,5,0.8292,0,2077,0,0.049223,2.540142,-17.311253,36000,196.8
37,1000,89.0098,16,0.32,,0,2,5,1.2247,0,1525,0,0.048072,2.535221,-17.920975,37000,202.8
38,1000,82.9628,11,0.22,,0,1,5,1.479,0,339,0,0.047075,1.539855,-19.70528,38000,208.9
39,1000,116.3693,16,0.32,,0,2,5,1.2247,0,601,0,0.044432,3.20753,-19.987251,39000,215.0
40,1000,89.5417,12,0.24,,0,1,5,1.5811,0,367,0,0.042664,1.884731,-22.025698,40000,220.8
41,1000,115.7334,16,0.32,,0,2,5,1.2247,0,453,0,0.042205,0.883361,-19.924053,41000,226.7
42,1000,133.7341,16,0.32,,0,3,5,0.7071,0,359,0,0.041977,1.272071,-20.006905,42000,232.8
43,1000,123.0996,15,0.3,,0,2,5,1.0897,0,482,0,0.042068,1.709586,-23.510269,43000,238.7
44,1000,163.6331,18,0.36,,0,4,5,0.5,0,218,0,0.041159,3.133935,-23.829617,44000,244.4
45,1000,166.8764,20,0.4,,0,5,5,0.0,0,317,0,0.040147,0.964519,-22.074398,45000,250.2
46,1000,156.2721,19,0.38,,0,4,5,0.433,0,754,0,0.03953,0.805254,-22.321075,46000,256.1
47,1000,120.6331,16,0.32,,0,2,5,1.2247,0,904,0,0.039248,2.333182,-21.005615,47000,262.2
48,1000,101.3674,15,0.3,,0,2,5,1.299,0,1307,0,0.038888,2.064212,-24.909895,48000,268.4
49,1000,118.744,16,0.32,,0,3,5,1.0,0,807,0,0.038204,2.127299,-23.438812,49000,274.6
50,1000,154.195,18,0.36,,0,3,5,0.866,0,572,0,0.0372,2.031312,-24.791126,50000,280.7
51,1000,169.1012,20,0.4,,0,5,5,0.0,0,797,0,0.036408,0.813586,-21.093868,51000,286.7
52,1000,122.2118,16,0.32,,0,3,5,0.7071,0,466,0,0.036219,1.023772,-24.235172,52000,292.7
53,1000,92.5642,15,0.3,,0,2,5,1.299,0,969,0,0.03581,1.254958,-23.939013,53000,298.5
54,1000,144.1954,16,0.32,,0,2,5,1.2247,0,7,0,0.039302,2.093708,-22.525578,54000,304.3
55,1000,112.0275,15,0.3,,0,2,5,1.299,0,586,0,0.041517,1.680459,-22.447018,55000,310.1
56,1000,111.905,16,0.32,,0,3,5,1.0,0,1083,0,0.03942,1.172658,-24.659525,56000,315.9
57,1000,174.5254,19,0.38,,0,4,5,0.433,0,2,0,0.036939,2.572721,-21.965738,57000,321.7
58,1000,112.814,17,0.34,,0,3,5,0.8292,0,931,0,0.034719,0.548881,-23.439682,58000,327.8
59,1000,71.3274,9,0.18,,2,0,5,2.2776,0,225,0,0.032573,0.945571,-22.887543,59000,333.9
