/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda
obs_dim=19, state_dim=66, total_act_dim=8
Ep 1 | Step 1000 | R  -146.45 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 이동차단    7 | 단절 0
Ep 2 | Step 1000 | R  -137.45 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 이동차단   12 | 단절 0
Ep 3 | Step 1000 | R  -159.52 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 이동차단    9 | 단절 0
Ep 4 | Step 1000 | R  -160.27 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 이동차단    5 | 단절 0
Ep 5 | Step 1000 | R  -153.91 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 이동차단    5 | 단절 0
Ep 6 | Step 1000 | R    86.99 | 배송 14/50 | 미활동드론 1 | 재적재 0 | 이동차단   11 | 단절 0
Ep 7 | Step 1000 | R   112.59 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  135 | 단절 0
Ep 8 | Step 1000 | R    91.11 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  659 | 단절 0
Ep 9 | Step 1000 | R   128.79 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단 1296 | 단절 0
Ep 10 | Step 1000 | R   144.56 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단 1254 | 단절 0
Ep 11 | Step 1000 | R   101.20 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1726 | 단절 0
Ep 12 | Step 1000 | R   114.22 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단 1734 | 단절 0
Ep 13 | Step 1000 | R   103.80 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1828 | 단절 0
Ep 14 | Step 1000 | R   130.46 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  295 | 단절 0
Ep 15 | Step 1000 | R   115.96 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1026 | 단절 0
Ep 16 | Step 1000 | R    25.64 | 배송  8/50 | 미활동드론 1 | 재적재 0 | 이동차단  794 | 단절 0
Ep 17 | Step 1000 | R    83.69 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 이동차단  792 | 단절 0
Ep 18 | Step 1000 | R    60.97 | 배송 12/50 | 미활동드론 0 | 재적재 0 | 이동차단 1525 | 단절 0
Ep 19 | Step 1000 | R   134.74 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단 1319 | 단절 0
Ep 20 | Step 1000 | R   155.58 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  953 | 단절 0
Ep 21 | Step 1000 | R   136.99 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단 1013 | 단절 0
Ep 22 | Step 1000 | R   127.47 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1042 | 단절 0
Ep 23 | Step 1000 | R    93.77 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단 1377 | 단절 0
