episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-112.3237,0,0.0,,4,0,0,0.0,0,4,0.2853,502.5,0,0,0.1,nan,nan,1000,2.1
2,1000,-141.492,0,0.0,,4,0,0,0.0,0,4,0.2833,502.5,0,0,0.1,nan,nan,2000,3.9
3,1000,-98.7662,0,0.0,,4,0,0,0.0,0,0,0.2655,502.5,0,0,0.1,nan,nan,3000,5.6
4,1000,-135.4459,0,0.0,,4,0,0,0.0,0,2,0.2965,502.5,0,0,0.1,nan,nan,4000,7.4
5,1000,-123.573,0,0.0,,4,0,0,0.0,0,12,0.3108,502.5,0,0,0.1,nan,nan,5000,9.2
6,1000,-7.0367,2,0.04,,2,0,1,0.5,0,63,0.1398,516.1,908,0,0.086305,1.874511,-0.99293,6000,17.8
7,1000,54.2712,9,0.18,,2,0,5,2.2776,0,352,0.336,905.4,991,0,0.07469,2.127807,-1.271362,7000,26.8
8,1000,110.0837,14,0.28,,0,2,5,1.118,0,387,0.583,1073.5,865,0,0.066568,1.596134,-1.628642,8000,35.5
9,1000,137.8654,17,0.34,,0,3,5,0.8292,0,876,0.4985,1073.5,925,0,0.060273,2.492789,-2.173412,9000,44.0
10,1000,62.5422,10,0.2,,1,0,5,2.0616,0,1801,0.4545,1071.4,432,0,0.055586,2.623932,-2.186206,10000,53.0
11,1000,72.1659,11,0.22,,1,0,5,1.9203,0,1480,0.5725,1073.5,865,0,0.05325,1.327817,-3.032053,11000,61.5
12,1000,105.2031,12,0.24,,1,0,5,2.1213,0,1160,0.404,952.3,760,0,0.052817,1.034419,-3.433093,12000,69.9
13,1000,103.5001,13,0.26,,0,1,5,1.7854,0,730,0.5583,1073.5,938,0,0.05355,2.081239,-4.278183,13000,78.6
14,1000,142.4413,18,0.36,,0,3,5,0.866,0,1385,0.645,973.5,766,0,0.054264,1.804436,-5.169588,14000,87.3
15,1000,144.4313,17,0.34,,0,2,5,1.299,0,719,0.637,1073.5,955,0,0.056172,2.135079,-5.683842,15000,95.5
16,1000,157.4857,18,0.36,,0,3,5,0.866,0,573,0.5945,1073.5,838,0,0.059842,1.997316,-6.034326,16000,104.0
17,1000,143.3987,17,0.34,,0,4,5,0.433,0,738,0.6873,964.2,952,0,0.063463,1.025917,-6.911484,17000,112.7
18,1000,165.263,20,0.4,,0,5,5,0.0,0,798,0.6245,985.4,686,0,0.067918,2.536393,-7.612591,18000,120.7
19,1000,92.802,13,0.26,,0,1,5,1.7854,0,606,0.5958,1043.8,591,0,0.072097,1.91535,-7.975364,19000,128.7
20,1000,179.6259,17,0.34,,0,1,6,1.9203,1,532,0.6045,1041.3,803,0,0.075774,3.172002,-9.5935,20000,136.7
21,1000,165.3659,19,0.38,,0,4,5,0.433,0,486,0.6623,963.5,708,0,0.079313,2.837512,-10.330078,21000,144.7
22,1000,65.3321,11,0.22,,1,0,5,2.2776,0,403,0.6747,1073.5,679,0,0.082763,2.257463,-10.697373,22000,152.9
23,1000,137.8073,17,0.34,,0,3,5,0.8292,0,456,0.528,1062.6,964,0,0.080967,2.50973,-11.912722,23000,161.6
24,1000,105.0137,15,0.3,,0,2,5,1.299,0,1706,0.5467,1073.5,946,0,0.08132,2.941401,-11.995958,24000,171.1
