/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v1_26_08_25_04  relay_w=2.0
obs_dim=19, state_dim=66, total_act_dim=8
Ep 1 | Step 1000 | R  -112.32 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 2홉+ 0.29 | 도달  502 | 차단    4
Ep 2 | Step 1000 | R  -141.49 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 2홉+ 0.28 | 도달  502 | 차단    4
Ep 3 | Step 1000 | R   -98.77 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 2홉+ 0.27 | 도달  502 | 차단    0
Ep 4 | Step 1000 | R  -135.45 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 2홉+ 0.30 | 도달  502 | 차단    2
Ep 5 | Step 1000 | R  -123.57 | 배송  0/50 | 미활동드론 4 | 재적재 0 | 2홉+ 0.31 | 도달  502 | 차단   12
Ep 6 | Step 1000 | R    -7.04 | 배송  2/50 | 미활동드론 2 | 재적재 0 | 2홉+ 0.14 | 도달  516 | 차단   63
Ep 7 | Step 1000 | R    54.27 | 배송  9/50 | 미활동드론 2 | 재적재 0 | 2홉+ 0.34 | 도달  905 | 차단  352
Ep 8 | Step 1000 | R   110.08 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.58 | 도달 1074 | 차단  387
Ep 9 | Step 1000 | R   137.87 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.50 | 도달 1074 | 차단  876
Ep 10 | Step 1000 | R    62.54 | 배송 10/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.45 | 도달 1071 | 차단 1801
Ep 11 | Step 1000 | R    72.17 | 배송 11/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.57 | 도달 1074 | 차단 1480
Ep 12 | Step 1000 | R   105.20 | 배송 12/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.40 | 도달  952 | 차단 1160
Ep 13 | Step 1000 | R   103.50 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.56 | 도달 1074 | 차단  730
Ep 14 | Step 1000 | R   142.44 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  973 | 차단 1385
Ep 15 | Step 1000 | R   144.43 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.64 | 도달 1074 | 차단  719
Ep 16 | Step 1000 | R   157.49 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.59 | 도달 1074 | 차단  573
Ep 17 | Step 1000 | R   143.40 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달  964 | 차단  738
Ep 18 | Step 1000 | R   165.26 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.62 | 도달  985 | 차단  798
Ep 19 | Step 1000 | R    92.80 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.60 | 도달 1044 | 차단  606
Ep 20 | Step 1000 | R   179.63 | 배송 17/50 | 미활동드론 0 | 재적재 1 | 2홉+ 0.60 | 도달 1041 | 차단  532
Ep 21 | Step 1000 | R   165.37 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달  964 | 차단  486
Ep 22 | Step 1000 | R    65.33 | 배송 11/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단  403
Ep 23 | Step 1000 | R   137.81 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.53 | 도달 1063 | 차단  456
Ep 24 | Step 1000 | R   105.01 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.55 | 도달 1074 | 차단 1706
Ep 25 | Step 1000 | R   145.38 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.50 | 도달 1009 | 차단  558
Ep 26 | Step 1000 | R   123.73 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.43 | 도달  860 | 차단  499
Ep 27 | Step 1000 | R    90.83 | 배송 10/50 | 미활동드론 2 | 재적재 0 | 2홉+ 0.64 | 도달  996 | 차단  644
