episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,6.5,2.5658,1.0,0.4922,895.6776,0,1,50000,626.1
100,14.5,4.3108,0.1667,0.4693,892.5113,0,1,100000,1307.2
150,14.1667,4.8103,0.3333,0.5094,836.7749,0,0,150000,1991.4
200,11.5,4.5369,0.5,0.4589,930.7579,0,0,200000,2668.7
250,10.5,5.5902,1.3333,0.2945,793.3375,0,0,250000,3349.0
300,10.5,4.5369,0.6667,0.5148,934.5387,0,0,300000,4036.2
350,16.0,1.291,0.0,0.6041,1031.743,0,1,350000,4719.0
400,13.1667,2.6087,0.0,0.6595,1051.1663,0,0,400000,5405.6
450,16.3333,3.5901,0.1667,0.6022,958.8743,0,1,450000,6087.4
500,10.1667,4.2197,0.6667,0.5387,822.9628,0,0,500000,6767.3
550,16.0,2.0,0.0,0.451,921.8331,0,0,550000,7457.0
600,13.5,6.2915,0.0,0.5418,867.2901,0,0,600000,8143.9
650,11.5,2.63,0.1667,0.322,736.1322,0,0,650000,8829.3
700,13.3333,3.3993,0.1667,0.41,835.695,0,0,700000,9513.0
750,10.6667,3.35,0.3333,0.3363,719.9256,0,0,750000,10191.9
800,10.3333,3.0912,0.3333,0.481,824.0984,0,0,800000,10878.7
850,13.0,5.1962,0.6667,0.4367,830.2306,0,0,850000,11470.2
900,12.8333,2.3393,0.0,0.3498,762.8908,0,0,900000,12056.2
950,11.6667,3.9861,1.0,0.4978,834.6633,0,0,950000,12602.9
1000,13.3333,5.1208,0.3333,0.3062,737.8384,0,0,1000000,13142.0
1050,14.5,1.3844,0.5,0.3528,770.9999,0,0,1050000,13687.6
1100,10.3333,3.1972,0.6667,0.4618,871.824,0,0,1100000,14223.8
1150,13.1667,4.9469,0.3333,0.3647,866.6229,0,0,1150000,14764.5
1200,13.0,2.6458,0.1667,0.3947,697.9486,0,0,1200000,15311.4
