episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,49.9614,9,0.18,,0,1,5,1.6394,0,85,0.3907,1073.5,587,0,0.1,nan,nan,1000,1.6
2,1000,66.7091,10,0.2,,1,0,5,1.8028,0,10,0.4225,964.2,962,0,0.1,nan,nan,2000,3.0
3,1000,62.8195,9,0.18,,2,0,5,2.2776,0,110,0.2617,1073.5,614,0,0.1,nan,nan,3000,4.7
4,1000,107.9218,14,0.28,,0,2,5,1.118,0,18,0.356,1073.5,632,0,0.1,nan,nan,4000,6.6
5,1000,86.5103,11,0.22,,1,0,5,2.2776,0,118,0.3897,1038.6,667,0,0.1,nan,nan,5000,8.8
6,1000,21.1783,9,0.18,,0,1,5,1.6394,0,16,0.1703,749.3,1000,0,0.086501,2.497863,-1.535504,6000,20.6
7,1000,48.6163,7,0.14,,1,0,4,1.479,0,280,0.3595,663.2,953,0,0.077543,1.226599,-2.327439,7000,33.5
8,1000,131.6976,17,0.34,,0,3,5,0.8292,0,1035,0.6145,1073.5,640,0,0.072861,1.303883,-3.914473,8000,47.1
9,1000,50.3676,9,0.18,,1,0,5,1.7854,0,1500,0.702,985.7,796,0,0.071495,1.578977,-5.120376,9000,61.0
10,1000,97.5729,14,0.28,,0,2,5,1.118,0,2044,0.5423,977.4,927,0,0.071138,1.660682,-6.699264,10000,74.4
11,1000,98.3634,13,0.26,,0,1,5,1.479,0,865,0.6763,1073.5,829,0,0.071131,1.693268,-7.209916,11000,88.0
12,1000,80.9887,11,0.22,,1,0,4,1.6394,0,629,0.693,1073.5,552,0,0.072677,2.180894,-8.011413,12000,101.6
13,1000,74.7425,14,0.28,,1,0,5,2.0616,0,2417,0.6997,1073.5,985,0,0.072746,1.746593,-10.859888,13000,115.1
14,1000,75.3009,11,0.22,,1,0,5,2.2776,0,576,0.674,1073.5,257,0,0.071226,1.816829,-10.470531,14000,128.5
15,1000,113.9227,16,0.32,,0,1,5,1.7321,0,199,0.5827,1073.5,519,0,0.069599,1.297972,-11.123409,15000,142.3
