/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R    49.96 | 배송  9/50 | 미활동 0 | 2홉+ 0.39 | 도달 1074 | 차단   85
Ep 2 | Step 1000 | R    66.71 | 배송 10/50 | 미활동 1 | 2홉+ 0.42 | 도달  964 | 차단   10
Ep 3 | Step 1000 | R    62.82 | 배송  9/50 | 미활동 2 | 2홉+ 0.26 | 도달 1074 | 차단  110
Ep 4 | Step 1000 | R   107.92 | 배송 14/50 | 미활동 0 | 2홉+ 0.36 | 도달 1074 | 차단   18
Ep 5 | Step 1000 | R    86.51 | 배송 11/50 | 미활동 1 | 2홉+ 0.39 | 도달 1039 | 차단  118
Ep 6 | Step 1000 | R    21.18 | 배송  9/50 | 미활동 0 | 2홉+ 0.17 | 도달  749 | 차단   16
Ep 7 | Step 1000 | R    48.62 | 배송  7/50 | 미활동 1 | 2홉+ 0.36 | 도달  663 | 차단  280
Ep 8 | Step 1000 | R   131.70 | 배송 17/50 | 미활동 0 | 2홉+ 0.61 | 도달 1074 | 차단 1035
Ep 9 | Step 1000 | R    50.37 | 배송  9/50 | 미활동 1 | 2홉+ 0.70 | 도달  986 | 차단 1500
Ep 10 | Step 1000 | R    97.57 | 배송 14/50 | 미활동 0 | 2홉+ 0.54 | 도달  977 | 차단 2044
Ep 11 | Step 1000 | R    98.36 | 배송 13/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단  865
Ep 12 | Step 1000 | R    80.99 | 배송 11/50 | 미활동 1 | 2홉+ 0.69 | 도달 1074 | 차단  629
Ep 13 | Step 1000 | R    74.74 | 배송 14/50 | 미활동 1 | 2홉+ 0.70 | 도달 1074 | 차단 2417
Ep 14 | Step 1000 | R    75.30 | 배송 11/50 | 미활동 1 | 2홉+ 0.67 | 도달 1074 | 차단  576
Ep 15 | Step 1000 | R   113.92 | 배송 16/50 | 미활동 0 | 2홉+ 0.58 | 도달 1074 | 차단  199
Ep 16 | Step 1000 | R    63.83 | 배송 11/50 | 미활동 1 | 2홉+ 0.64 | 도달  927 | 차단  702
Ep 17 | Step 1000 | R    69.30 | 배송 10/50 | 미활동 2 | 2홉+ 0.61 | 도달 1074 | 차단   42
Ep 18 | Step 1000 | R    95.34 | 배송 13/50 | 미활동 1 | 2홉+ 0.52 | 도달 1070 | 차단  717
Ep 19 | Step 1000 | R    86.47 | 배송 13/50 | 미활동 0 | 2홉+ 0.53 | 도달 1023 | 차단 1569
Ep 20 | Step 1000 | R   121.84 | 배송 13/50 | 미활동 1 | 2홉+ 0.50 | 도달  922 | 차단 1289
Ep 21 | Step 1000 | R   115.39 | 배송 15/50 | 미활동 0 | 2홉+ 0.55 | 도달  963 | 차단  620
Ep 22 | Step 1000 | R    78.13 | 배송 12/50 | 미활동 0 | 2홉+ 0.36 | 도달  860 | 차단  391
Ep 23 | Step 1000 | R   119.48 | 배송 15/50 | 미활동 0 | 2홉+ 0.43 | 도달  794 | 차단  395
Ep 24 | Step 1000 | R    41.23 | 배송  9/50 | 미활동 0 | 2홉+ 0.44 | 도달 1000 | 차단 1981
Ep 25 | Step 1000 | R   101.09 | 배송 14/50 | 미활동 0 | 2홉+ 0.42 | 도달  919 | 차단 1296
Ep 26 | Step 1000 | R    91.55 | 배송 13/50 | 미활동 0 | 2홉+ 0.61 | 도달 1074 | 차단 1276
Ep 27 | Step 1000 | R    90.86 | 배송 13/50 | 미활동 1 | 2홉+ 0.66 | 도달 1074 | 차단  569
Ep 28 | Step 1000 | R   100.91 | 배송 13/50 | 미활동 1 | 2홉+ 0.47 | 도달 1074 | 차단  374
Ep 29 | Step 1000 | R    69.02 | 배송 11/50 | 미활동 0 | 2홉+ 0.63 | 도달 1074 | 차단  990
