episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,6.0,2.8284,1.3333,0.5959,637.4715,0,1,50000,631.5
100,10.3333,5.0222,0.3333,0.6342,614.3916,0,1,100000,1471.5
150,11.5,2.3629,0.1667,0.7125,632.9992,0,1,150000,2320.7
200,8.8333,2.9107,0.5,0.6188,727.4979,0,0,200000,3156.2
250,12.3333,1.2472,0.0,0.6819,653.7387,0,1,250000,3995.0
300,13.6667,3.35,0.1667,0.6157,635.2725,0,1,300000,4835.4
350,9.6667,3.1972,0.8333,0.6777,654.2678,0,0,350000,5675.8
400,8.5,1.893,0.8333,0.5149,620.7955,0,0,400000,6516.3
450,7.5,2.0616,0.5,0.5903,671.1511,0,0,450000,7352.1
500,8.8333,2.6087,1.3333,0.5285,659.082,0,0,500000,8189.5
550,10.1667,2.6719,1.0,0.5497,583.0568,0,0,550000,9029.2
600,7.8333,3.2361,1.5,0.4054,492.2323,0,0,600000,9867.2
650,11.0,2.0817,1.0,0.6112,648.0555,0,0,650000,10706.8
700,10.1667,2.9107,0.6667,0.4882,635.6722,0,0,700000,11550.6
750,8.1667,4.1399,1.1667,0.4962,495.8464,0,0,750000,12394.3
800,9.0,3.5119,0.8333,0.4876,505.7583,0,0,800000,13239.3
850,9.5,1.8028,0.8333,0.5035,590.9566,0,0,850000,14083.2
900,9.8333,2.0344,0.6667,0.5843,535.6147,0,0,900000,14924.3
950,10.1667,2.7335,1.1667,0.4194,549.8398,0,0,950000,15765.9
1000,6.1667,3.4359,1.5,0.402,494.5905,0,0,1000000,16448.9
1050,8.1667,3.3375,0.8333,0.5302,523.5297,0,0,1050000,16982.8
