episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,19.8832,5,0.1,,2,0,3,1.299,0,193,0.649,653.3,901,0,0.1,nan,nan,1000,2.8
2,1000,27.1666,5,0.1,,3,0,5,2.1651,0,156,0.6162,622.8,443,0,0.1,nan,nan,2000,4.7
3,1000,-5.3295,3,0.06,,3,0,3,1.299,0,605,0.642,828.8,341,0,0.1,nan,nan,3000,6.7
4,1000,-42.2176,1,0.02,,3,0,1,0.433,0,349,0.6335,744.3,625,0,0.1,nan,nan,4000,8.6
5,1000,-8.3646,2,0.04,,2,0,1,0.5,0,480,0.6625,760.5,170,0,0.1,nan,nan,5000,10.5
6,1000,-45.3294,0,0.0,,4,0,0,0.0,0,20,0.269,502.8,0,0,0.086084,0.353101,-1.448609,6000,22.3
7,1000,81.9874,11,0.22,,1,0,4,1.6394,0,197,0.4163,1006.6,979,0,0.074411,0.593649,-1.604348,7000,33.0
8,1000,93.1439,11,0.22,,1,0,5,2.2776,0,354,0.387,673.5,787,0,0.06827,0.561723,-2.344388,8000,43.7
9,1000,28.7968,7,0.14,,1,0,4,1.479,0,1607,0.442,838.2,678,0,0.064897,0.295445,-3.573787,9000,55.4
10,1000,115.3905,14,0.28,,0,1,5,1.6583,0,895,0.5242,848.1,907,0,0.062625,0.454542,-3.49722,10000,65.8
11,1000,96.3704,12,0.24,,0,1,5,2.0,0,611,0.3387,600.6,993,0,0.057846,1.550112,-3.812212,11000,76.0
12,1000,60.4749,10,0.2,,1,0,5,2.0616,0,1537,0.4402,876.5,482,0,0.052787,1.17604,-3.737584,12000,87.2
13,1000,16.7184,4,0.08,,2,0,3,1.2247,0,687,0.4075,591.9,357,0,0.048776,0.614356,-4.985942,13000,98.6
14,1000,48.4886,9,0.18,,1,0,5,1.9203,0,1809,0.4913,592.2,692,0,0.047887,0.371621,-5.058588,14000,109.2
15,1000,62.082,9,0.18,,1,0,5,1.9203,0,1465,0.4135,815.7,895,0,0.04922,2.159729,-5.825816,15000,120.1
16,1000,60.4085,8,0.16,,1,0,3,1.2247,0,628,0.4735,642.5,619,0,0.051786,1.084414,-5.667791,16000,131.3
17,1000,98.2744,12,0.24,,1,0,5,1.8708,0,1092,0.4612,540.3,974,0,0.051835,2.31277,-6.562458,17000,142.1
18,1000,114.4484,14,0.28,,0,1,5,1.5,0,1179,0.6462,597.3,877,0,0.052186,0.717848,-6.030103,18000,153.8
19,1000,101.757,10,0.2,,1,0,5,1.8028,1,533,0.6235,593.9,618,0,0.052442,1.756427,-6.94142,19000,164.5
20,1000,77.3042,10,0.2,,1,0,5,2.0616,0,702,0.6348,692.2,870,0,0.053282,1.655427,-6.736448,20000,174.9
