/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R    19.88 | 배송  5/50 | 미활동 2 | 2홉+ 0.65 | 도달  653 | 차단  193
Ep 2 | Step 1000 | R    27.17 | 배송  5/50 | 미활동 3 | 2홉+ 0.62 | 도달  623 | 차단  156
Ep 3 | Step 1000 | R    -5.33 | 배송  3/50 | 미활동 3 | 2홉+ 0.64 | 도달  829 | 차단  605
Ep 4 | Step 1000 | R   -42.22 | 배송  1/50 | 미활동 3 | 2홉+ 0.63 | 도달  744 | 차단  349
Ep 5 | Step 1000 | R    -8.36 | 배송  2/50 | 미활동 2 | 2홉+ 0.66 | 도달  760 | 차단  480
Ep 6 | Step 1000 | R   -45.33 | 배송  0/50 | 미활동 4 | 2홉+ 0.27 | 도달  503 | 차단   20
Ep 7 | Step 1000 | R    81.99 | 배송 11/50 | 미활동 1 | 2홉+ 0.42 | 도달 1007 | 차단  197
Ep 8 | Step 1000 | R    93.14 | 배송 11/50 | 미활동 1 | 2홉+ 0.39 | 도달  674 | 차단  354
Ep 9 | Step 1000 | R    28.80 | 배송  7/50 | 미활동 1 | 2홉+ 0.44 | 도달  838 | 차단 1607
Ep 10 | Step 1000 | R   115.39 | 배송 14/50 | 미활동 0 | 2홉+ 0.52 | 도달  848 | 차단  895
Ep 11 | Step 1000 | R    96.37 | 배송 12/50 | 미활동 0 | 2홉+ 0.34 | 도달  601 | 차단  611
Ep 12 | Step 1000 | R    60.47 | 배송 10/50 | 미활동 1 | 2홉+ 0.44 | 도달  877 | 차단 1537
Ep 13 | Step 1000 | R    16.72 | 배송  4/50 | 미활동 2 | 2홉+ 0.41 | 도달  592 | 차단  687
Ep 14 | Step 1000 | R    48.49 | 배송  9/50 | 미활동 1 | 2홉+ 0.49 | 도달  592 | 차단 1809
Ep 15 | Step 1000 | R    62.08 | 배송  9/50 | 미활동 1 | 2홉+ 0.41 | 도달  816 | 차단 1465
Ep 16 | Step 1000 | R    60.41 | 배송  8/50 | 미활동 1 | 2홉+ 0.47 | 도달  643 | 차단  628
Ep 17 | Step 1000 | R    98.27 | 배송 12/50 | 미활동 1 | 2홉+ 0.46 | 도달  540 | 차단 1092
Ep 18 | Step 1000 | R   114.45 | 배송 14/50 | 미활동 0 | 2홉+ 0.65 | 도달  597 | 차단 1179
Ep 19 | Step 1000 | R   101.76 | 배송 10/50 | 미활동 1 | 2홉+ 0.62 | 도달  594 | 차단  533
Ep 20 | Step 1000 | R    77.30 | 배송 10/50 | 미활동 1 | 2홉+ 0.63 | 도달  692 | 차단  702
Ep 21 | Step 1000 | R    71.94 | 배송 11/50 | 미활동 1 | 2홉+ 0.70 | 도달  586 | 차단 1291
Ep 22 | Step 1000 | R    88.87 | 배송 11/50 | 미활동 0 | 2홉+ 0.44 | 도달  548 | 차단  692
Ep 23 | Step 1000 | R   115.07 | 배송 14/50 | 미활동 0 | 2홉+ 0.68 | 도달  752 | 차단  934
Ep 24 | Step 1000 | R   121.07 | 배송 12/50 | 미활동 1 | 2홉+ 0.58 | 도달  626 | 차단 1480
Ep 25 | Step 1000 | R   120.60 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  742 | 차단 1640
Ep 26 | Step 1000 | R   145.34 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  877 | 차단 1142
Ep 27 | Step 1000 | R    89.42 | 배송 14/50 | 미활동 0 | 2홉+ 0.68 | 도달  839 | 차단 2387
Ep 28 | Step 1000 | R    87.81 | 배송 12/50 | 미활동 1 | 2홉+ 0.67 | 도달  799 | 차단 1577
Ep 29 | Step 1000 | R   102.05 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  804 | 차단 1548
Ep 30 | Step 1000 | R   110.95 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달  968 | 차단 1402
Ep 31 | Step 1000 | R   119.30 | 배송 15/50 | 미활동 0 | 2홉+ 0.61 | 도달  940 | 차단 1000
Ep 32 | Step 1000 | R   104.66 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  978 | 차단 1872
Ep 33 | Step 1000 | R   126.57 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달  683 | 차단 1577
Ep 34 | Step 1000 | R   117.23 | 배송 14/50 | 미활동 1 | 2홉+ 0.70 | 도달  785 | 차단 1220
Ep 35 | Step 1000 | R    61.50 | 배송 10/50 | 미활동 1 | 2홉+ 0.69 | 도달  708 | 차단 2388
Ep 36 | Step 1000 | R   113.37 | 배송 15/50 | 미활동 1 | 2홉+ 0.68 | 도달 1072 | 차단 1718
Ep 37 | Step 1000 | R   105.53 | 배송 15/50 | 미활동 1 | 2홉+ 0.69 | 도달 1048 | 차단 1916
Ep 38 | Step 1000 | R    72.46 | 배송 11/50 | 미활동 0 | 2홉+ 0.67 | 도달  964 | 차단 1652
Ep 39 | Step 1000 | R   120.34 | 배송 15/50 | 미활동 1 | 2홉+ 0.70 | 도달 1023 | 차단 1259
Ep 40 | Step 1000 | R   137.06 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  972 | 차단 1617
Ep 41 | Step 1000 | R   116.29 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  919 | 차단 1553
Ep 42 | Step 1000 | R    99.60 | 배송 14/50 | 미활동 1 | 2홉+ 0.71 | 도달  895 | 차단 1494
Ep 43 | Step 1000 | R   115.20 | 배송 15/50 | 미활동 0 | 2홉+ 0.51 | 도달  874 | 차단 1759
Ep 44 | Step 1000 | R   129.31 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  890 | 차단 2209
Ep 45 | Step 1000 | R   108.55 | 배송 15/50 | 미활동 1 | 2홉+ 0.71 | 도달 1064 | 차단 1491
Ep 46 | Step 1000 | R   155.35 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1012 | 차단 1160
Ep 47 | Step 1000 | R   108.91 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달 1001 | 차단 1852
Ep 48 | Step 1000 | R   105.57 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달 1028 | 차단 1448
Ep 49 | Step 1000 | R    76.83 | 배송 12/50 | 미활동 1 | 2홉+ 0.70 | 도달 1074 | 차단 1841
Ep 50 | Step 1000 | R    79.76 | 배송 13/50 | 미활동 0 | 2홉+ 0.63 | 도달  834 | 차단 2621
  [홀드아웃] 배송 6.0±2.8 미활동 1.33 2홉+ 0.60 도달 637 | 최고 6.0@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R    92.02 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  784 | 차단 1740
Ep 52 | Step 1000 | R   115.10 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  958 | 차단 2019
Ep 53 | Step 1000 | R   132.82 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1046 | 차단 1574
Ep 54 | Step 1000 | R   129.51 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  951 | 차단 1961
Ep 55 | Step 1000 | R    70.91 | 배송 11/50 | 미활동 0 | 2홉+ 0.62 | 도달  863 | 차단 1589
Ep 56 | Step 1000 | R   103.38 | 배송 14/50 | 미활동 0 | 2홉+ 0.60 | 도달  970 | 차단 1363
Ep 57 | Step 1000 | R   137.36 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  960 | 차단 1362
Ep 58 | Step 1000 | R    98.59 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  810 | 차단  580
Ep 59 | Step 1000 | R    40.00 | 배송  8/50 | 미활동 1 | 2홉+ 0.69 | 도달  879 | 차단 2353
Ep 60 | Step 1000 | R    85.53 | 배송 12/50 | 미활동 1 | 2홉+ 0.68 | 도달 1056 | 차단 1176
Ep 61 | Step 1000 | R   150.07 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1038 | 차단 1478
Ep 62 | Step 1000 | R   115.03 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  961 | 차단 1544
Ep 63 | Step 1000 | R   100.35 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1040 | 차단 1848
Ep 64 | Step 1000 | R   119.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1027 | 차단 2147
Ep 65 | Step 1000 | R   131.33 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  971 | 차단 2056
Ep 66 | Step 1000 | R   134.57 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1028 | 차단 1876
Ep 67 | Step 1000 | R    49.40 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달 1063 | 차단 2274
Ep 68 | Step 1000 | R   133.04 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  956 | 차단 1163
Ep 69 | Step 1000 | R    49.83 | 배송 11/50 | 미활동 1 | 2홉+ 0.71 | 도달 1074 | 차단 2254
Ep 70 | Step 1000 | R    79.91 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  893 | 차단 1928
Ep 71 | Step 1000 | R   141.74 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1108
Ep 72 | Step 1000 | R   158.07 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단  981
Ep 73 | Step 1000 | R   110.04 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1000 | 차단 1911
Ep 74 | Step 1000 | R   134.58 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 1106
Ep 75 | Step 1000 | R   118.42 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  873 | 차단 2019
Ep 76 | Step 1000 | R   112.02 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 2050
Ep 77 | Step 1000 | R   151.00 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  848 | 차단 1269
Ep 78 | Step 1000 | R   122.50 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  882 | 차단 1438
