episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,12.0,3.6515,0.5,0.7137,829.1353,0,1,50000,628.4
100,8.5,3.2532,0.3333,0.7248,741.7058,0,0,100000,1469.5
150,7.8333,3.3375,1.1667,0.5801,581.536,0,0,150000,2305.5
200,7.6667,2.2111,0.5,0.7232,787.6101,0,0,200000,3140.2
250,12.6667,4.4222,0.3333,0.6355,658.4798,0,1,250000,3976.2
300,11.3333,5.2175,0.3333,0.6343,680.0817,0,0,300000,4811.6
350,8.8333,2.0344,0.8333,0.4938,523.5464,0,0,350000,5647.5
400,8.8333,4.0586,0.5,0.5091,565.5807,0,0,400000,6480.8
450,6.5,2.5658,1.0,0.5371,514.0201,0,0,450000,7323.8
500,9.8333,3.5785,0.6667,0.5035,581.1323,0,0,500000,8159.8
550,7.6667,2.7487,0.5,0.4358,484.1657,0,0,550000,8998.3
600,8.5,2.3629,0.5,0.4051,514.3215,0,0,600000,9838.8
650,8.6667,1.1055,1.1667,0.3011,490.1637,0,0,650000,10675.0
700,5.6667,2.5604,1.5,0.2757,470.4609,0,0,700000,11512.0
750,6.0,2.708,1.5,0.2172,399.7182,0,0,750000,12349.4
800,5.6667,2.5604,1.8333,0.392,479.334,0,0,800000,13189.6
850,5.5,1.893,1.8333,0.2554,441.2354,0,0,850000,14026.5
900,4.0,2.5166,2.1667,0.265,383.0562,0,0,900000,14863.6
950,6.1667,2.8529,1.8333,0.3033,465.5655,0,0,950000,15706.7
1000,5.6667,3.2998,1.5,0.2468,452.2948,0,0,1000000,16416.6
