episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-41.2581,0,0.0,,4,0,0,0.0,0,4,0.1123,371.9,0,0,0.1,nan,nan,1000,2.9
2,1000,-42.726,0,0.0,,4,0,0,0.0,0,34,0.1755,457.3,0,0,0.1,nan,nan,2000,4.8
3,1000,-42.3886,0,0.0,,4,0,0,0.0,0,25,0.0215,317.9,0,0,0.1,nan,nan,3000,6.7
4,1000,-42.0412,0,0.0,,4,0,0,0.0,0,19,0.2697,502.5,0,0,0.1,nan,nan,4000,8.6
5,1000,-38.3511,0,0.0,,4,0,0,0.0,0,57,0.1288,466.9,0,0,0.1,nan,nan,5000,10.5
6,1000,-19.9586,1,0.02,,3,0,1,0.433,0,141,0.307,507.7,782,0,0.086066,1.79964,-1.373164,6000,21.6
7,1000,16.8287,4,0.08,,2,0,2,1.0,0,254,0.4432,876.0,675,0,0.074342,1.513602,-1.625098,7000,32.2
8,1000,-7.065,3,0.06,,2,0,2,0.8292,0,705,0.665,913.3,862,0,0.064958,2.127085,-1.594844,8000,43.7
9,1000,41.5936,7,0.14,,2,0,4,1.7854,0,1197,0.622,921.9,719,0,0.059004,1.645928,-2.113422,9000,55.1
10,1000,67.233,10,0.2,,0,1,5,1.6583,0,1274,0.659,828.7,951,0,0.056202,2.558614,-2.618607,10000,66.3
11,1000,53.715,8,0.16,,0,1,3,1.0,0,1011,0.6953,854.2,566,0,0.054567,2.777869,-3.196623,11000,77.1
12,1000,61.1283,9,0.18,,0,2,3,0.433,0,949,0.7065,1029.2,707,0,0.05309,1.87288,-3.869328,12000,87.3
13,1000,83.5868,11,0.22,,0,1,5,1.479,0,1726,0.7113,1050.2,906,0,0.05168,2.003871,-4.204629,13000,97.8
14,1000,42.5122,7,0.14,,2,0,4,1.7854,0,943,0.7097,899.6,541,0,0.051668,1.682423,-5.00595,14000,108.3
15,1000,45.4843,7,0.14,,1,0,3,1.299,0,780,0.7007,766.1,888,0,0.051887,1.535599,-5.568097,15000,118.7
16,1000,74.2347,10,0.2,,0,1,5,1.5,0,1465,0.7067,1073.5,389,0,0.05261,3.636951,-5.913629,16000,129.2
17,1000,31.305,6,0.12,,1,0,3,1.118,0,280,0.6885,660.1,416,0,0.056508,1.546926,-6.750273,17000,139.8
18,1000,63.5791,8,0.16,,0,1,3,1.0,0,782,0.7003,822.6,922,0,0.060002,1.88314,-6.968369,18000,150.2
19,1000,81.6661,12,0.24,,0,2,4,1.0,0,577,0.6897,710.5,305,0,0.06328,1.551985,-8.239285,19000,160.9
20,1000,71.5415,11,0.22,,0,2,4,0.8292,0,1748,0.667,707.7,623,0,0.067409,1.665316,-8.859253,20000,171.5
21,1000,74.8309,11,0.22,,1,0,5,1.7854,0,862,0.6825,700.4,984,0,0.069543,2.225488,-8.86182,21000,182.4
22,1000,83.2032,13,0.26,,0,1,5,1.479,0,420,0.685,735.6,919,0,0.071482,1.971058,-9.297469,22000,194.5
23,1000,38.8081,9,0.18,,1,0,5,1.9203,0,1371,0.6923,873.1,353,0,0.072546,1.785722,-9.772997,23000,205.2
24,1000,93.8814,14,0.28,,1,0,5,2.0616,0,951,0.6885,871.0,664,0,0.077505,1.787988,-10.81267,24000,215.4
25,1000,112.0732,15,0.3,,0,3,5,0.8292,0,2174,0.6955,735.4,301,0,0.079622,2.169188,-10.839426,25000,226.4
26,1000,110.0327,15,0.3,,0,1,5,1.6394,0,1354,0.6915,972.8,654,0,0.08242,2.092492,-11.267633,26000,237.3
27,1000,84.5537,12,0.24,,0,1,5,1.5811,0,1572,0.644,926.9,973,0,0.082619,2.49246,-12.04939,27000,247.9
28,1000,62.0318,10,0.2,,2,0,5,2.5,0,2136,0.7145,1073.5,232,0,0.084134,1.60832,-12.8351,28000,259.5
29,1000,93.0355,14,0.28,,0,3,5,0.866,0,2306,0.6667,729.7,244,0,0.086367,2.728522,-12.733006,29000,270.2
30,1000,14.9557,7,0.14,,2,0,4,1.7854,0,2319,0.701,1073.5,251,0,0.085913,2.559368,-13.344732,30000,281.1
31,1000,49.8117,10,0.2,,0,1,4,1.118,0,2278,0.7087,821.2,459,0,0.08514,2.205311,-13.928476,31000,293.6
32,1000,106.8563,14,0.28,,0,3,5,0.866,0,1715,0.7157,1073.5,936,0,0.090141,2.121046,-14.187944,32000,309.3
33,1000,86.2754,12,0.24,,0,1,5,1.4142,0,1416,0.687,922.2,609,0,0.092334,2.340722,-14.687014,33000,326.2
34,1000,76.232,12,0.24,,0,1,5,1.5811,0,1455,0.7083,973.9,518,0,0.096137,3.157543,-14.996606,34000,342.8
35,1000,39.2796,9,0.18,,1,0,5,1.9203,0,2032,0.663,1058.1,776,0,0.097386,2.624549,-15.35606,35000,359.7
36,1000,124.585,17,0.34,,0,3,5,0.8292,0,1732,0.7095,919.9,454,0,0.096453,2.370623,-15.254341,36000,376.5
37,1000,48.1692,9,0.18,,1,0,5,1.9203,0,1206,0.6763,906.3,637,0,0.096608,1.623189,-15.600703,37000,393.2
38,1000,51.2425,10,0.2,,0,1,4,1.118,0,1817,0.6917,773.2,172,0,0.098375,2.210665,-16.889137,38000,410.2
39,1000,98.3244,14,0.28,,0,3,4,0.5,0,1952,0.6975,913.8,567,0,0.097597,2.513116,-16.446365,39000,426.6
40,1000,77.9198,12,0.24,,1,0,5,1.8708,0,2235,0.6747,1027.5,428,0,0.096194,2.460165,-16.948706,40000,442.9
41,1000,121.3311,15,0.3,,0,2,5,1.0897,0,1706,0.6867,771.5,336,0,0.094491,2.724109,-17.015945,41000,459.2
42,1000,53.2482,10,0.2,,0,2,3,0.5,0,2657,0.659,727.5,564,0,0.094396,2.88674,-17.935484,42000,475.5
43,1000,78.2878,11,0.22,,1,0,5,1.9203,0,2123,0.695,799.9,317,0,0.092597,1.805155,-16.516853,43000,492.5
44,1000,69.9208,11,0.22,,1,0,5,1.7854,0,1714,0.6795,830.9,828,0,0.091782,3.187078,-17.229481,44000,508.9
45,1000,119.5853,14,0.28,,0,2,5,1.118,0,920,0.7125,1033.1,857,0,0.088872,2.747615,-18.31805,45000,526.2
46,1000,82.4446,11,0.22,,1,0,5,1.9203,0,1242,0.7205,898.5,747,0,0.086916,2.461604,-18.485313,46000,544.0
47,1000,96.0198,12,0.24,,0,2,4,1.0,0,1111,0.7077,1063.2,757,0,0.085499,2.64477,-18.067726,47000,561.5
48,1000,47.5606,9,0.18,,0,1,5,1.6394,0,1644,0.7208,1073.5,797,0,0.084856,2.64934,-17.782593,48000,578.3
49,1000,87.2771,13,0.26,,0,1,5,1.7854,0,2225,0.7157,895.3,749,0,0.083918,2.135831,-18.133871,49000,594.6
50,1000,77.2845,13,0.26,,0,1,5,1.7854,0,1486,0.7105,1073.5,828,0,0.083525,2.429095,-18.703312,50000,610.8
51,1000,61.2542,10,0.2,,1,0,5,2.0616,0,1848,0.7185,1073.5,780,0,0.083334,2.929706,-18.57387,51000,644.5
52,1000,101.5582,13,0.26,,1,0,5,2.0463,0,1128,0.716,978.4,451,0,0.082412,2.266755,-18.185135,52000,660.9
53,1000,107.786,15,0.3,,0,2,5,1.299,0,2153,0.71,922.5,488,0,0.084759,1.927132,-18.976763,53000,677.3
54,1000,64.2431,9,0.18,,1,0,5,1.9203,0,1256,0.716,1003.2,896,0,0.082322,3.570093,-18.78833,54000,693.9
55,1000,95.3833,13,0.26,,0,1,5,1.7854,0,1313,0.6977,1040.1,465,0,0.08271,2.84377,-18.844891,55000,710.3
56,1000,106.2669,15,0.3,,0,1,5,1.6394,0,1626,0.7043,1022.8,771,0,0.082815,2.167796,-17.180374,56000,727.0
57,1000,68.3251,11,0.22,,0,1,4,1.0897,0,2655,0.708,923.6,869,0,0.08179,2.33198,-18.007206,57000,743.6
58,1000,71.0684,11,0.22,,0,2,3,0.433,0,2295,0.7083,684.4,348,0,0.081864,2.853124,-19.492657,58000,759.9
59,1000,81.7926,12,0.24,,0,1,5,1.4142,0,2120,0.7135,812.0,656,0,0.081403,2.341058,-17.968592,59000,776.7
60,1000,141.8249,17,0.34,,0,4,5,0.433,0,1320,0.7155,830.1,546,0,0.080348,3.09617,-18.189915,60000,793.1
61,1000,112.1938,14,0.28,,0,1,5,1.5,0,1953,0.7157,865.6,425,0,0.078851,1.689698,-18.288095,61000,809.5
62,1000,107.1904,15,0.3,,0,3,5,0.8292,0,1609,0.7097,1073.5,922,0,0.078792,2.22855,-18.273331,62000,826.0
63,1000,75.2302,13,0.26,,1,0,5,1.9203,0,2194,0.7063,735.1,609,0,0.078488,2.099966,-18.681364,63000,842.9
64,1000,93.9769,13,0.26,,0,2,5,1.299,0,1782,0.7115,769.6,774,0,0.077736,1.810615,-18.825516,64000,859.7
65,1000,115.3692,16,0.32,,0,2,5,1.2247,0,1725,0.7137,1029.8,597,0,0.076805,2.194331,-18.651764,65000,876.8
66,1000,139.3554,17,0.34,,0,4,5,0.433,0,1966,0.7127,605.7,795,0,0.075526,3.093855,-18.245241,66000,893.1
67,1000,76.1137,13,0.26,,0,2,5,1.0897,0,2618,0.716,659.6,886,0,0.075264,1.622123,-18.439983,67000,909.5
68,1000,101.0103,14,0.28,,0,2,5,1.5,0,1467,0.713,1052.0,721,0,0.07514,1.643222,-18.649506,68000,926.2
69,1000,97.8047,16,0.32,,0,2,5,1.2247,0,2313,0.7105,951.4,434,0,0.074855,1.811123,-18.450138,69000,943.0
70,1000,111.7597,15,0.3,,0,2,5,1.0897,0,1881,0.715,773.0,734,0,0.074254,2.07771,-18.121326,70000,960.1
71,1000,70.9799,12,0.24,,0,1,5,1.5811,0,2191,0.7093,765.5,429,0,0.073972,2.030824,-18.815645,71000,976.6
72,1000,93.1655,12,0.24,,0,1,5,1.5811,0,959,0.716,737.3,387,0,0.073057,3.48762,-18.143307,72000,993.0
73,1000,144.5385,18,0.36,,0,3,5,0.866,0,1705,0.7165,894.8,906,0,0.072244,2.173967,-18.715633,73000,1010.0
74,1000,181.2613,20,0.4,,0,5,5,0.0,0,632,0.6915,995.9,858,0,0.072696,1.99695,-19.483559,74000,1027.2
75,1000,106.5383,15,0.3,,0,3,4,0.433,0,2167,0.656,602.9,996,0,0.071809,1.687828,-20.302422,75000,1043.7
76,1000,99.9199,14,0.28,,1,0,5,2.0616,0,2310,0.697,744.1,299,0,0.071888,1.939859,-18.014332,76000,1059.6
77,1000,147.6458,17,0.34,,0,3,5,0.8292,0,2103,0.705,827.7,881,0,0.071442,1.741011,-18.719313,77000,1075.6
78,1000,127.7924,16,0.32,,0,3,5,1.0,0,988,0.5857,702.5,746,0,0.071918,1.549183,-18.774323,78000,1091.8
79,1000,161.711,18,0.36,,0,4,5,0.5,0,1217,0.7087,662.5,676,0,0.071131,2.316153,-19.565887,79000,1108.3
80,1000,62.7802,11,0.22,,0,1,5,1.479,0,2030,0.71,822.2,542,0,0.070763,1.95569,-19.385668,80000,1124.5
81,1000,107.9446,14,0.28,,0,2,5,1.118,0,1763,0.6258,815.4,692,0,0.070295,2.535997,-19.928905,81000,1140.6
82,1000,128.2697,17,0.34,,0,2,5,1.299,0,1802,0.6937,946.0,755,0,0.068648,2.096614,-18.796791,82000,1156.7
83,1000,114.5695,16,0.32,,0,2,5,1.2247,0,1159,0.6993,834.7,654,0,0.068527,1.828234,-19.572741,83000,1173.1
84,1000,98.0304,14,0.28,,0,2,5,1.5,0,1360,0.6985,1073.5,942,0,0.066993,1.480108,-19.303442,84000,1189.0
85,1000,101.5412,14,0.28,,0,1,5,1.6583,0,1384,0.7107,969.2,515,0,0.066872,1.518054,-19.556641,85000,1205.3
86,1000,137.4564,18,0.36,,0,4,5,0.5,0,819,0.691,905.9,433,0,0.06749,1.899201,-18.157864,86000,1221.5
87,1000,109.7826,16,0.32,,0,2,5,1.2247,0,1577,0.703,951.1,486,0,0.066013,1.843046,-19.60029,87000,1237.5
88,1000,131.4534,17,0.34,,0,3,5,0.8292,0,1422,0.7017,964.3,925,0,0.066001,2.130891,-19.398743,88000,1254.0
89,1000,110.1989,14,0.28,,0,2,5,1.118,0,1014,0.7198,950.9,634,0,0.064958,2.048283,-19.409492,89000,1270.2
90,1000,110.3657,14,0.28,,0,2,5,1.5,0,1389,0.6338,830.4,310,0,0.064588,1.570799,-19.286625,90000,1286.3
91,1000,97.967,13,0.26,,1,0,5,2.0463,0,968,0.7135,1024.2,509,0,0.064653,1.656838,-19.73304,91000,1303.2
92,1000,145.8305,17,0.34,,0,3,5,0.8292,0,1249,0.6152,744.2,759,0,0.063594,1.385795,-18.444603,92000,1319.4
93,1000,60.9468,9,0.18,,0,1,4,1.299,0,2379,0.7127,895.4,244,0,0.062687,1.871795,-19.84934,93000,1335.8
94,1000,130.1083,17,0.34,,0,3,5,0.8292,0,1851,0.6887,1016.3,612,0,0.06268,1.522812,-19.30695,94000,1352.2
95,1000,-2.9928,5,0.1,,1,0,3,1.0897,0,2592,0.4875,599.2,50,0,0.062577,1.946895,-20.346432,95000,1368.8
96,1000,114.0189,16,0.32,,0,2,5,1.2247,0,1936,0.7075,1049.4,455,0,0.063221,1.880128,-20.610056,96000,1385.4
97,1000,89.5184,12,0.24,,0,2,4,0.7071,0,2145,0.721,845.9,213,0,0.063039,2.503683,-20.095684,97000,1401.9
98,1000,60.0343,12,0.24,,0,1,5,1.5811,0,2770,0.705,867.9,704,0,0.06299,1.484496,-20.474648,98000,1418.5
99,1000,122.7923,16,0.32,,0,2,5,1.2247,0,854,0.7115,920.8,953,0,0.062192,1.509287,-20.105122,99000,1434.5
100,1000,53.2452,9,0.18,,0,1,3,0.8292,0,2179,0.7242,706.2,698,0,0.06198,1.637572,-20.324966,100000,1451.1
101,1000,156.0436,19,0.38,,0,4,5,0.433,0,858,0.7007,972.4,678,0,0.060495,1.599817,-20.054436,101000,1484.3
102,1000,116.4479,16,0.32,,0,3,5,1.0,0,1764,0.7135,864.4,960,0,0.059792,1.52814,-19.026539,102000,1500.3
103,1000,72.1964,12,0.24,,0,1,5,1.5811,0,2614,0.7133,645.0,500,0,0.059252,2.296572,-20.058704,103000,1516.5
104,1000,160.6521,18,0.36,,0,4,5,0.5,0,1251,0.715,652.9,937,0,0.05946,1.61342,-18.397396,104000,1532.7
105,1000,52.7074,11,0.22,,1,0,5,2.2776,0,2747,0.7127,841.7,287,0,0.059661,1.650423,-19.143597,105000,1549.2
106,1000,131.0864,17,0.34,,0,2,5,1.299,0,1498,0.7205,976.8,401,0,0.058956,2.106916,-18.764439,106000,1565.8
107,1000,93.5861,13,0.26,,1,0,5,2.0463,0,1656,0.709,966.5,717,0,0.058678,1.517296,-18.215864,107000,1581.9
108,1000,141.8636,17,0.34,,0,2,5,1.299,0,603,0.7167,1070.2,975,0,0.058313,1.553352,-18.842443,108000,1598.6
109,1000,165.5656,20,0.4,,0,5,5,0.0,0,1239,0.721,922.7,945,0,0.058029,1.661672,-18.993763,109000,1614.7
110,1000,98.1707,14,0.28,,0,1,5,1.6583,0,1967,0.7067,964.2,215,0,0.057391,1.713877,-17.603146,110000,1631.4
111,1000,65.7884,12,0.24,,0,2,5,1.2247,0,2187,0.7135,952.6,698,0,0.057032,1.355762,-18.824179,111000,1647.7
112,1000,123.714,15,0.3,,0,1,5,1.6394,0,1243,0.7167,909.2,366,0,0.05682,2.461554,-18.410694,112000,1664.0
113,1000,122.5723,16,0.32,,0,2,5,1.2247,0,921,0.697,1069.3,729,0,0.056663,1.503449,-18.142975,113000,1680.2
114,1000,110.6812,15,0.3,,0,2,5,1.299,0,1493,0.7083,998.4,730,0,0.057101,1.929368,-18.539953,114000,1696.7
115,1000,75.382,11,0.22,,1,0,5,2.2776,0,1113,0.7185,980.6,318,0,0.056493,1.652637,-19.567625,115000,1713.3
116,1000,175.9647,16,0.32,,0,2,6,1.5811,1,744,0.6562,993.1,883,0,0.056515,1.567215,-18.85709,116000,1729.6
117,1000,131.4043,17,0.34,,0,3,5,0.8292,0,1180,0.7123,977.8,708,0,0.055115,1.516529,-19.572453,117000,1745.9
118,1000,83.8112,12,0.24,,0,1,5,1.4142,0,1776,0.7113,868.7,692,0,0.054153,1.510812,-19.348745,118000,1762.3
119,1000,142.0436,18,0.36,,0,3,5,0.866,0,1646,0.6813,848.2,710,0,0.055364,1.146245,-19.475193,119000,1778.8
120,1000,108.1057,15,0.3,,0,2,5,1.299,0,1612,0.6552,920.0,498,0,0.053812,1.367435,-19.295227,120000,1795.7
121,1000,91.1924,12,0.24,,0,2,5,1.2247,0,1335,0.7017,799.4,993,0,0.052769,1.508543,-19.311855,121000,1812.1
122,1000,95.0331,12,0.24,,0,1,4,1.2247,0,2099,0.7015,751.4,650,0,0.052965,1.913009,-20.074543,122000,1829.1
123,1000,141.6673,17,0.34,,0,3,5,0.8292,0,1258,0.692,995.2,614,0,0.053178,1.928553,-19.745163,123000,1845.0
124,1000,122.8702,15,0.3,,0,2,5,1.0897,0,1573,0.7147,810.0,815,0,0.052771,1.831906,-20.52483,124000,1861.6
125,1000,130.3747,16,0.32,,0,3,5,1.0,0,1454,0.7085,835.5,500,0,0.052687,1.177086,-20.293573,125000,1878.3
126,1000,103.0603,14,0.28,,0,1,5,1.6583,0,1460,0.6935,897.1,590,0,0.052875,1.667904,-19.701084,126000,1894.4
127,1000,132.1575,17,0.34,,0,2,5,1.299,0,919,0.7033,952.1,626,0,0.052472,1.313942,-20.763889,127000,1910.3
128,1000,143.462,18,0.36,,0,3,5,0.866,0,1206,0.704,874.8,816,0,0.052311,1.496566,-19.562937,128000,1925.6
129,1000,158.2455,17,0.34,,0,2,5,1.299,0,652,0.7017,846.1,946,0,0.051699,1.74877,-19.598961,129000,1941.2
130,1000,76.5827,12,0.24,,0,2,4,1.0,0,1780,0.7083,1066.5,527,0,0.052178,2.248004,-19.755562,130000,1957.8
131,1000,4.1984,4,0.08,,1,0,2,0.7071,0,1722,0.7053,671.9,293,0,0.052676,1.787927,-20.282127,131000,1974.1
132,1000,65.6979,13,0.26,,0,2,5,1.299,0,2291,0.7137,755.9,961,0,0.053224,1.546398,-20.249485,132000,1990.5
133,1000,112.5133,15,0.3,,0,2,5,1.299,0,1370,0.6995,975.0,975,0,0.053223,1.524025,-19.826141,133000,2007.7
134,1000,158.8035,19,0.38,,0,4,5,0.433,0,1536,0.7115,780.5,892,0,0.052731,1.873752,-19.18325,134000,2024.1
135,1000,110.6474,15,0.3,,0,2,5,1.299,0,1443,0.6405,907.6,339,0,0.054196,1.623772,-18.896025,135000,2040.4
