/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_both
설정: relay_w=2.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R   -41.26 | 배송  0/50 | 미활동 4 | 2홉+ 0.11 | 도달  372 | 차단    4
Ep 2 | Step 1000 | R   -42.73 | 배송  0/50 | 미활동 4 | 2홉+ 0.18 | 도달  457 | 차단   34
Ep 3 | Step 1000 | R   -42.39 | 배송  0/50 | 미활동 4 | 2홉+ 0.02 | 도달  318 | 차단   25
Ep 4 | Step 1000 | R   -42.04 | 배송  0/50 | 미활동 4 | 2홉+ 0.27 | 도달  502 | 차단   19
Ep 5 | Step 1000 | R   -38.35 | 배송  0/50 | 미활동 4 | 2홉+ 0.13 | 도달  467 | 차단   57
Ep 6 | Step 1000 | R   -19.96 | 배송  1/50 | 미활동 3 | 2홉+ 0.31 | 도달  508 | 차단  141
Ep 7 | Step 1000 | R    16.83 | 배송  4/50 | 미활동 2 | 2홉+ 0.44 | 도달  876 | 차단  254
Ep 8 | Step 1000 | R    -7.07 | 배송  3/50 | 미활동 2 | 2홉+ 0.67 | 도달  913 | 차단  705
Ep 9 | Step 1000 | R    41.59 | 배송  7/50 | 미활동 2 | 2홉+ 0.62 | 도달  922 | 차단 1197
Ep 10 | Step 1000 | R    67.23 | 배송 10/50 | 미활동 0 | 2홉+ 0.66 | 도달  829 | 차단 1274
Ep 11 | Step 1000 | R    53.72 | 배송  8/50 | 미활동 0 | 2홉+ 0.70 | 도달  854 | 차단 1011
Ep 12 | Step 1000 | R    61.13 | 배송  9/50 | 미활동 0 | 2홉+ 0.71 | 도달 1029 | 차단  949
Ep 13 | Step 1000 | R    83.59 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달 1050 | 차단 1726
Ep 14 | Step 1000 | R    42.51 | 배송  7/50 | 미활동 2 | 2홉+ 0.71 | 도달  900 | 차단  943
Ep 15 | Step 1000 | R    45.48 | 배송  7/50 | 미활동 1 | 2홉+ 0.70 | 도달  766 | 차단  780
Ep 16 | Step 1000 | R    74.23 | 배송 10/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1465
Ep 17 | Step 1000 | R    31.30 | 배송  6/50 | 미활동 1 | 2홉+ 0.69 | 도달  660 | 차단  280
Ep 18 | Step 1000 | R    63.58 | 배송  8/50 | 미활동 0 | 2홉+ 0.70 | 도달  823 | 차단  782
Ep 19 | Step 1000 | R    81.67 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  711 | 차단  577
Ep 20 | Step 1000 | R    71.54 | 배송 11/50 | 미활동 0 | 2홉+ 0.67 | 도달  708 | 차단 1748
Ep 21 | Step 1000 | R    74.83 | 배송 11/50 | 미활동 1 | 2홉+ 0.68 | 도달  700 | 차단  862
Ep 22 | Step 1000 | R    83.20 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  736 | 차단  420
Ep 23 | Step 1000 | R    38.81 | 배송  9/50 | 미활동 1 | 2홉+ 0.69 | 도달  873 | 차단 1371
Ep 24 | Step 1000 | R    93.88 | 배송 14/50 | 미활동 1 | 2홉+ 0.69 | 도달  871 | 차단  951
Ep 25 | Step 1000 | R   112.07 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  735 | 차단 2174
Ep 26 | Step 1000 | R   110.03 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  973 | 차단 1354
Ep 27 | Step 1000 | R    84.55 | 배송 12/50 | 미활동 0 | 2홉+ 0.64 | 도달  927 | 차단 1572
Ep 28 | Step 1000 | R    62.03 | 배송 10/50 | 미활동 2 | 2홉+ 0.71 | 도달 1074 | 차단 2136
Ep 29 | Step 1000 | R    93.04 | 배송 14/50 | 미활동 0 | 2홉+ 0.67 | 도달  730 | 차단 2306
Ep 30 | Step 1000 | R    14.96 | 배송  7/50 | 미활동 2 | 2홉+ 0.70 | 도달 1074 | 차단 2319
Ep 31 | Step 1000 | R    49.81 | 배송 10/50 | 미활동 0 | 2홉+ 0.71 | 도달  821 | 차단 2278
Ep 32 | Step 1000 | R   106.86 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 1715
Ep 33 | Step 1000 | R    86.28 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  922 | 차단 1416
Ep 34 | Step 1000 | R    76.23 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  974 | 차단 1455
Ep 35 | Step 1000 | R    39.28 | 배송  9/50 | 미활동 1 | 2홉+ 0.66 | 도달 1058 | 차단 2032
Ep 36 | Step 1000 | R   124.59 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  920 | 차단 1732
Ep 37 | Step 1000 | R    48.17 | 배송  9/50 | 미활동 1 | 2홉+ 0.68 | 도달  906 | 차단 1206
Ep 38 | Step 1000 | R    51.24 | 배송 10/50 | 미활동 0 | 2홉+ 0.69 | 도달  773 | 차단 1817
Ep 39 | Step 1000 | R    98.32 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  914 | 차단 1952
Ep 40 | Step 1000 | R    77.92 | 배송 12/50 | 미활동 1 | 2홉+ 0.67 | 도달 1027 | 차단 2235
Ep 41 | Step 1000 | R   121.33 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  772 | 차단 1706
Ep 42 | Step 1000 | R    53.25 | 배송 10/50 | 미활동 0 | 2홉+ 0.66 | 도달  727 | 차단 2657
Ep 43 | Step 1000 | R    78.29 | 배송 11/50 | 미활동 1 | 2홉+ 0.69 | 도달  800 | 차단 2123
Ep 44 | Step 1000 | R    69.92 | 배송 11/50 | 미활동 1 | 2홉+ 0.68 | 도달  831 | 차단 1714
Ep 45 | Step 1000 | R   119.59 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1033 | 차단  920
Ep 46 | Step 1000 | R    82.44 | 배송 11/50 | 미활동 1 | 2홉+ 0.72 | 도달  899 | 차단 1242
Ep 47 | Step 1000 | R    96.02 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달 1063 | 차단 1111
Ep 48 | Step 1000 | R    47.56 | 배송  9/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 1644
Ep 49 | Step 1000 | R    87.28 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  895 | 차단 2225
Ep 50 | Step 1000 | R    77.28 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1486
  [홀드아웃] 배송 12.0±3.7 미활동 0.50 2홉+ 0.71 도달 829 | 최고 12.0@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R    61.25 | 배송 10/50 | 미활동 1 | 2홉+ 0.72 | 도달 1074 | 차단 1848
Ep 52 | Step 1000 | R   101.56 | 배송 13/50 | 미활동 1 | 2홉+ 0.72 | 도달  978 | 차단 1128
Ep 53 | Step 1000 | R   107.79 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  922 | 차단 2153
Ep 54 | Step 1000 | R    64.24 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달 1003 | 차단 1256
Ep 55 | Step 1000 | R    95.38 | 배송 13/50 | 미활동 0 | 2홉+ 0.70 | 도달 1040 | 차단 1313
Ep 56 | Step 1000 | R   106.27 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달 1023 | 차단 1626
Ep 57 | Step 1000 | R    68.33 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달  924 | 차단 2655
Ep 58 | Step 1000 | R    71.07 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달  684 | 차단 2295
Ep 59 | Step 1000 | R    81.79 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  812 | 차단 2120
Ep 60 | Step 1000 | R   141.82 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  830 | 차단 1320
Ep 61 | Step 1000 | R   112.19 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  866 | 차단 1953
Ep 62 | Step 1000 | R   107.19 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 1609
Ep 63 | Step 1000 | R    75.23 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달  735 | 차단 2194
Ep 64 | Step 1000 | R    93.98 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  770 | 차단 1782
Ep 65 | Step 1000 | R   115.37 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달 1030 | 차단 1725
Ep 66 | Step 1000 | R   139.36 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  606 | 차단 1966
Ep 67 | Step 1000 | R    76.11 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  660 | 차단 2618
Ep 68 | Step 1000 | R   101.01 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1052 | 차단 1467
Ep 69 | Step 1000 | R    97.80 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  951 | 차단 2313
Ep 70 | Step 1000 | R   111.76 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  773 | 차단 1881
Ep 71 | Step 1000 | R    70.98 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  765 | 차단 2191
Ep 72 | Step 1000 | R    93.17 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  737 | 차단  959
Ep 73 | Step 1000 | R   144.54 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  895 | 차단 1705
Ep 74 | Step 1000 | R   181.26 | 배송 20/50 | 미활동 0 | 2홉+ 0.69 | 도달  996 | 차단  632
Ep 75 | Step 1000 | R   106.54 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  603 | 차단 2167
Ep 76 | Step 1000 | R    99.92 | 배송 14/50 | 미활동 1 | 2홉+ 0.70 | 도달  744 | 차단 2310
Ep 77 | Step 1000 | R   147.65 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  828 | 차단 2103
Ep 78 | Step 1000 | R   127.79 | 배송 16/50 | 미활동 0 | 2홉+ 0.59 | 도달  702 | 차단  988
Ep 79 | Step 1000 | R   161.71 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  662 | 차단 1217
Ep 80 | Step 1000 | R    62.78 | 배송 11/50 | 미활동 0 | 2홉+ 0.71 | 도달  822 | 차단 2030
Ep 81 | Step 1000 | R   107.94 | 배송 14/50 | 미활동 0 | 2홉+ 0.63 | 도달  815 | 차단 1763
Ep 82 | Step 1000 | R   128.27 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  946 | 차단 1802
Ep 83 | Step 1000 | R   114.57 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  835 | 차단 1159
Ep 84 | Step 1000 | R    98.03 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달 1074 | 차단 1360
Ep 85 | Step 1000 | R   101.54 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  969 | 차단 1384
Ep 86 | Step 1000 | R   137.46 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  906 | 차단  819
Ep 87 | Step 1000 | R   109.78 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  951 | 차단 1577
Ep 88 | Step 1000 | R   131.45 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  964 | 차단 1422
Ep 89 | Step 1000 | R   110.20 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  951 | 차단 1014
Ep 90 | Step 1000 | R   110.37 | 배송 14/50 | 미활동 0 | 2홉+ 0.63 | 도달  830 | 차단 1389
Ep 91 | Step 1000 | R    97.97 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달 1024 | 차단  968
