episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,11.1667,4.4503,0.3333,0.6381,654.2174,0,1,50000,641.9
100,5.6667,1.5986,1.0,0.5998,725.8532,0,0,100000,1487.3
150,7.5,3.3541,1.0,0.7215,675.6062,0,0,150000,2328.7
200,12.8333,4.0586,0.1667,0.7208,857.1657,0,1,200000,3174.1
250,9.6667,5.4058,0.8333,0.6089,587.7747,0,0,250000,4016.6
300,8.6667,3.9016,0.5,0.5373,585.0706,0,0,300000,4859.8
350,6.5,2.5,0.6667,0.6425,628.8162,0,0,350000,5704.0
400,10.0,2.5166,0.1667,0.5908,706.8717,0,0,400000,6545.8
450,9.8333,4.8448,0.1667,0.6831,711.5922,0,0,450000,7386.5
500,9.3333,3.7268,0.8333,0.6298,668.7309,0,0,500000,8232.2
550,9.0,3.1091,0.3333,0.561,670.2008,0,0,550000,9078.0
600,6.3333,3.1972,1.1667,0.5887,624.8898,0,0,600000,9922.6
650,7.0,2.9439,0.6667,0.6322,561.1161,0,0,650000,10765.0
700,9.1667,4.3365,0.6667,0.4719,624.1459,0,0,700000,11608.9
750,7.8333,2.3393,0.5,0.5993,629.8834,0,0,750000,12452.7
800,10.6667,3.7268,0.5,0.5802,671.1176,0,0,800000,13295.8
850,10.5,1.893,0.1667,0.6049,661.5144,0,0,850000,14139.9
900,9.3333,3.0912,0.3333,0.6852,754.9257,0,0,900000,14986.2
950,8.6667,2.357,0.5,0.4765,509.6084,0,0,950000,15830.7
