episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-37.9611,1,0.02,,3,0,1,0.433,0,130,0.419,567.4,303,0,0.1,nan,nan,1000,3.0
2,1000,-42.93,0,0.0,,4,0,0,0.0,0,27,0.3038,502.5,0,0,0.1,nan,nan,2000,4.9
3,1000,-25.5224,1,0.02,,3,0,1,0.433,0,100,0.2562,502.5,194,0,0.1,nan,nan,3000,6.7
4,1000,-43.6213,0,0.0,,4,0,0,0.0,0,76,0.3058,502.5,0,0,0.1,nan,nan,4000,8.9
5,1000,-59.4941,0,0.0,,4,0,0,0.0,0,46,0.4205,502.5,0,0,0.1,nan,nan,5000,10.7
6,1000,90.2053,14,0.28,,0,3,5,0.866,0,20,0.297,884.7,951,0,0.086126,0.804872,-1.1147,6000,23.8
7,1000,111.4677,15,0.3,,1,0,5,2.1651,0,1231,0.6178,1073.5,866,0,0.07454,0.089037,-1.339724,7000,36.2
8,1000,92.3041,13,0.26,,0,1,5,1.7854,0,1354,0.6637,1073.5,315,0,0.065301,0.788818,-1.688403,8000,49.2
9,1000,99.0,14,0.28,,0,2,5,1.5,0,1474,0.6933,1073.5,742,0,0.059588,1.865712,-2.54544,9000,61.6
10,1000,40.7377,9,0.18,,1,0,4,1.479,0,2789,0.7255,867.9,999,0,0.055858,1.648228,-3.102931,10000,73.8
11,1000,90.8676,12,0.24,,1,0,5,1.8708,0,1063,0.7155,690.2,826,0,0.051004,0.547406,-3.205571,11000,85.0
12,1000,116.6946,16,0.32,,0,3,5,1.0,0,2279,0.7157,882.6,843,0,0.04976,1.748357,-4.982589,12000,96.1
13,1000,111.8595,16,0.32,,0,3,5,1.0,0,2275,0.7137,865.9,773,0,0.049793,1.614484,-5.852036,13000,106.8
14,1000,145.8811,18,0.36,,0,4,5,0.5,0,1714,0.582,893.9,472,0,0.04871,2.300953,-6.129707,14000,117.3
