/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R   -37.96 | 배송  1/50 | 미활동 3 | 2홉+ 0.42 | 도달  567 | 차단  130
Ep 2 | Step 1000 | R   -42.93 | 배송  0/50 | 미활동 4 | 2홉+ 0.30 | 도달  502 | 차단   27
Ep 3 | Step 1000 | R   -25.52 | 배송  1/50 | 미활동 3 | 2홉+ 0.26 | 도달  502 | 차단  100
Ep 4 | Step 1000 | R   -43.62 | 배송  0/50 | 미활동 4 | 2홉+ 0.31 | 도달  502 | 차단   76
Ep 5 | Step 1000 | R   -59.49 | 배송  0/50 | 미활동 4 | 2홉+ 0.42 | 도달  502 | 차단   46
Ep 6 | Step 1000 | R    90.21 | 배송 14/50 | 미활동 0 | 2홉+ 0.30 | 도달  885 | 차단   20
Ep 7 | Step 1000 | R   111.47 | 배송 15/50 | 미활동 1 | 2홉+ 0.62 | 도달 1074 | 차단 1231
Ep 8 | Step 1000 | R    92.30 | 배송 13/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단 1354
Ep 9 | Step 1000 | R    99.00 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달 1074 | 차단 1474
Ep 10 | Step 1000 | R    40.74 | 배송  9/50 | 미활동 1 | 2홉+ 0.73 | 도달  868 | 차단 2789
Ep 11 | Step 1000 | R    90.87 | 배송 12/50 | 미활동 1 | 2홉+ 0.72 | 도달  690 | 차단 1063
Ep 12 | Step 1000 | R   116.69 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  883 | 차단 2279
Ep 13 | Step 1000 | R   111.86 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  866 | 차단 2275
Ep 14 | Step 1000 | R   145.88 | 배송 18/50 | 미활동 0 | 2홉+ 0.58 | 도달  894 | 차단 1714
Ep 15 | Step 1000 | R   115.17 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  849 | 차단 2140
Ep 16 | Step 1000 | R   111.46 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  696 | 차단 2010
Ep 17 | Step 1000 | R    82.77 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  813 | 차단 2539
Ep 18 | Step 1000 | R    52.09 | 배송 10/50 | 미활동 2 | 2홉+ 0.59 | 도달  689 | 차단 2757
Ep 19 | Step 1000 | R   102.14 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  851 | 차단 2599
Ep 20 | Step 1000 | R   104.03 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  969 | 차단 2455
