episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,6.5,2.3629,1.3333,0.7162,853.9076,0,1,50000,557.3
100,5.6667,2.6247,1.1667,0.6929,657.3592,0,0,100000,1168.0
150,8.1667,1.9508,0.5,0.605,652.7395,0,1,150000,1774.5
200,8.0,3.6515,0.8333,0.6098,579.6362,0,0,200000,2374.2
250,8.6667,2.6874,0.3333,0.7225,619.4169,0,1,250000,2971.5
300,10.6667,4.2687,0.0,0.6428,696.894,0,1,300000,3573.4
350,11.5,3.6856,0.1667,0.6921,661.0126,0,1,350000,4173.2
400,10.1667,3.5316,0.3333,0.684,643.8046,0,0,400000,4769.5
450,9.8333,2.9107,0.5,0.7011,701.2004,0,0,450000,5371.5
500,9.3333,3.2998,0.3333,0.6947,647.9616,0,0,500000,5977.9
550,9.8333,2.5441,0.1667,0.6732,653.7945,0,0,550000,6576.8
600,11.5,3.304,0.0,0.6377,668.5663,0,0,600000,7171.7
650,7.6667,3.5434,1.0,0.7186,799.813,0,0,650000,7770.9
700,8.5,3.6856,0.3333,0.6186,708.6758,0,0,700000,8369.2
750,14.0,3.266,0.0,0.6455,677.0157,0,1,750000,8971.0
800,9.8333,2.5441,0.3333,0.7017,717.357,0,0,800000,9565.9
850,8.8333,5.2095,0.8333,0.5488,561.04,0,0,850000,10165.3
900,11.1667,2.6087,0.5,0.5837,654.4463,0,0,900000,10760.2
950,9.1667,4.18,0.8333,0.6129,576.0825,0,0,950000,11359.9
1000,10.1667,2.6719,0.5,0.5664,719.9331,0,0,1000000,11943.6
1050,11.1667,3.4359,0.6667,0.6375,618.3584,0,0,1050000,12380.9
1100,8.8333,4.9805,1.0,0.4327,501.2234,0,0,1100000,12807.8
1150,8.0,2.0,0.5,0.4284,542.9248,0,0,1150000,13236.5
1200,10.3333,4.4969,0.5,0.506,541.9305,0,0,1200000,13664.9
1250,8.5,3.9476,0.6667,0.4934,505.7838,0,0,1250000,14096.2
1300,11.3333,3.2489,0.3333,0.5679,609.9789,0,0,1300000,14522.6
1350,9.8333,3.0231,0.3333,0.3837,475.6226,0,0,1350000,14952.3
1400,7.8333,2.6719,0.5,0.3491,490.0316,0,0,1400000,15377.9
1450,8.3333,3.5434,0.6667,0.4025,521.4421,0,0,1450000,15807.7
1500,10.1667,4.2197,0.3333,0.321,509.6402,0,0,1500000,16235.2
