episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-28.4408,0,0.0,,4,0,0,0.0,0,67,0.254,508.3,0,0,0.1,nan,nan,1000,2.4
2,1000,-39.2472,0,0.0,,4,0,0,0.0,0,79,0.3207,502.5,0,0,0.1,nan,nan,2000,4.5
3,1000,-55.6713,0,0.0,,4,0,0,0.0,0,47,0.1032,453.3,0,0,0.1,nan,nan,3000,6.7
4,1000,-45.0167,0,0.0,,4,0,0,0.0,0,31,0.1373,497.7,0,0,0.1,nan,nan,4000,9.0
5,1000,-52.0764,0,0.0,,4,0,0,0.0,0,67,0.2067,502.5,0,0,0.1,nan,nan,5000,11.2
6,1000,115.6255,15,0.3,,1,0,5,2.1651,0,631,0.49,988.3,865,0,0.086093,0.405117,-0.834677,6000,22.8
7,1000,115.5819,15,0.3,,0,2,5,1.0897,0,1459,0.5965,899.0,988,0,0.074349,0.381487,-1.056294,7000,34.9
8,1000,85.2175,13,0.26,,0,2,5,1.299,0,2278,0.65,953.1,998,0,0.065307,0.739951,-1.382154,8000,46.4
9,1000,106.8856,14,0.28,,0,1,5,1.6583,0,2452,0.6198,822.8,853,0,0.058074,2.175971,-1.9253,9000,57.7
10,1000,80.1336,12,0.24,,1,0,5,2.1213,0,2044,0.6677,1011.7,645,0,0.053813,0.55329,-2.581586,10000,70.1
11,1000,63.7449,10,0.2,,1,0,5,2.0616,0,2160,0.6933,968.9,940,0,0.050682,1.209754,-3.320639,11000,82.0
12,1000,131.1285,17,0.34,,0,3,5,0.8292,0,2345,0.6973,864.1,485,0,0.048897,1.454406,-4.041164,12000,94.0
13,1000,85.0077,11,0.22,,1,0,5,2.2776,0,1304,0.6847,766.0,384,0,0.048807,1.043146,-5.323301,13000,105.8
14,1000,78.3643,12,0.24,,0,1,5,2.0,0,2123,0.6238,817.7,246,0,0.051641,0.360177,-5.02453,14000,118.3
15,1000,104.0647,15,0.3,,0,2,5,1.0897,0,1993,0.7,897.4,859,0,0.053271,1.345438,-5.989188,15000,131.4
16,1000,102.7352,13,0.26,,0,1,5,1.7854,0,1547,0.7083,990.4,631,0,0.05406,1.463049,-7.487778,16000,143.4
17,1000,38.4242,9,0.18,,1,0,4,1.479,0,2834,0.4625,449.5,975,0,0.061106,1.526206,-7.686553,17000,155.4
18,1000,44.9747,10,0.2,,1,0,5,2.0616,0,2225,0.4723,537.0,169,0,0.06323,1.330973,-7.924264,18000,166.9
19,1000,104.6158,15,0.3,,0,1,5,1.6394,0,2172,0.6817,718.1,875,0,0.06245,1.453743,-8.624323,19000,178.3
20,1000,107.4822,16,0.32,,0,1,5,1.7321,0,2274,0.692,874.0,369,0,0.060341,1.383077,-8.805942,20000,190.1
21,1000,85.757,12,0.24,,0,2,5,1.2247,0,1663,0.6927,986.7,750,0,0.058316,1.611498,-10.30467,21000,201.7
22,1000,65.204,11,0.22,,1,0,5,2.2776,0,1762,0.6933,918.0,429,0,0.056681,1.574383,-10.44879,22000,214.0
23,1000,56.5903,9,0.18,,2,0,5,2.2776,0,1524,0.61,753.4,391,0,0.05751,1.705258,-10.117685,23000,226.4
24,1000,72.9289,11,0.22,,1,0,4,1.6394,0,2707,0.626,532.5,333,0,0.056849,1.479404,-10.664357,24000,238.3
25,1000,101.6239,15,0.3,,0,2,5,1.299,0,2039,0.6015,1024.4,623,0,0.058089,2.134594,-12.085516,25000,250.2
26,1000,81.0945,13,0.26,,0,1,5,1.479,0,2479,0.6062,830.9,900,0,0.055551,2.197806,-12.752157,26000,261.7
27,1000,76.6052,12,0.24,,0,1,5,2.0,0,2352,0.703,747.1,649,0,0.055268,1.327809,-12.694368,27000,273.4
28,1000,114.3448,16,0.32,,0,1,5,1.7321,0,1971,0.6548,1060.2,460,0,0.052797,1.508562,-12.634176,28000,284.6
29,1000,95.527,14,0.28,,0,2,5,1.5,0,2549,0.637,794.4,467,0,0.053764,2.469711,-13.554401,29000,296.2
