/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_angle
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=angle projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R   -28.44 | 배송  0/50 | 미활동 4 | 2홉+ 0.25 | 도달  508 | 차단   67
Ep 2 | Step 1000 | R   -39.25 | 배송  0/50 | 미활동 4 | 2홉+ 0.32 | 도달  502 | 차단   79
Ep 3 | Step 1000 | R   -55.67 | 배송  0/50 | 미활동 4 | 2홉+ 0.10 | 도달  453 | 차단   47
Ep 4 | Step 1000 | R   -45.02 | 배송  0/50 | 미활동 4 | 2홉+ 0.14 | 도달  498 | 차단   31
Ep 5 | Step 1000 | R   -52.08 | 배송  0/50 | 미활동 4 | 2홉+ 0.21 | 도달  502 | 차단   67
Ep 6 | Step 1000 | R   115.63 | 배송 15/50 | 미활동 1 | 2홉+ 0.49 | 도달  988 | 차단  631
Ep 7 | Step 1000 | R   115.58 | 배송 15/50 | 미활동 0 | 2홉+ 0.60 | 도달  899 | 차단 1459
Ep 8 | Step 1000 | R    85.22 | 배송 13/50 | 미활동 0 | 2홉+ 0.65 | 도달  953 | 차단 2278
Ep 9 | Step 1000 | R   106.89 | 배송 14/50 | 미활동 0 | 2홉+ 0.62 | 도달  823 | 차단 2452
Ep 10 | Step 1000 | R    80.13 | 배송 12/50 | 미활동 1 | 2홉+ 0.67 | 도달 1012 | 차단 2044
Ep 11 | Step 1000 | R    63.74 | 배송 10/50 | 미활동 1 | 2홉+ 0.69 | 도달  969 | 차단 2160
Ep 12 | Step 1000 | R   131.13 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  864 | 차단 2345
Ep 13 | Step 1000 | R    85.01 | 배송 11/50 | 미활동 1 | 2홉+ 0.68 | 도달  766 | 차단 1304
Ep 14 | Step 1000 | R    78.36 | 배송 12/50 | 미활동 0 | 2홉+ 0.62 | 도달  818 | 차단 2123
Ep 15 | Step 1000 | R   104.06 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  897 | 차단 1993
Ep 16 | Step 1000 | R   102.74 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  990 | 차단 1547
Ep 17 | Step 1000 | R    38.42 | 배송  9/50 | 미활동 1 | 2홉+ 0.46 | 도달  449 | 차단 2834
Ep 18 | Step 1000 | R    44.97 | 배송 10/50 | 미활동 1 | 2홉+ 0.47 | 도달  537 | 차단 2225
Ep 19 | Step 1000 | R   104.62 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달  718 | 차단 2172
Ep 20 | Step 1000 | R   107.48 | 배송 16/50 | 미활동 0 | 2홉+ 0.69 | 도달  874 | 차단 2274
Ep 21 | Step 1000 | R    85.76 | 배송 12/50 | 미활동 0 | 2홉+ 0.69 | 도달  987 | 차단 1663
Ep 22 | Step 1000 | R    65.20 | 배송 11/50 | 미활동 1 | 2홉+ 0.69 | 도달  918 | 차단 1762
Ep 23 | Step 1000 | R    56.59 | 배송  9/50 | 미활동 2 | 2홉+ 0.61 | 도달  753 | 차단 1524
Ep 24 | Step 1000 | R    72.93 | 배송 11/50 | 미활동 1 | 2홉+ 0.63 | 도달  533 | 차단 2707
Ep 25 | Step 1000 | R   101.62 | 배송 15/50 | 미활동 0 | 2홉+ 0.60 | 도달 1024 | 차단 2039
Ep 26 | Step 1000 | R    81.09 | 배송 13/50 | 미활동 0 | 2홉+ 0.61 | 도달  831 | 차단 2479
Ep 27 | Step 1000 | R    76.61 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달  747 | 차단 2352
Ep 28 | Step 1000 | R   114.34 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달 1060 | 차단 1971
Ep 29 | Step 1000 | R    95.53 | 배송 14/50 | 미활동 0 | 2홉+ 0.64 | 도달  794 | 차단 2549
Ep 30 | Step 1000 | R    91.52 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  871 | 차단 2643
Ep 31 | Step 1000 | R    94.98 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  774 | 차단 1521
Ep 32 | Step 1000 | R    91.09 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  894 | 차단 2629
Ep 33 | Step 1000 | R   126.12 | 배송 15/50 | 미활동 0 | 2홉+ 0.60 | 도달  679 | 차단 1554
Ep 34 | Step 1000 | R   136.05 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  839 | 차단 1445
Ep 35 | Step 1000 | R    86.39 | 배송 13/50 | 미활동 0 | 2홉+ 0.70 | 도달  897 | 차단 2377
Ep 36 | Step 1000 | R    98.77 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  928 | 차단 2240
Ep 37 | Step 1000 | R   120.68 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  911 | 차단 2181
Ep 38 | Step 1000 | R    63.75 | 배송 12/50 | 미활동 1 | 2홉+ 0.71 | 도달  947 | 차단 2523
Ep 39 | Step 1000 | R    96.97 | 배송 13/50 | 미활동 0 | 2홉+ 0.66 | 도달  742 | 차단 2636
Ep 40 | Step 1000 | R   113.43 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  791 | 차단 1547
Ep 41 | Step 1000 | R    66.39 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달 1022 | 차단 2307
Ep 42 | Step 1000 | R   109.54 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달 1038 | 차단 2279
Ep 43 | Step 1000 | R    46.01 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달  955 | 차단 2661
Ep 44 | Step 1000 | R   112.84 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  858 | 차단 2381
Ep 45 | Step 1000 | R    39.55 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달  870 | 차단 3054
Ep 46 | Step 1000 | R    94.89 | 배송 13/50 | 미활동 1 | 2홉+ 0.71 | 도달 1018 | 차단 2259
Ep 47 | Step 1000 | R    55.49 | 배송  9/50 | 미활동 1 | 2홉+ 0.54 | 도달  897 | 차단 1630
Ep 48 | Step 1000 | R   111.45 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  834 | 차단 1467
Ep 49 | Step 1000 | R   109.58 | 배송 15/50 | 미활동 1 | 2홉+ 0.68 | 도달  950 | 차단 1161
Ep 50 | Step 1000 | R   131.96 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  895 | 차단 1326
  [홀드아웃] 배송 6.5±2.4 미활동 1.33 2홉+ 0.72 도달 854 | 최고 6.5@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R   136.73 | 배송 16/50 | 미활동 0 | 2홉+ 0.56 | 도달  635 | 차단 1227
Ep 52 | Step 1000 | R    49.91 | 배송 10/50 | 미활동 1 | 2홉+ 0.67 | 도달  857 | 차단 2321
Ep 53 | Step 1000 | R    94.76 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  716 | 차단 1073
Ep 54 | Step 1000 | R   121.75 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  945 | 차단 1691
Ep 55 | Step 1000 | R    65.01 | 배송 10/50 | 미활동 1 | 2홉+ 0.64 | 도달  892 | 차단 1839
Ep 56 | Step 1000 | R   135.23 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  922 | 차단 1893
Ep 57 | Step 1000 | R    80.43 | 배송 12/50 | 미활동 1 | 2홉+ 0.72 | 도달  633 | 차단 2421
Ep 58 | Step 1000 | R   101.75 | 배송 14/50 | 미활동 0 | 2홉+ 0.60 | 도달 1074 | 차단 1730
Ep 59 | Step 1000 | R    84.22 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  955 | 차단 2102
Ep 60 | Step 1000 | R    86.33 | 배송 14/50 | 미활동 1 | 2홉+ 0.69 | 도달  943 | 차단 2470
Ep 61 | Step 1000 | R    43.67 | 배송 10/50 | 미활동 2 | 2홉+ 0.48 | 도달  897 | 차단 2442
Ep 62 | Step 1000 | R    54.00 | 배송 10/50 | 미활동 1 | 2홉+ 0.72 | 도달  869 | 차단 2693
Ep 63 | Step 1000 | R    52.31 | 배송 10/50 | 미활동 2 | 2홉+ 0.48 | 도달  888 | 차단 2632
Ep 64 | Step 1000 | R    75.80 | 배송 13/50 | 미활동 0 | 2홉+ 0.63 | 도달  883 | 차단 2701
Ep 65 | Step 1000 | R   108.59 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  817 | 차단 1892
Ep 66 | Step 1000 | R   112.67 | 배송 15/50 | 미활동 0 | 2홉+ 0.66 | 도달  680 | 차단 1989
Ep 67 | Step 1000 | R    40.43 | 배송  9/50 | 미활동 0 | 2홉+ 0.71 | 도달  789 | 차단 2848
Ep 68 | Step 1000 | R    72.54 | 배송 12/50 | 미활동 0 | 2홉+ 0.68 | 도달 1000 | 차단 2063
Ep 69 | Step 1000 | R    72.78 | 배송 12/50 | 미활동 0 | 2홉+ 0.70 | 도달 1065 | 차단 2667
Ep 70 | Step 1000 | R   109.86 | 배송 15/50 | 미활동 0 | 2홉+ 0.63 | 도달  920 | 차단 2188
Ep 71 | Step 1000 | R   119.26 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달  961 | 차단 2156
Ep 72 | Step 1000 | R    92.44 | 배송 13/50 | 미활동 0 | 2홉+ 0.64 | 도달  892 | 차단 2032
Ep 73 | Step 1000 | R    51.26 | 배송  9/50 | 미활동 1 | 2홉+ 0.68 | 도달  833 | 차단 1898
Ep 74 | Step 1000 | R   118.76 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달  870 | 차단 1198
Ep 75 | Step 1000 | R    81.53 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달 1033 | 차단 2368
Ep 76 | Step 1000 | R   -11.25 | 배송  5/50 | 미활동 2 | 2홉+ 0.70 | 도달  582 | 차단 3197
Ep 77 | Step 1000 | R    53.65 | 배송  9/50 | 미활동 1 | 2홉+ 0.66 | 도달  799 | 차단 2321
Ep 78 | Step 1000 | R    49.50 | 배송  8/50 | 미활동 1 | 2홉+ 0.71 | 도달 1032 | 차단 1993
Ep 79 | Step 1000 | R    26.31 | 배송  8/50 | 미활동 0 | 2홉+ 0.66 | 도달  665 | 차단 2725
Ep 80 | Step 1000 | R    73.58 | 배송 12/50 | 미활동 1 | 2홉+ 0.49 | 도달  806 | 차단 2182
Ep 81 | Step 1000 | R    83.06 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  995 | 차단 2643
Ep 82 | Step 1000 | R    64.08 | 배송 13/50 | 미활동 0 | 2홉+ 0.64 | 도달  769 | 차단 3098
Ep 83 | Step 1000 | R   114.28 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달 1019 | 차단 1512
Ep 84 | Step 1000 | R    76.68 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  946 | 차단 2399
Ep 85 | Step 1000 | R   124.70 | 배송 16/50 | 미활동 0 | 2홉+ 0.61 | 도달  877 | 차단 1246
Ep 86 | Step 1000 | R    79.05 | 배송 13/50 | 미활동 0 | 2홉+ 0.62 | 도달  845 | 차단 2353
Ep 87 | Step 1000 | R   131.55 | 배송 17/50 | 미활동 0 | 2홉+ 0.53 | 도달  839 | 차단 1668
Ep 88 | Step 1000 | R   122.13 | 배송 17/50 | 미활동 0 | 2홉+ 0.65 | 도달  727 | 차단 2041
Ep 89 | Step 1000 | R   137.49 | 배송 17/50 | 미활동 0 | 2홉+ 0.70 | 도달  790 | 차단 1668
Ep 90 | Step 1000 | R   130.72 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  696 | 차단 1485
Ep 91 | Step 1000 | R    60.60 | 배송 11/50 | 미활동 1 | 2홉+ 0.72 | 도달  845 | 차단 2776
Ep 92 | Step 1000 | R    56.21 | 배송 10/50 | 미활동 0 | 2홉+ 0.71 | 도달  798 | 차단 2230
Ep 93 | Step 1000 | R   125.55 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  768 | 차단 2323
Ep 94 | Step 1000 | R    74.69 | 배송 10/50 | 미활동 0 | 2홉+ 0.48 | 도달  600 | 차단 2170
Ep 95 | Step 1000 | R   108.06 | 배송 14/50 | 미활동 0 | 2홉+ 0.54 | 도달  780 | 차단 1861
