episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,6.8333,3.3375,1.1667,0.5874,704.2244,0,1,50000,533.0
100,5.1667,2.8529,0.8333,0.568,616.4929,0,0,100000,1135.0
150,4.8333,2.1922,1.5,0.5678,600.9252,0,0,150000,1742.6
200,7.3333,2.357,0.8333,0.5495,665.9251,0,1,200000,2344.4
250,12.8333,3.5785,0.1667,0.7242,762.5251,0,1,250000,2947.0
300,11.1667,3.6248,0.6667,0.5718,663.3871,0,0,300000,3544.8
350,11.1667,4.2197,0.3333,0.6296,638.5218,0,0,350000,4142.0
400,7.8333,2.6719,0.5,0.72,710.515,0,0,400000,4737.6
450,9.5,6.5511,1.0,0.7156,794.2524,0,0,450000,5334.3
500,10.8333,2.6719,0.5,0.6142,677.027,0,0,500000,5931.5
550,7.3333,2.5604,0.8333,0.6812,700.693,0,0,550000,6537.9
600,5.1667,2.9107,1.6667,0.5917,565.8985,0,0,600000,7136.5
650,8.6667,3.9016,0.3333,0.6862,814.2963,0,0,650000,7739.6
700,10.0,2.3805,0.5,0.7268,754.4176,0,0,700000,8342.8
750,10.6667,2.4944,0.0,0.6155,826.4251,0,0,750000,8935.2
800,10.8333,5.2095,0.5,0.635,704.8221,0,0,800000,9534.9
850,12.8333,4.7755,0.1667,0.6292,772.2849,0,0,850000,10128.0
900,7.5,4.4253,0.8333,0.5576,669.254,0,0,900000,10728.7
950,12.0,7.1647,0.3333,0.6461,710.9357,0,0,950000,11326.7
1000,8.8333,4.18,0.5,0.6848,706.9553,0,0,1000000,11928.7
