episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-43.524,1,0.02,,3,0,1,0.433,0,723,0.7117,583.4,588,0,0.1,nan,nan,1000,1.7
2,1000,2.4476,4,0.08,,2,0,3,1.2247,0,414,0.6905,614.9,119,0,0.1,nan,nan,2000,3.1
3,1000,-23.8989,1,0.02,,3,0,1,0.433,0,790,0.7115,753.6,72,0,0.1,nan,nan,3000,5.1
4,1000,-27.7067,2,0.04,,3,0,2,0.866,0,606,0.7083,631.9,756,0,0.1,nan,nan,4000,6.6
5,1000,-42.0698,1,0.02,,3,0,1,0.433,0,785,0.6985,597.6,583,0,0.1,nan,nan,5000,8.0
6,1000,173.3003,15,0.3,,0,1,6,1.9203,2,1062,0.5847,740.1,940,0,0.086129,0.051956,-1.240462,6000,14.8
7,1000,49.1539,9,0.18,,1,0,5,1.7854,0,1634,0.5463,788.8,608,0,0.075156,0.480106,-1.754973,7000,21.5
8,1000,114.0727,12,0.24,,0,1,5,1.5811,1,1487,0.3465,578.8,827,0,0.068259,1.277658,-2.723087,8000,29.3
9,1000,73.4611,12,0.24,,0,2,4,0.7071,0,1438,0.6322,622.1,834,0,0.064273,0.946718,-3.321599,9000,38.5
10,1000,118.4127,15,0.3,,0,3,5,0.8292,0,1495,0.5725,842.9,947,0,0.066194,1.104834,-3.954656,10000,49.0
11,1000,41.2695,9,0.18,,0,1,3,0.8292,0,2046,0.4343,549.6,928,0,0.069652,1.634761,-4.818941,11000,60.8
12,1000,26.4998,6,0.12,,2,0,5,2.0616,0,1572,0.4085,533.4,625,0,0.075278,1.738754,-7.425712,12000,73.4
13,1000,54.7687,10,0.2,,0,1,4,1.5,0,1719,0.4507,624.6,526,0,0.081685,1.508466,-6.818097,13000,85.0
14,1000,88.2336,13,0.26,,0,2,5,1.0897,0,1796,0.4595,669.4,997,0,0.085451,2.243699,-7.727279,14000,96.4
15,1000,65.7372,12,0.24,,0,1,5,2.0,0,1981,0.412,585.3,924,0,0.088313,1.360611,-9.171267,15000,108.5
16,1000,123.9659,16,0.32,,0,2,5,1.2247,0,1344,0.586,938.1,794,0,0.087172,2.577728,-11.466104,16000,120.0
17,1000,69.8639,13,0.26,,0,2,5,1.0897,0,2222,0.6827,1049.1,784,0,0.083744,4.747757,-11.438617,17000,131.4
18,1000,127.4424,16,0.32,,0,1,5,1.7321,0,1324,0.6428,708.8,978,0,0.082092,2.750225,-11.150261,18000,143.1
19,1000,28.7062,7,0.14,,1,0,4,1.479,0,1564,0.41,641.7,465,0,0.0813,4.607882,-12.457757,19000,155.3
20,1000,77.381,12,0.24,,1,0,5,1.8708,0,1299,0.4353,575.4,677,0,0.078439,3.19612,-12.514322,20000,166.3
21,1000,86.0394,14,0.28,,0,1,5,1.5,0,1725,0.4037,710.2,965,0,0.070387,4.062973,-14.28973,21000,177.8
22,1000,-1.9185,9,0.18,,0,1,4,1.0897,0,3541,0.7115,625.5,961,0,0.07159,2.658187,-14.053236,22000,190.2
23,1000,60.4262,14,0.28,,0,1,5,1.6583,0,3224,0.7085,937.2,625,0,0.076347,1.586308,-14.748501,23000,201.8
24,1000,91.588,16,0.32,,0,1,5,1.7321,0,2723,0.6943,828.4,575,0,0.070237,2.737717,-16.75943,24000,213.5
25,1000,26.8673,10,0.2,,0,1,4,1.118,0,2958,0.7195,1040.0,740,0,0.071872,6.619562,-15.363321,25000,225.5
26,1000,-7.9432,6,0.12,,2,0,4,1.6583,0,2881,0.6997,716.7,515,0,0.077493,2.654135,-17.001053,26000,237.5
27,1000,47.8692,10,0.2,,0,1,5,1.6583,0,2393,0.6215,1005.0,629,0,0.082807,2.415636,-20.322254,27000,249.1
28,1000,18.4407,8,0.16,,1,0,5,1.8708,0,2581,0.706,731.6,800,0,0.083796,5.898382,-21.124336,28000,260.5
29,1000,95.2151,16,0.32,,0,1,5,1.7321,0,2201,0.71,1073.5,611,0,0.085648,2.669489,-22.237186,29000,271.9
30,1000,137.1832,17,0.34,,0,2,5,1.299,0,1030,0.7175,807.5,421,0,0.084549,2.554205,-22.855129,30000,283.6
31,1000,126.7747,18,0.36,,0,4,5,0.5,0,2445,0.7017,826.7,701,0,0.083759,3.204924,-23.321232,31000,295.1
32,1000,111.5118,17,0.34,,0,2,5,1.299,0,2221,0.6315,1073.5,813,0,0.084776,5.014848,-24.341869,32000,306.8
33,1000,63.1753,12,0.24,,0,1,5,1.4142,0,2241,0.7033,831.5,937,0,0.082111,3.417839,-25.949669,33000,318.5
34,1000,94.3628,16,0.32,,0,1,5,1.7321,0,2249,0.717,958.5,645,0,0.082415,2.494538,-27.116234,34000,329.9
35,1000,60.7048,14,0.28,,0,1,5,1.6583,0,2878,0.7053,1021.7,456,0,0.083027,3.070555,-29.481411,35000,341.7
36,1000,66.781,13,0.26,,0,2,5,1.0897,0,2191,0.6983,1025.0,494,0,0.08311,4.000823,-27.589951,36000,353.3
37,1000,88.0067,16,0.32,,0,2,5,1.2247,0,2443,0.7053,1008.9,905,0,0.079104,3.51224,-28.950661,37000,364.9
38,1000,84.7795,15,0.3,,0,2,5,1.299,0,2264,0.7023,887.8,919,0,0.079787,8.090364,-32.498604,38000,376.8
39,1000,120.864,17,0.34,,0,2,5,1.299,0,1979,0.7163,973.8,597,0,0.080986,1.990232,-31.211222,39000,388.4
40,1000,79.2206,13,0.26,,0,1,5,1.7854,0,1304,0.7185,1004.8,215,0,0.077601,5.940513,-29.489927,40000,400.0
41,1000,69.1694,13,0.26,,1,0,5,2.0463,0,2572,0.7033,953.6,565,0,0.076671,3.435165,-31.367199,41000,411.8
42,1000,123.2209,17,0.34,,0,2,5,1.299,0,1877,0.6983,1033.6,658,0,0.075754,2.195581,-28.604202,42000,423.0
43,1000,125.092,17,0.34,,0,3,5,0.8292,0,1587,0.7103,977.6,994,0,0.073243,4.948071,-28.278452,43000,434.2
44,1000,104.8001,15,0.3,,0,3,5,0.8292,0,1916,0.7065,1000.7,928,0,0.071901,4.385262,-31.102177,44000,446.3
45,1000,70.2077,13,0.26,,0,1,5,1.479,0,2331,0.7095,1058.9,439,0,0.070261,2.381217,-31.076614,45000,457.9
46,1000,131.5147,18,0.36,,0,4,5,0.5,0,1891,0.7147,959.9,726,0,0.06723,2.543962,-32.449131,46000,469.8
47,1000,101.861,16,0.32,,0,2,5,1.2247,0,2483,0.7202,932.2,898,0,0.065998,4.24974,-33.072269,47000,481.6
48,1000,99.0439,16,0.32,,0,2,5,1.2247,0,2087,0.7025,1073.5,791,0,0.064891,1.945683,-34.324554,48000,493.0
49,1000,99.8679,15,0.3,,0,2,5,1.299,0,2152,0.7093,1010.0,992,0,0.065924,3.811638,-33.855606,49000,504.4
50,1000,71.3885,14,0.28,,0,2,5,1.118,0,2670,0.7087,819.8,396,0,0.066966,8.183771,-34.333305,50000,516.2
51,1000,83.0078,15,0.3,,1,0,5,2.1651,0,2517,0.7163,1040.6,854,0,0.068252,2.647753,-31.445549,51000,544.6
52,1000,110.378,17,0.34,,0,2,5,1.299,0,2123,0.6973,1073.5,746,0,0.068488,2.060299,-33.580654,52000,555.9
53,1000,79.5997,13,0.26,,0,1,5,1.479,0,1574,0.7145,1007.6,722,0,0.06986,4.377655,-35.647404,53000,566.5
54,1000,112.6328,16,0.32,,0,1,5,1.7321,0,1734,0.7175,1068.9,818,0,0.06983,6.269402,-35.485287,54000,578.0
55,1000,110.5041,15,0.3,,0,1,5,1.6394,0,1510,0.6983,876.2,679,0,0.069665,2.326498,-34.93512,55000,589.2
56,1000,107.2597,14,0.28,,0,1,5,1.6583,0,1004,0.699,1073.5,319,0,0.069621,3.145526,-36.752884,56000,599.5
57,1000,61.2337,12,0.24,,1,0,5,1.8708,0,2398,0.7075,1073.5,181,0,0.070098,4.212449,-36.14296,57000,611.9
58,1000,52.2226,12,0.24,,0,1,5,1.5811,0,2271,0.5637,963.5,695,0,0.067214,9.536722,-36.260632,58000,623.5
59,1000,105.478,17,0.34,,0,2,5,1.299,0,2475,0.7137,1044.0,850,0,0.065263,2.211765,-36.775543,59000,635.7
60,1000,97.8574,15,0.3,,0,1,5,1.6394,0,2017,0.7175,935.5,382,0,0.063457,1.90536,-40.79945,60000,647.1
61,1000,83.649,15,0.3,,0,2,5,1.299,0,2356,0.7125,1050.3,181,0,0.061365,3.097178,-35.979488,61000,658.8
62,1000,108.3132,17,0.34,,0,3,5,0.8292,0,2566,0.7225,1073.5,847,0,0.061015,2.023888,-38.463776,62000,670.5
63,1000,16.2165,9,0.18,,1,0,5,1.9203,0,3279,0.7252,1048.0,522,0,0.062154,2.978878,-39.215782,63000,681.9
64,1000,77.6194,14,0.28,,1,0,5,2.0616,0,2572,0.6845,826.3,726,0,0.063544,2.138659,-41.6287,64000,694.0
65,1000,78.9821,15,0.3,,0,2,5,1.0897,0,2707,0.7047,1008.7,700,0,0.064599,2.456257,-40.858116,65000,705.7
