/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R   -43.52 | 배송  1/50 | 미활동 3 | 2홉+ 0.71 | 도달  583 | 차단  723
Ep 2 | Step 1000 | R     2.45 | 배송  4/50 | 미활동 2 | 2홉+ 0.69 | 도달  615 | 차단  414
Ep 3 | Step 1000 | R   -23.90 | 배송  1/50 | 미활동 3 | 2홉+ 0.71 | 도달  754 | 차단  790
Ep 4 | Step 1000 | R   -27.71 | 배송  2/50 | 미활동 3 | 2홉+ 0.71 | 도달  632 | 차단  606
Ep 5 | Step 1000 | R   -42.07 | 배송  1/50 | 미활동 3 | 2홉+ 0.70 | 도달  598 | 차단  785
Ep 6 | Step 1000 | R   173.30 | 배송 15/50 | 미활동 0 | 2홉+ 0.58 | 도달  740 | 차단 1062
Ep 7 | Step 1000 | R    49.15 | 배송  9/50 | 미활동 1 | 2홉+ 0.55 | 도달  789 | 차단 1634
Ep 8 | Step 1000 | R   114.07 | 배송 12/50 | 미활동 0 | 2홉+ 0.35 | 도달  579 | 차단 1487
Ep 9 | Step 1000 | R    73.46 | 배송 12/50 | 미활동 0 | 2홉+ 0.63 | 도달  622 | 차단 1438
Ep 10 | Step 1000 | R   118.41 | 배송 15/50 | 미활동 0 | 2홉+ 0.57 | 도달  843 | 차단 1495
Ep 11 | Step 1000 | R    41.27 | 배송  9/50 | 미활동 0 | 2홉+ 0.43 | 도달  550 | 차단 2046
Ep 12 | Step 1000 | R    26.50 | 배송  6/50 | 미활동 2 | 2홉+ 0.41 | 도달  533 | 차단 1572
Ep 13 | Step 1000 | R    54.77 | 배송 10/50 | 미활동 0 | 2홉+ 0.45 | 도달  625 | 차단 1719
Ep 14 | Step 1000 | R    88.23 | 배송 13/50 | 미활동 0 | 2홉+ 0.46 | 도달  669 | 차단 1796
