episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,7.6667,2.2111,0.6667,0.6878,840.4818,0,1,50000,553.9
100,8.6667,3.3993,0.3333,0.6901,663.0599,0,1,100000,1153.8
150,6.6667,2.4944,1.0,0.6919,831.4176,0,0,150000,1754.6
200,10.0,2.3094,0.3333,0.6868,701.0197,0,1,200000,2359.3
250,7.5,3.4034,0.8333,0.7271,734.3059,0,0,250000,2968.1
300,10.5,3.5,0.0,0.6637,769.1106,0,1,300000,3570.8
350,9.6667,1.4907,0.0,0.7249,615.4088,0,0,350000,4171.9
400,10.0,3.8297,0.0,0.7203,634.2297,0,0,400000,4785.6
450,7.5,3.2016,0.5,0.6948,890.2857,0,0,450000,5394.2
500,8.5,2.4324,0.1667,0.6839,784.4684,0,0,500000,5992.7
550,9.0,3.9581,0.5,0.7157,776.6025,0,0,550000,6596.5
600,10.1667,2.4777,0.3333,0.5971,638.3276,0,0,600000,7202.1
650,10.1667,4.5977,0.0,0.5847,775.065,0,0,650000,7808.5
700,13.3333,4.8189,0.0,0.6905,773.3979,0,1,700000,8415.5
750,10.6667,3.8586,0.1667,0.6585,671.8755,0,0,750000,9023.3
800,15.3333,3.496,0.0,0.6174,744.9932,0,1,800000,9622.1
850,6.6667,2.6874,0.6667,0.7266,763.6695,0,0,850000,10233.9
900,10.5,2.9861,0.1667,0.6932,760.8354,0,0,900000,10837.8
950,10.1667,2.2669,0.3333,0.7205,686.5383,0,0,950000,11434.9
1000,9.5,2.8137,0.0,0.7251,719.9393,0,0,1000000,12009.2
1050,9.6667,1.7951,0.1667,0.7267,838.2838,0,0,1050000,12453.7
1100,9.1667,5.0139,0.5,0.6308,656.2988,0,0,1100000,12896.2
1150,9.6667,4.0689,0.1667,0.5921,653.4158,0,0,1150000,13338.9
1200,7.6667,2.0548,0.5,0.7289,841.1964,0,0,1200000,13772.2
1250,9.6667,4.6428,0.3333,0.6455,711.2695,0,0,1250000,14209.2
1300,11.8333,6.2026,0.1667,0.6561,825.0596,0,0,1300000,14651.6
1350,8.6667,3.1972,0.5,0.6864,760.1281,0,0,1350000,15094.5
1400,10.1667,3.4359,0.5,0.6557,767.4896,0,0,1400000,15539.9
1450,9.6667,2.0548,0.0,0.6489,694.6585,0,0,1450000,15979.3
1500,11.1667,3.3375,0.1667,0.675,763.0216,0,0,1500000,16392.2
1550,9.8333,3.9756,0.3333,0.646,717.9261,0,0,1550000,16842.4
