episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-43.568,0,0.0,,4,0,0,0.0,0,114,0.3872,502.5,0,0,0.1,nan,nan,1000,2.0
2,1000,-40.081,0,0.0,,4,0,0,0.0,0,178,0.4218,502.5,0,0,0.1,nan,nan,2000,3.8
3,1000,-29.2892,0,0.0,,4,0,0,0.0,0,257,0.3573,502.5,0,0,0.1,nan,nan,3000,5.5
4,1000,-49.4221,0,0.0,,4,0,0,0.0,0,228,0.378,502.5,0,0,0.1,nan,nan,4000,7.3
5,1000,-33.9741,0,0.0,,4,0,0,0.0,0,234,0.34,502.5,0,0,0.1,nan,nan,5000,9.1
6,1000,112.9627,15,0.3,,0,3,5,0.8292,0,1311,0.6785,1059.5,731,0,0.085969,1.342842,-1.139632,6000,19.0
7,1000,71.7518,12,0.24,,1,0,5,1.8708,0,1820,0.5965,840.6,630,0,0.076313,0.575851,-1.330694,7000,29.5
8,1000,65.3455,11,0.22,,1,0,5,1.7854,0,2150,0.669,752.1,679,0,0.069799,0.919663,-1.976003,8000,41.2
9,1000,113.4908,16,0.32,,0,3,5,0.7071,0,1976,0.5142,595.0,994,0,0.06486,0.180571,-2.779171,9000,53.2
10,1000,69.066,11,0.22,,0,1,5,1.479,0,1652,0.6265,867.2,446,0,0.06146,0.608509,-3.431797,10000,64.9
11,1000,114.8342,14,0.28,,0,2,6,1.6583,1,2411,0.659,898.0,751,0,0.059448,1.818627,-4.840153,11000,76.7
12,1000,99.176,11,0.22,,0,1,5,1.479,1,1988,0.461,606.0,430,0,0.057878,1.29151,-6.52934,12000,89.0
13,1000,225.1892,20,0.4,,0,1,8,2.7386,2,1310,0.5877,695.7,970,0,0.058319,2.817271,-6.463199,13000,100.2
14,1000,105.3863,14,0.28,,0,2,5,1.5,0,1489,0.6915,602.6,476,0,0.058898,1.821537,-7.305216,14000,112.1
15,1000,9.6268,6,0.12,,2,0,5,2.0616,0,1375,0.6675,512.4,786,0,0.062204,1.306346,-7.546669,15000,123.7
16,1000,7.9555,6,0.12,,2,0,4,1.6583,0,1618,0.679,613.6,862,0,0.06517,1.897636,-8.153137,16000,136.0
17,1000,6.9089,9,0.18,,0,1,3,0.8292,0,2916,0.5002,829.5,988,0,0.066538,2.898489,-10.167343,17000,147.9
18,1000,50.1421,11,0.22,,1,0,5,2.2776,0,2641,0.486,796.6,783,0,0.07266,1.304564,-9.655122,18000,160.3
19,1000,169.6828,17,0.34,,0,1,6,1.9203,1,1448,0.5262,670.8,559,0,0.076253,0.973611,-10.099896,19000,171.9
20,1000,181.018,18,0.36,,0,3,5,0.866,1,1581,0.6695,754.9,928,0,0.068348,1.582143,-10.25543,20000,184.5
21,1000,2.0781,7,0.14,,2,0,4,1.7854,0,2737,0.6835,916.7,910,0,0.066748,1.903668,-11.948931,21000,196.6
22,1000,-11.3453,6,0.12,,2,0,3,1.5,0,2937,0.474,767.4,262,0,0.068365,1.584835,-12.266882,22000,208.3
23,1000,75.8254,14,0.28,,0,2,5,1.118,0,2325,0.6947,1028.8,534,0,0.067259,3.937833,-13.055584,23000,220.0
