/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R   -43.57 | 배송  0/50 | 미활동 4 | 2홉+ 0.39 | 도달  502 | 차단  114
Ep 2 | Step 1000 | R   -40.08 | 배송  0/50 | 미활동 4 | 2홉+ 0.42 | 도달  502 | 차단  178
Ep 3 | Step 1000 | R   -29.29 | 배송  0/50 | 미활동 4 | 2홉+ 0.36 | 도달  502 | 차단  257
Ep 4 | Step 1000 | R   -49.42 | 배송  0/50 | 미활동 4 | 2홉+ 0.38 | 도달  502 | 차단  228
Ep 5 | Step 1000 | R   -33.97 | 배송  0/50 | 미활동 4 | 2홉+ 0.34 | 도달  502 | 차단  234
Ep 6 | Step 1000 | R   112.96 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달 1060 | 차단 1311
Ep 7 | Step 1000 | R    71.75 | 배송 12/50 | 미활동 1 | 2홉+ 0.60 | 도달  841 | 차단 1820
Ep 8 | Step 1000 | R    65.35 | 배송 11/50 | 미활동 1 | 2홉+ 0.67 | 도달  752 | 차단 2150
Ep 9 | Step 1000 | R   113.49 | 배송 16/50 | 미활동 0 | 2홉+ 0.51 | 도달  595 | 차단 1976
Ep 10 | Step 1000 | R    69.07 | 배송 11/50 | 미활동 0 | 2홉+ 0.63 | 도달  867 | 차단 1652
Ep 11 | Step 1000 | R   114.83 | 배송 14/50 | 미활동 0 | 2홉+ 0.66 | 도달  898 | 차단 2411
Ep 12 | Step 1000 | R    99.18 | 배송 11/50 | 미활동 0 | 2홉+ 0.46 | 도달  606 | 차단 1988
Ep 13 | Step 1000 | R   225.19 | 배송 20/50 | 미활동 0 | 2홉+ 0.59 | 도달  696 | 차단 1310
Ep 14 | Step 1000 | R   105.39 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  603 | 차단 1489
Ep 15 | Step 1000 | R     9.63 | 배송  6/50 | 미활동 2 | 2홉+ 0.67 | 도달  512 | 차단 1375
Ep 16 | Step 1000 | R     7.96 | 배송  6/50 | 미활동 2 | 2홉+ 0.68 | 도달  614 | 차단 1618
Ep 17 | Step 1000 | R     6.91 | 배송  9/50 | 미활동 0 | 2홉+ 0.50 | 도달  829 | 차단 2916
Ep 18 | Step 1000 | R    50.14 | 배송 11/50 | 미활동 1 | 2홉+ 0.49 | 도달  797 | 차단 2641
Ep 19 | Step 1000 | R   169.68 | 배송 17/50 | 미활동 0 | 2홉+ 0.53 | 도달  671 | 차단 1448
Ep 20 | Step 1000 | R   181.02 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  755 | 차단 1581
Ep 21 | Step 1000 | R     2.08 | 배송  7/50 | 미활동 2 | 2홉+ 0.68 | 도달  917 | 차단 2737
Ep 22 | Step 1000 | R   -11.35 | 배송  6/50 | 미활동 2 | 2홉+ 0.47 | 도달  767 | 차단 2937
Ep 23 | Step 1000 | R    75.83 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달 1029 | 차단 2325
Ep 24 | Step 1000 | R   132.83 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  959 | 차단 1963
Ep 25 | Step 1000 | R    66.32 | 배송 12/50 | 미활동 0 | 2홉+ 0.73 | 도달 1002 | 차단 2643
Ep 26 | Step 1000 | R    21.33 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달  805 | 차단 2696
Ep 27 | Step 1000 | R    76.92 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  997 | 차단 2201
Ep 28 | Step 1000 | R    10.11 | 배송  9/50 | 미활동 0 | 2홉+ 0.72 | 도달  896 | 차단 3081
Ep 29 | Step 1000 | R    63.63 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달  951 | 차단 2165
Ep 30 | Step 1000 | R    30.67 | 배송  9/50 | 미활동 1 | 2홉+ 0.71 | 도달  965 | 차단 2421
Ep 31 | Step 1000 | R    86.24 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  943 | 차단 2069
Ep 32 | Step 1000 | R   150.69 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달 1000 | 차단 1010
Ep 33 | Step 1000 | R    80.82 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달 1052 | 차단 1896
Ep 34 | Step 1000 | R   112.76 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  849 | 차단 1766
Ep 35 | Step 1000 | R   109.49 | 배송 12/50 | 미활동 1 | 2홉+ 0.61 | 도달  776 | 차단 1396
Ep 36 | Step 1000 | R   105.80 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  832 | 차단 1946
Ep 37 | Step 1000 | R    12.24 | 배송  8/50 | 미활동 1 | 2홉+ 0.67 | 도달  858 | 차단 2620
Ep 38 | Step 1000 | R   -23.53 | 배송  5/50 | 미활동 2 | 2홉+ 0.48 | 도달  713 | 차단 2495
Ep 39 | Step 1000 | R    90.99 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  963 | 차단 2003
Ep 40 | Step 1000 | R    22.74 | 배송  8/50 | 미활동 0 | 2홉+ 0.48 | 도달  804 | 차단 1895
Ep 41 | Step 1000 | R    94.24 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  957 | 차단 1453
Ep 42 | Step 1000 | R   131.36 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  911 | 차단 2398
Ep 43 | Step 1000 | R   147.48 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  888 | 차단 1876
Ep 44 | Step 1000 | R   174.78 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  899 | 차단 1361
