episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,9.8333,2.1148,0.1667,0.7255,805.8736,0,1,50000,780.6
100,5.1667,2.5441,1.0,0.6878,586.9627,0,0,100000,1629.5
150,4.5,3.6856,2.0,0.465,531.3775,0,0,150000,2482.3
200,7.6667,4.4222,1.1667,0.5192,625.1393,0,0,200000,3330.9
250,10.8333,6.0392,0.5,0.6371,703.5529,0,1,250000,4185.3
300,8.0,2.0817,0.5,0.727,690.3725,0,0,300000,5039.0
350,8.3333,3.5901,1.1667,0.7286,832.9185,0,0,350000,5890.9
400,8.6667,3.5901,0.3333,0.7302,835.6718,0,0,400000,6744.0
450,10.3333,4.2295,0.1667,0.6678,757.5989,0,0,450000,7596.3
500,11.0,4.7258,0.6667,0.7137,698.7588,0,1,500000,8448.0
550,11.8333,5.3671,0.5,0.6594,841.8686,0,1,550000,9299.4
600,12.8333,2.3393,0.1667,0.6337,690.0103,0,1,600000,10152.6
650,11.8333,3.3375,0.3333,0.6175,624.34,0,0,650000,11007.2
700,7.1667,3.2872,1.0,0.7227,727.6688,0,0,700000,11860.6
750,9.6667,4.0689,0.5,0.6606,720.4434,0,0,750000,12708.5
800,6.3333,2.6247,0.5,0.7009,672.6161,0,0,800000,13561.3
850,9.0,3.6968,0.3333,0.6555,655.8862,0,0,850000,14416.2
900,10.8333,3.7156,0.5,0.6216,705.7752,0,0,900000,15265.0
950,9.8333,4.6338,0.0,0.6688,698.978,0,0,950000,16008.3
1000,11.0,4.2426,0.5,0.603,637.0863,0,0,1000000,16579.2
1050,11.0,2.5166,0.1667,0.6479,707.1581,0,0,1050000,16936.1
1100,7.0,2.3094,0.5,0.7137,655.4941,0,0,1100000,17245.9
1150,11.8333,3.5785,0.3333,0.7027,674.6115,0,0,1150000,17558.5
1200,13.8333,5.8713,0.6667,0.4993,597.185,0,1,1200000,17873.5
1250,9.1667,3.8478,0.6667,0.5615,727.1112,0,0,1250000,18183.8
1300,10.8333,4.7052,0.5,0.5608,654.4445,0,0,1300000,18494.1
1350,7.5,2.4324,0.6667,0.6295,573.963,0,0,1350000,18805.5
1400,7.1667,3.0777,0.3333,0.7143,626.4656,0,0,1400000,19115.9
1450,10.8333,3.6248,0.1667,0.7227,675.5759,0,0,1450000,19429.3
1500,10.3333,4.9889,0.5,0.6033,589.5824,0,0,1500000,19742.3
1550,8.1667,3.8909,0.8333,0.6817,855.7104,0,0,1550000,20055.9
1600,8.1667,3.8042,0.8333,0.6895,678.9693,0,0,1600000,20364.9
1650,11.3333,6.0736,0.5,0.5435,641.6472,0,0,1650000,20670.5
1700,10.8333,2.9107,0.3333,0.7157,696.506,0,0,1700000,20985.3
1750,8.0,3.4157,0.1667,0.5063,557.6915,0,0,1750000,21297.2
1800,7.8333,3.7602,0.5,0.5624,609.5977,0,0,1800000,21609.0
1850,12.1667,4.3748,0.1667,0.6403,645.8684,0,0,1850000,21921.7
1900,8.8333,3.2872,0.5,0.6735,631.942,0,0,1900000,22231.8
1950,12.6667,7.6956,0.3333,0.6544,846.9163,0,0,1950000,22544.5
