episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-95.7552,0,0.0,,4,0,0,0.0,0,380,0.7053,505.4,0,0,0.1,nan,nan,1000,3.1
2,1000,-75.5896,0,0.0,,4,0,0,0.0,0,432,0.707,529.1,0,0,0.1,nan,nan,2000,6.1
3,1000,-102.2196,0,0.0,,4,0,0,0.0,0,594,0.706,508.3,0,0,0.1,nan,nan,3000,9.2
4,1000,-93.6445,0,0.0,,4,0,0,0.0,0,432,0.709,503.0,0,0,0.1,nan,nan,4000,12.2
5,1000,-96.69,0,0.0,,4,0,0,0.0,0,438,0.7043,506.4,0,0,0.1,nan,nan,5000,15.2
6,1000,105.3267,15,0.3,,0,1,5,1.6394,0,1650,0.678,1073.5,895,0,0.086204,1.027916,-0.674834,6000,32.3
7,1000,118.7333,17,0.34,,0,2,5,1.299,0,2274,0.6873,716.4,990,0,0.079533,3.349683,-1.38201,7000,49.1
8,1000,59.2131,11,0.22,,1,0,5,1.9203,0,2079,0.5457,867.4,751,0,0.069785,1.198882,-1.586721,8000,65.6
9,1000,-31.8608,4,0.08,,2,0,3,1.2247,0,3150,0.7265,587.8,878,0,0.064428,1.05663,-2.433281,9000,82.5
10,1000,94.6947,14,0.28,,0,2,5,1.118,0,1980,0.7305,1073.5,935,0,0.05898,0.684054,-3.209677,10000,99.2
11,1000,46.1231,12,0.24,,0,2,4,0.7071,0,2951,0.7185,1003.2,395,0,0.054079,0.788947,-3.839601,11000,116.2
12,1000,53.5575,12,0.24,,0,1,4,1.2247,0,2825,0.714,806.0,433,0,0.052895,0.687105,-5.102015,12000,133.0
13,1000,24.9649,9,0.18,,0,1,3,0.8292,0,2757,0.7177,1024.5,284,0,0.055633,0.805171,-6.275479,13000,149.6
14,1000,55.2541,12,0.24,,0,2,5,1.2247,0,2687,0.7133,1073.5,480,0,0.059884,2.037307,-7.4713,14000,166.1
15,1000,49.055,12,0.24,,0,1,5,1.5811,0,2919,0.7055,1024.8,226,0,0.060452,1.518135,-7.912919,15000,182.8
16,1000,143.9464,18,0.36,,0,3,5,0.866,0,1580,0.657,938.3,558,0,0.06194,1.342837,-9.07914,16000,199.4
17,1000,34.9191,10,0.2,,0,1,4,1.118,0,2811,0.6985,1010.3,872,0,0.064263,0.74106,-9.195063,17000,215.9
18,1000,81.6288,15,0.3,,1,0,5,2.1651,0,2595,0.6985,1035.2,188,0,0.068027,1.759954,-9.893101,18000,232.6
19,1000,26.6243,10,0.2,,1,0,5,1.8028,0,2895,0.7113,1061.3,353,0,0.074338,1.711571,-10.371216,19000,249.1
20,1000,146.6336,20,0.4,,0,5,5,0.0,0,2450,0.7127,898.2,371,0,0.0747,1.234365,-12.062044,20000,265.5
21,1000,77.5571,13,0.26,,0,1,5,1.479,0,2191,0.7117,1057.2,589,0,0.074544,0.86089,-11.297091,21000,282.1
22,1000,56.4879,13,0.26,,0,1,5,1.479,0,2431,0.7123,897.4,879,0,0.073772,1.12665,-12.557306,22000,299.1
23,1000,28.8224,10,0.2,,0,1,4,1.118,0,2964,0.7127,862.6,120,0,0.074665,2.343352,-13.595906,23000,316.2
24,1000,130.9225,19,0.38,,0,4,5,0.433,0,2437,0.6937,896.9,980,0,0.076568,1.17455,-13.046594,24000,332.1
25,1000,99.5132,17,0.34,,0,3,5,0.8292,0,2677,0.7153,710.7,800,0,0.075227,1.266309,-13.902239,25000,346.8
26,1000,76.3857,14,0.28,,1,0,5,2.0616,0,2191,0.6927,874.0,296,0,0.071103,2.494111,-14.747611,26000,363.2
27,1000,132.7462,18,0.36,,0,3,5,0.866,0,2152,0.7063,878.2,374,0,0.066884,1.540569,-14.842191,27000,379.8
28,1000,119.9835,18,0.36,,0,4,5,0.5,0,2524,0.5175,715.5,238,0,0.058723,0.915971,-15.193853,28000,396.5
29,1000,17.8759,7,0.14,,0,1,2,0.433,0,1997,0.6515,928.0,273,0,0.054331,1.52773,-15.885168,29000,413.4
30,1000,142.2131,18,0.36,,0,3,5,0.866,0,1810,0.6927,791.3,715,0,0.053381,1.42619,-15.875969,30000,430.0
31,1000,120.2817,15,0.3,,0,1,5,1.6394,0,1533,0.5308,599.1,302,0,0.052194,1.551688,-14.914082,31000,446.5
32,1000,152.4279,17,0.34,,0,3,5,0.8292,1,1895,0.557,695.2,935,0,0.050616,1.19663,-15.581099,32000,463.0
33,1000,74.3362,14,0.28,,0,2,5,1.5,0,2800,0.7238,739.8,260,0,0.0528,2.297378,-16.928154,33000,479.5
34,1000,79.5963,12,0.24,,0,1,5,2.0,0,1655,0.517,642.8,180,0,0.052941,1.146931,-16.260914,34000,496.2
35,1000,103.5091,17,0.34,,0,3,5,0.8292,0,2816,0.7163,727.5,904,0,0.052549,2.310905,-17.183035,35000,512.7
36,1000,219.4768,21,0.42,,0,5,6,0.433,1,1023,0.6837,833.8,825,0,0.052231,1.030411,-17.229969,36000,529.2
37,1000,27.1313,9,0.18,,1,0,5,1.9203,0,2573,0.6205,619.5,411,0,0.053136,0.898033,-18.975868,37000,545.4
38,1000,57.79,12,0.24,,0,1,5,1.5811,0,2458,0.7147,752.5,680,0,0.053753,1.742461,-19.686666,38000,561.8
39,1000,124.9367,18,0.36,,0,4,5,0.5,0,2242,0.654,829.6,766,0,0.05331,1.719349,-19.452574,39000,578.5
40,1000,163.0007,17,0.34,,0,2,5,1.299,1,1628,0.7127,851.0,618,0,0.051855,0.764409,-19.968464,40000,594.7
41,1000,94.3351,16,0.32,,0,3,5,0.7071,0,2608,0.701,954.8,582,0,0.052428,1.69566,-19.18331,41000,611.8
42,1000,60.4214,13,0.26,,0,2,4,0.8292,0,2833,0.567,670.2,970,0,0.052188,1.149571,-18.879866,42000,628.9
43,1000,29.8047,9,0.18,,0,1,5,1.6394,0,2278,0.7083,763.8,605,0,0.054556,1.822987,-19.1194,43000,645.6
44,1000,160.007,20,0.4,,0,5,5,0.0,0,1689,0.6235,678.7,594,0,0.055321,1.654509,-20.251278,44000,662.0
45,1000,82.5483,12,0.24,,0,2,5,1.2247,0,1363,0.5527,598.3,288,0,0.055073,1.213948,-19.66214,45000,678.3
