/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R   -95.76 | 배송  0/50 | 미활동 4 | 2홉+ 0.71 | 도달  505 | 차단  380
Ep 2 | Step 1000 | R   -75.59 | 배송  0/50 | 미활동 4 | 2홉+ 0.71 | 도달  529 | 차단  432
Ep 3 | Step 1000 | R  -102.22 | 배송  0/50 | 미활동 4 | 2홉+ 0.71 | 도달  508 | 차단  594
Ep 4 | Step 1000 | R   -93.64 | 배송  0/50 | 미활동 4 | 2홉+ 0.71 | 도달  503 | 차단  432
Ep 5 | Step 1000 | R   -96.69 | 배송  0/50 | 미활동 4 | 2홉+ 0.70 | 도달  506 | 차단  438
Ep 6 | Step 1000 | R   105.33 | 배송 15/50 | 미활동 0 | 2홉+ 0.68 | 도달 1074 | 차단 1650
Ep 7 | Step 1000 | R   118.73 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  716 | 차단 2274
Ep 8 | Step 1000 | R    59.21 | 배송 11/50 | 미활동 1 | 2홉+ 0.55 | 도달  867 | 차단 2079
Ep 9 | Step 1000 | R   -31.86 | 배송  4/50 | 미활동 2 | 2홉+ 0.73 | 도달  588 | 차단 3150
Ep 10 | Step 1000 | R    94.69 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 1980
Ep 11 | Step 1000 | R    46.12 | 배송 12/50 | 미활동 0 | 2홉+ 0.72 | 도달 1003 | 차단 2951
Ep 12 | Step 1000 | R    53.56 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  806 | 차단 2825
Ep 13 | Step 1000 | R    24.96 | 배송  9/50 | 미활동 0 | 2홉+ 0.72 | 도달 1024 | 차단 2757
Ep 14 | Step 1000 | R    55.25 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달 1074 | 차단 2687
Ep 15 | Step 1000 | R    49.05 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달 1025 | 차단 2919
Ep 16 | Step 1000 | R   143.95 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달  938 | 차단 1580
Ep 17 | Step 1000 | R    34.92 | 배송 10/50 | 미활동 0 | 2홉+ 0.70 | 도달 1010 | 차단 2811
Ep 18 | Step 1000 | R    81.63 | 배송 15/50 | 미활동 1 | 2홉+ 0.70 | 도달 1035 | 차단 2595
Ep 19 | Step 1000 | R    26.62 | 배송 10/50 | 미활동 1 | 2홉+ 0.71 | 도달 1061 | 차단 2895
Ep 20 | Step 1000 | R   146.63 | 배송 20/50 | 미활동 0 | 2홉+ 0.71 | 도달  898 | 차단 2450
Ep 21 | Step 1000 | R    77.56 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달 1057 | 차단 2191
Ep 22 | Step 1000 | R    56.49 | 배송 13/50 | 미활동 0 | 2홉+ 0.71 | 도달  897 | 차단 2431
Ep 23 | Step 1000 | R    28.82 | 배송 10/50 | 미활동 0 | 2홉+ 0.71 | 도달  863 | 차단 2964
Ep 24 | Step 1000 | R   130.92 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  897 | 차단 2437
Ep 25 | Step 1000 | R    99.51 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  711 | 차단 2677
Ep 26 | Step 1000 | R    76.39 | 배송 14/50 | 미활동 1 | 2홉+ 0.69 | 도달  874 | 차단 2191
Ep 27 | Step 1000 | R   132.75 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  878 | 차단 2152
Ep 28 | Step 1000 | R   119.98 | 배송 18/50 | 미활동 0 | 2홉+ 0.52 | 도달  716 | 차단 2524
Ep 29 | Step 1000 | R    17.88 | 배송  7/50 | 미활동 0 | 2홉+ 0.65 | 도달  928 | 차단 1997
Ep 30 | Step 1000 | R   142.21 | 배송 18/50 | 미활동 0 | 2홉+ 0.69 | 도달  791 | 차단 1810
Ep 31 | Step 1000 | R   120.28 | 배송 15/50 | 미활동 0 | 2홉+ 0.53 | 도달  599 | 차단 1533
Ep 32 | Step 1000 | R   152.43 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달  695 | 차단 1895
Ep 33 | Step 1000 | R    74.34 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  740 | 차단 2800
Ep 34 | Step 1000 | R    79.60 | 배송 12/50 | 미활동 0 | 2홉+ 0.52 | 도달  643 | 차단 1655
Ep 35 | Step 1000 | R   103.51 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  728 | 차단 2816
Ep 36 | Step 1000 | R   219.48 | 배송 21/50 | 미활동 0 | 2홉+ 0.68 | 도달  834 | 차단 1023
Ep 37 | Step 1000 | R    27.13 | 배송  9/50 | 미활동 1 | 2홉+ 0.62 | 도달  620 | 차단 2573
Ep 38 | Step 1000 | R    57.79 | 배송 12/50 | 미활동 0 | 2홉+ 0.71 | 도달  752 | 차단 2458
Ep 39 | Step 1000 | R   124.94 | 배송 18/50 | 미활동 0 | 2홉+ 0.65 | 도달  830 | 차단 2242
Ep 40 | Step 1000 | R   163.00 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  851 | 차단 1628
Ep 41 | Step 1000 | R    94.34 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  955 | 차단 2608
Ep 42 | Step 1000 | R    60.42 | 배송 13/50 | 미활동 0 | 2홉+ 0.57 | 도달  670 | 차단 2833
Ep 43 | Step 1000 | R    29.80 | 배송  9/50 | 미활동 0 | 2홉+ 0.71 | 도달  764 | 차단 2278
Ep 44 | Step 1000 | R   160.01 | 배송 20/50 | 미활동 0 | 2홉+ 0.62 | 도달  679 | 차단 1689
Ep 45 | Step 1000 | R    82.55 | 배송 12/50 | 미활동 0 | 2홉+ 0.55 | 도달  598 | 차단 1363
Ep 46 | Step 1000 | R   121.65 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  868 | 차단 2009
Ep 47 | Step 1000 | R    42.78 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  740 | 차단 2493
Ep 48 | Step 1000 | R   152.80 | 배송 19/50 | 미활동 0 | 2홉+ 0.61 | 도달  778 | 차단 1558
Ep 49 | Step 1000 | R   126.57 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  708 | 차단 1337
Ep 50 | Step 1000 | R   106.15 | 배송 16/50 | 미활동 0 | 2홉+ 0.73 | 도달  811 | 차단 2180
  [홀드아웃] 배송 9.8±2.1 미활동 0.17 2홉+ 0.73 도달 806 | 최고 9.8@ep50 | 정체 0/15  ← 최고 갱신
Ep 51 | Step 1000 | R   160.94 | 배송 17/50 | 미활동 0 | 2홉+ 0.66 | 도달  577 | 차단 1796
Ep 52 | Step 1000 | R    98.30 | 배송 14/50 | 미활동 0 | 2홉+ 0.61 | 도달  752 | 차단 1459
Ep 53 | Step 1000 | R   127.87 | 배송 18/50 | 미활동 0 | 2홉+ 0.62 | 도달  922 | 차단 2035
Ep 54 | Step 1000 | R    88.33 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  800 | 차단 2340
Ep 55 | Step 1000 | R    91.44 | 배송 13/50 | 미활동 0 | 2홉+ 0.57 | 도달  764 | 차단 1524
Ep 56 | Step 1000 | R   173.52 | 배송 16/50 | 미활동 0 | 2홉+ 0.63 | 도달  760 | 차단  582
Ep 57 | Step 1000 | R    65.17 | 배송 13/50 | 미활동 0 | 2홉+ 0.69 | 도달  765 | 차단 2401
Ep 58 | Step 1000 | R   176.94 | 배송 19/50 | 미활동 0 | 2홉+ 0.69 | 도달  764 | 차단 2075
Ep 59 | Step 1000 | R   -68.51 | 배송  2/50 | 미활동 2 | 2홉+ 0.49 | 도달  877 | 차단 3623
Ep 60 | Step 1000 | R   114.41 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  740 | 차단 1827
Ep 61 | Step 1000 | R   194.29 | 배송 19/50 | 미활동 0 | 2홉+ 0.70 | 도달  851 | 차단 1235
Ep 62 | Step 1000 | R   100.54 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  994 | 차단 1402
Ep 63 | Step 1000 | R   105.20 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달 1002 | 차단 1829
Ep 64 | Step 1000 | R   211.07 | 배송 22/50 | 미활동 0 | 2홉+ 0.69 | 도달  942 | 차단 1753
Ep 65 | Step 1000 | R   141.21 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  781 | 차단 1385
Ep 66 | Step 1000 | R   104.14 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  738 | 차단 1233
Ep 67 | Step 1000 | R    62.33 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달 1037 | 차단 2523
Ep 68 | Step 1000 | R   131.42 | 배송 17/50 | 미활동 0 | 2홉+ 0.55 | 도달  717 | 차단 1634
Ep 69 | Step 1000 | R   212.05 | 배송 21/50 | 미활동 0 | 2홉+ 0.69 | 도달  766 | 차단 1119
Ep 70 | Step 1000 | R   293.55 | 배송 25/50 | 미활동 0 | 2홉+ 0.56 | 도달  854 | 차단  778
Ep 71 | Step 1000 | R   246.37 | 배송 21/50 | 미활동 0 | 2홉+ 0.66 | 도달  783 | 차단  765
Ep 72 | Step 1000 | R   153.13 | 배송 19/50 | 미활동 0 | 2홉+ 0.68 | 도달  759 | 차단 1475
Ep 73 | Step 1000 | R   139.08 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달  608 | 차단 1393
Ep 74 | Step 1000 | R   177.85 | 배송 19/50 | 미활동 0 | 2홉+ 0.66 | 도달  844 | 차단 1892
Ep 75 | Step 1000 | R   183.62 | 배송 19/50 | 미활동 0 | 2홉+ 0.58 | 도달  885 | 차단 1841
Ep 76 | Step 1000 | R   201.59 | 배송 22/50 | 미활동 0 | 2홉+ 0.69 | 도달  870 | 차단 1879
Ep 77 | Step 1000 | R   114.42 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  786 | 차단 1128
Ep 78 | Step 1000 | R   207.55 | 배송 20/50 | 미활동 0 | 2홉+ 0.66 | 도달  875 | 차단  978
Ep 79 | Step 1000 | R   198.45 | 배송 20/50 | 미활동 0 | 2홉+ 0.70 | 도달  911 | 차단 1371
Ep 80 | Step 1000 | R   131.09 | 배송 19/50 | 미활동 0 | 2홉+ 0.73 | 도달  980 | 차단 2158
Ep 81 | Step 1000 | R   146.47 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달  716 | 차단  628
Ep 82 | Step 1000 | R   179.54 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달  864 | 차단 1785
Ep 83 | Step 1000 | R   157.53 | 배송 19/50 | 미활동 0 | 2홉+ 0.68 | 도달  981 | 차단 1239
Ep 84 | Step 1000 | R   188.91 | 배송 19/50 | 미활동 0 | 2홉+ 0.67 | 도달  814 | 차단 1262
Ep 85 | Step 1000 | R   219.77 | 배송 19/50 | 미활동 0 | 2홉+ 0.66 | 도달  802 | 차단 1610
Ep 86 | Step 1000 | R   292.71 | 배송 21/50 | 미활동 0 | 2홉+ 0.51 | 도달  940 | 차단  747
Ep 87 | Step 1000 | R   133.80 | 배송 17/50 | 미활동 0 | 2홉+ 0.60 | 도달  762 | 차단 1155
Ep 88 | Step 1000 | R   277.85 | 배송 24/50 | 미활동 0 | 2홉+ 0.61 | 도달  814 | 차단 1087
Ep 89 | Step 1000 | R   175.42 | 배송 18/50 | 미활동 0 | 2홉+ 0.51 | 도달  566 | 차단 1122
Ep 90 | Step 1000 | R   195.65 | 배송 20/50 | 미활동 0 | 2홉+ 0.64 | 도달  819 | 차단 1593
Ep 91 | Step 1000 | R   128.66 | 배송 16/50 | 미활동 0 | 2홉+ 0.60 | 도달  798 | 차단 1164
Ep 92 | Step 1000 | R   176.31 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달  969 | 차단 1403
Ep 93 | Step 1000 | R   129.97 | 배송 18/50 | 미활동 0 | 2홉+ 0.66 | 도달  748 | 차단 2138
Ep 94 | Step 1000 | R   184.64 | 배송 18/50 | 미활동 0 | 2홉+ 0.58 | 도달  657 | 차단  501
Ep 95 | Step 1000 | R   229.34 | 배송 20/50 | 미활동 0 | 2홉+ 0.60 | 도달  840 | 차단 1480
Ep 96 | Step 1000 | R   205.63 | 배송 20/50 | 미활동 0 | 2홉+ 0.56 | 도달  966 | 차단 1431
Ep 97 | Step 1000 | R   123.81 | 배송 17/50 | 미활동 0 | 2홉+ 0.62 | 도달  714 | 차단 1723
Ep 98 | Step 1000 | R    35.53 | 배송  9/50 | 미활동 0 | 2홉+ 0.71 | 도달  652 | 차단 2247
Ep 99 | Step 1000 | R   -75.93 | 배송  2/50 | 미활동 2 | 2홉+ 0.49 | 도달  526 | 차단 3634
Ep 100 | Step 1000 | R   199.12 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달  755 | 차단 1406
  [홀드아웃] 배송 5.2±2.5 미활동 1.00 2홉+ 0.69 도달 587 | 최고 9.8@ep50 | 정체 1/15
Ep 101 | Step 1000 | R   241.70 | 배송 21/50 | 미활동 0 | 2홉+ 0.56 | 도달  820 | 차단 1548
Ep 102 | Step 1000 | R   127.31 | 배송 14/50 | 미활동 0 | 2홉+ 0.49 | 도달  731 | 차단 1679
Ep 103 | Step 1000 | R   116.68 | 배송 16/50 | 미활동 0 | 2홉+ 0.65 | 도달  959 | 차단 1764
Ep 104 | Step 1000 | R    70.70 | 배송 13/50 | 미활동 1 | 2홉+ 0.62 | 도달  721 | 차단 2567
Ep 105 | Step 1000 | R   226.30 | 배송 21/50 | 미활동 0 | 2홉+ 0.60 | 도달  812 | 차단 1073
Ep 106 | Step 1000 | R   -12.90 | 배송  8/50 | 미활동 0 | 2홉+ 0.71 | 도달  747 | 차단 3410
Ep 107 | Step 1000 | R   277.47 | 배송 21/50 | 미활동 0 | 2홉+ 0.56 | 도달  806 | 차단 1749
Ep 108 | Step 1000 | R   234.64 | 배송 22/50 | 미활동 0 | 2홉+ 0.57 | 도달  863 | 차단 2165
Ep 109 | Step 1000 | R    19.02 | 배송  9/50 | 미활동 1 | 2홉+ 0.72 | 도달  687 | 차단 2722
Ep 110 | Step 1000 | R    86.82 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  872 | 차단 3185
Ep 111 | Step 1000 | R   239.96 | 배송 21/50 | 미활동 0 | 2홉+ 0.63 | 도달  689 | 차단 1554
Ep 112 | Step 1000 | R   130.93 | 배송 18/50 | 미활동 0 | 2홉+ 0.68 | 도달  716 | 차단 1983
Ep 113 | Step 1000 | R    59.39 | 배송 12/50 | 미활동 1 | 2홉+ 0.31 | 도달  628 | 차단 2411
Ep 114 | Step 1000 | R   239.97 | 배송 20/50 | 미활동 0 | 2홉+ 0.54 | 도달  884 | 차단 1132
Ep 115 | Step 1000 | R   263.20 | 배송 20/50 | 미활동 0 | 2홉+ 0.58 | 도달  824 | 차단 1519
Ep 116 | Step 1000 | R    79.88 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  682 | 차단 2781
Ep 117 | Step 1000 | R   176.54 | 배송 17/50 | 미활동 0 | 2홉+ 0.61 | 도달  785 | 차단 1482
