episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,8.6667,2.6247,0.5,0.7234,729.3813,0,1,50000,787.6
100,7.3333,3.5901,0.8333,0.6472,651.9856,0,0,100000,1648.0
150,3.1667,2.1922,1.8333,0.486,678.8554,0,0,150000,2508.5
200,13.1667,4.3748,0.1667,0.7123,796.302,0,1,200000,3371.0
250,14.6667,3.7712,0.1667,0.6305,724.0141,0,1,250000,4225.8
300,10.1667,1.8634,0.0,0.65,803.2516,0,0,300000,5087.5
350,10.3333,4.7493,0.1667,0.6582,838.8213,0,0,350000,5942.6
400,7.6667,3.1447,0.6667,0.73,826.259,0,0,400000,6799.0
450,12.0,1.9149,0.1667,0.7089,753.7184,0,0,450000,7656.7
500,10.1667,1.9508,0.8333,0.6864,795.8924,0,0,500000,8512.7
550,10.8333,2.1148,0.1667,0.7182,711.4946,0,0,550000,9366.8
600,12.6667,3.7712,0.1667,0.716,771.6458,0,0,600000,10225.8
650,10.0,3.3665,0.1667,0.7204,722.6704,0,0,650000,11081.5
700,12.0,3.6056,0.0,0.6555,725.2324,0,0,700000,11941.3
750,10.3333,3.3993,0.3333,0.7195,688.8072,0,0,750000,12801.6
800,7.8333,3.0231,0.3333,0.7262,701.8978,0,0,800000,13662.2
850,13.3333,3.3993,0.1667,0.5504,659.8043,0,0,850000,14517.7
900,11.1667,4.9469,0.1667,0.657,644.4951,0,0,900000,15376.4
950,11.3333,4.9216,0.3333,0.716,739.8959,0,0,950000,16107.5
1000,8.8333,3.5316,0.5,0.7193,612.4956,0,0,1000000,16668.1
