episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,12.7501,8,0.16,,0,1,4,1.2247,0,196,0.22,614.9,999,0,0.1,nan,nan,1000,3.3
2,1000,18.6899,7,0.14,,2,0,4,1.7854,0,396,0.1918,593.2,983,0,0.1,nan,nan,2000,6.4
3,1000,82.6576,11,0.22,,1,0,4,1.6394,0,372,0.4308,853.1,850,0,0.1,nan,nan,3000,9.4
4,1000,66.9342,11,0.22,,0,1,5,1.479,0,246,0.3935,956.0,929,0,0.1,nan,nan,4000,12.4
5,1000,-0.6565,6,0.12,,1,0,4,1.5,0,29,0.162,578.0,934,0,0.1,nan,nan,5000,15.4
6,1000,131.2525,17,0.34,,0,3,5,0.8292,0,1160,0.6375,1073.5,881,0,0.086968,0.833669,-1.576601,6000,32.4
7,1000,65.1901,11,0.22,,1,0,5,2.2776,0,1909,0.467,747.2,592,0,0.079572,1.237216,-2.338589,7000,49.2
8,1000,10.0303,7,0.14,,1,0,3,1.299,0,2229,0.4858,572.3,991,0,0.078715,1.238469,-4.386962,8000,66.3
9,1000,104.4939,16,0.32,,0,3,5,1.0,0,2269,0.6975,825.7,902,0,0.076917,1.722773,-5.648831,9000,82.7
10,1000,139.3125,16,0.32,,0,1,5,1.7321,0,1278,0.5595,853.4,589,0,0.075741,1.563791,-6.317692,10000,99.7
11,1000,85.7925,15,0.3,,0,1,5,1.6394,0,2706,0.6292,956.5,894,0,0.077964,1.794717,-7.465463,11000,116.6
12,1000,146.7339,19,0.38,,0,4,5,0.433,0,1173,0.5975,718.6,680,0,0.07847,1.752722,-8.161931,12000,133.5
13,1000,161.0542,18,0.36,,0,3,5,0.866,0,903,0.6907,806.5,875,0,0.077316,2.056061,-8.563108,13000,149.6
