/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R    12.75 | 배송  8/50 | 미활동 0 | 2홉+ 0.22 | 도달  615 | 차단  196
Ep 2 | Step 1000 | R    18.69 | 배송  7/50 | 미활동 2 | 2홉+ 0.19 | 도달  593 | 차단  396
Ep 3 | Step 1000 | R    82.66 | 배송 11/50 | 미활동 1 | 2홉+ 0.43 | 도달  853 | 차단  372
Ep 4 | Step 1000 | R    66.93 | 배송 11/50 | 미활동 0 | 2홉+ 0.39 | 도달  956 | 차단  246
Ep 5 | Step 1000 | R    -0.66 | 배송  6/50 | 미활동 1 | 2홉+ 0.16 | 도달  578 | 차단   29
Ep 6 | Step 1000 | R   131.25 | 배송 17/50 | 미활동 0 | 2홉+ 0.64 | 도달 1074 | 차단 1160
Ep 7 | Step 1000 | R    65.19 | 배송 11/50 | 미활동 1 | 2홉+ 0.47 | 도달  747 | 차단 1909
Ep 8 | Step 1000 | R    10.03 | 배송  7/50 | 미활동 1 | 2홉+ 0.49 | 도달  572 | 차단 2229
Ep 9 | Step 1000 | R   104.49 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  826 | 차단 2269
Ep 10 | Step 1000 | R   139.31 | 배송 16/50 | 미활동 0 | 2홉+ 0.56 | 도달  853 | 차단 1278
Ep 11 | Step 1000 | R    85.79 | 배송 15/50 | 미활동 0 | 2홉+ 0.63 | 도달  957 | 차단 2706
Ep 12 | Step 1000 | R   146.73 | 배송 19/50 | 미활동 0 | 2홉+ 0.60 | 도달  719 | 차단 1173
