episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,15.8333,2.1922,0.0,0.6344,984.8247,0,1,50000,628.4
100,11.5,2.7538,0.0,0.6916,994.9608,0,0,100000,1314.2
150,13.8333,2.6719,0.1667,0.6507,1025.8826,0,0,150000,1994.3
200,12.3333,2.2111,0.0,0.7029,1004.6848,0,0,200000,2674.6
250,12.5,1.3844,0.1667,0.7082,999.8512,0,0,250000,3355.5
300,5.5,2.0616,0.8333,0.7115,1041.3059,0,0,300000,4036.5
350,11.5,4.4253,0.3333,0.7065,990.2372,0,0,350000,4713.6
400,12.8333,3.1314,0.5,0.7072,1070.1208,0,0,400000,5394.5
450,10.1667,3.7156,0.3333,0.6733,1051.7485,0,0,450000,6075.5
500,12.1667,4.5246,0.3333,0.706,1004.6712,0,0,500000,6758.2
550,12.8333,5.8428,0.3333,0.6821,1009.3972,0,0,550000,7443.3
600,13.6667,3.0912,0.0,0.7001,1032.994,0,0,600000,8130.4
650,13.0,4.2032,0.0,0.6988,987.3724,0,0,650000,8809.4
700,11.3333,3.9016,0.3333,0.6883,1053.3925,0,0,700000,9492.0
750,12.6667,2.5604,0.1667,0.6645,1031.5484,0,0,750000,10183.0
800,12.6667,2.5604,0.0,0.6634,1000.4407,0,0,800000,10876.7
