episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,-114.5977,0,0.0,,4,0,0,0.0,0,0,0.0135,502.5,0,0,0.1,nan,nan,1000,2.0
2,1000,-83.1736,0,0.0,,4,0,0,0.0,0,0,0.0457,502.5,0,0,0.1,nan,nan,2000,3.8
3,1000,-79.4322,0,0.0,,4,0,0,0.0,0,0,0.0278,502.5,0,0,0.1,nan,nan,3000,5.9
4,1000,-58.3254,0,0.0,,4,0,0,0.0,0,0,0.061,502.5,0,0,0.1,nan,nan,4000,8.2
5,1000,-83.4564,0,0.0,,4,0,0,0.0,0,0,0.0295,502.5,0,0,0.1,nan,nan,5000,10.5
6,1000,-29.204,6,0.12,,1,0,2,0.866,0,348,0.5505,1073.5,724,0,0.086152,0.065224,0.155897,6000,25.8
7,1000,101.0669,15,0.3,,0,1,5,1.6394,0,351,0.4622,1072.1,570,0,0.07381,0.352975,-0.079515,7000,39.4
8,1000,95.8692,14,0.28,,0,3,5,0.866,0,577,0.5645,1073.5,953,0,0.063681,0.422006,-0.344953,8000,52.8
9,1000,89.2341,13,0.26,,0,2,5,1.0897,0,1198,0.6062,1052.6,583,0,0.055321,0.61198,-0.474368,9000,66.8
10,1000,77.1972,13,0.26,,0,1,5,1.7854,0,585,0.665,1048.2,180,0,0.05,0.932553,-0.95328,10000,80.3
11,1000,108.436,16,0.32,,0,2,5,1.2247,0,1309,0.6645,1073.5,845,0,0.05,0.835309,-1.412375,11000,93.7
12,1000,97.1715,14,0.28,,1,0,5,2.0616,0,1505,0.6575,1073.5,291,0,0.05,0.334318,-1.57093,12000,106.8
13,1000,126.658,15,0.3,,0,2,5,1.0897,0,530,0.6687,1045.5,239,0,0.05,0.805919,-1.905737,13000,120.3
14,1000,34.0387,10,0.2,,1,0,5,1.8028,0,1932,0.6813,1025.6,727,0,0.05,0.605627,-2.448636,14000,133.7
15,1000,54.7311,11,0.22,,1,0,5,2.2776,0,1144,0.6627,1073.5,248,0,0.05,1.316521,-3.97173,15000,147.4
16,1000,117.5981,17,0.34,,0,2,5,1.299,0,1438,0.657,1073.5,233,0,0.05,2.477957,-4.096511,16000,160.3
17,1000,96.0825,14,0.28,,0,1,5,1.5,0,739,0.6597,1073.5,894,0,0.05,0.893532,-4.963345,17000,173.7
18,1000,120.1316,16,0.32,,0,2,5,1.2247,0,1236,0.6633,1064.6,560,0,0.05,2.199167,-5.841411,18000,186.7
19,1000,101.5944,15,0.3,,0,1,5,1.6394,0,977,0.6787,1063.7,510,0,0.05,1.68439,-6.055029,19000,200.4
20,1000,116.7174,17,0.34,,0,3,5,0.8292,0,1727,0.655,1073.5,275,0,0.05,1.208223,-6.036212,20000,213.2
21,1000,148.6241,20,0.4,,0,5,5,0.0,0,1480,0.4397,1073.5,961,0,0.05,1.927655,-6.854603,21000,226.9
22,1000,96.0188,15,0.3,,0,2,5,1.0897,0,2325,0.647,996.5,689,0,0.05,0.686064,-6.517498,22000,239.9
23,1000,112.0124,15,0.3,,0,2,5,1.299,0,1142,0.6837,997.1,360,0,0.05,3.959529,-6.753541,23000,253.7
24,1000,95.0735,13,0.26,,0,1,4,1.299,0,1500,0.6755,1069.2,868,0,0.05,2.799386,-8.192959,24000,267.7
25,1000,155.3363,18,0.36,,0,4,5,0.5,0,1007,0.5627,1003.1,335,0,0.05,1.745042,-9.074412,25000,280.9
26,1000,127.4906,16,0.32,,0,3,5,0.7071,0,781,0.5697,1073.5,829,0,0.05,3.725471,-7.929195,26000,294.4
27,1000,96.2424,15,0.3,,0,2,5,1.0897,0,2155,0.658,1073.5,306,0,0.05,1.89221,-7.783226,27000,308.3
28,1000,98.4117,14,0.28,,0,1,5,1.6583,0,1001,0.6375,1073.5,595,0,0.05,3.54049,-9.683498,28000,321.3
29,1000,105.0629,14,0.28,,0,3,4,0.5,0,953,0.6472,1073.5,431,0,0.05,1.063085,-9.852509,29000,335.1
30,1000,141.0049,17,0.34,,0,3,5,0.8292,0,995,0.6158,1073.5,787,0,0.05,0.624834,-9.3629,30000,348.3
31,1000,103.9785,15,0.3,,0,2,5,1.299,0,1380,0.5645,1073.5,961,0,0.05,2.231626,-10.344492,31000,361.5
32,1000,137.4381,17,0.34,,0,3,5,0.8292,0,1398,0.6548,986.6,737,0,0.05,2.924804,-11.234344,32000,374.5
33,1000,123.7266,15,0.3,,1,0,5,2.1651,0,516,0.4587,1007.4,418,0,0.05,1.23922,-10.615889,33000,387.5
34,1000,159.5242,19,0.38,,0,4,5,0.433,0,719,0.6185,1073.5,694,0,0.05,1.312945,-10.365709,34000,401.0
35,1000,123.9282,16,0.32,,0,3,5,0.7071,0,787,0.603,995.6,880,0,0.05,0.8358,-11.622045,35000,414.4
36,1000,136.6106,17,0.34,,0,2,5,1.299,0,265,0.492,1070.4,904,0,0.05,0.977515,-12.074929,36000,428.0
37,1000,232.3292,21,0.42,,0,5,6,0.433,1,216,0.582,1004.2,933,0,0.05,1.021381,-11.186354,37000,441.3
38,1000,209.2528,19,0.38,,0,3,6,1.0897,1,325,0.5165,1062.7,979,0,0.05,1.012435,-11.672928,38000,454.9
39,1000,146.1885,18,0.36,,0,3,5,0.866,0,959,0.6643,1070.1,504,0,0.05,1.030374,-11.114714,39000,467.8
40,1000,168.4304,19,0.38,,0,4,5,0.433,0,288,0.5703,1013.2,701,0,0.05,0.775005,-10.724016,40000,480.7
41,1000,89.3276,14,0.28,,0,1,5,1.6583,0,2291,0.6352,946.6,914,0,0.05,1.688846,-11.385952,41000,493.9
42,1000,125.5908,16,0.32,,0,1,5,1.7321,0,645,0.666,984.4,453,0,0.05,1.034079,-11.656749,42000,507.3
43,1000,129.2636,17,0.34,,0,3,5,0.8292,0,1474,0.6382,999.0,601,0,0.05,0.924797,-11.247507,43000,520.5
44,1000,125.3651,17,0.34,,0,2,5,1.299,0,1409,0.6488,968.9,540,0,0.05,0.95983,-11.052124,44000,533.4
45,1000,154.0977,19,0.38,,0,4,5,0.433,0,529,0.6032,964.9,295,0,0.05,1.33561,-11.556082,45000,546.9
46,1000,122.8465,15,0.3,,0,2,5,1.299,0,609,0.5613,815.8,196,0,0.05,0.944583,-10.748173,46000,560.0
47,1000,155.0645,18,0.36,,0,3,5,0.866,0,517,0.677,1017.9,753,0,0.05,0.578166,-12.730381,47000,574.0
48,1000,163.7466,20,0.4,,0,5,5,0.0,0,600,0.6745,1049.9,656,0,0.05,1.987996,-13.440487,48000,587.0
49,1000,119.6746,15,0.3,,0,1,5,1.6394,0,287,0.6767,1068.5,365,0,0.05,1.322722,-12.071831,49000,600.4
50,1000,143.0834,18,0.36,,0,4,5,0.5,0,1072,0.6603,1037.4,477,0,0.05,1.13649,-12.933353,50000,613.9
51,1000,121.0898,15,0.3,,0,2,5,1.299,0,307,0.668,1051.1,324,0,0.05,0.706293,-13.067802,51000,641.6
52,1000,153.738,18,0.36,,0,3,5,0.866,0,70,0.6825,1073.5,801,0,0.05,1.04784,-13.05407,52000,654.7
53,1000,128.8612,17,0.34,,0,2,5,1.299,0,267,0.6673,1070.0,972,0,0.05,1.125051,-12.594589,53000,668.8
54,1000,164.8186,19,0.38,,0,4,5,0.433,0,816,0.584,1073.5,638,0,0.05,1.198045,-13.761554,54000,681.8
55,1000,143.3393,18,0.36,,0,3,5,0.866,0,809,0.641,967.2,481,0,0.05,1.058544,-12.582554,55000,695.3
56,1000,169.6993,19,0.38,,0,4,5,0.433,0,323,0.6913,870.9,538,0,0.05,0.919976,-13.572233,56000,709.7
57,1000,125.3547,16,0.32,,0,1,5,1.7321,0,157,0.6625,1056.2,966,0,0.05,0.452965,-13.821852,57000,723.4
58,1000,125.1704,15,0.3,,0,1,5,1.6394,0,624,0.653,992.1,865,0,0.05,0.757276,-14.556592,58000,736.7
59,1000,160.9339,20,0.4,,0,5,5,0.0,0,617,0.6462,910.5,717,0,0.05,1.320705,-14.204838,59000,749.9
60,1000,180.1209,20,0.4,,0,5,5,0.0,0,172,0.5327,983.6,815,0,0.05,0.962763,-14.703783,60000,763.2
61,1000,156.962,19,0.38,,0,4,5,0.433,0,567,0.514,964.8,449,0,0.05,0.831078,-14.025408,61000,776.4
