/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_e1_alpha
설정: relay_w=0.0 alpha_min=0.05 relay_credit=False n_peers=2
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 1 | Step 1000 | R  -114.60 | 배송  0/50 | 미활동 4 | 2홉+ 0.01 | 도달  502 | 차단    0
Ep 2 | Step 1000 | R   -83.17 | 배송  0/50 | 미활동 4 | 2홉+ 0.05 | 도달  502 | 차단    0
Ep 3 | Step 1000 | R   -79.43 | 배송  0/50 | 미활동 4 | 2홉+ 0.03 | 도달  502 | 차단    0
Ep 4 | Step 1000 | R   -58.33 | 배송  0/50 | 미활동 4 | 2홉+ 0.06 | 도달  502 | 차단    0
Ep 5 | Step 1000 | R   -83.46 | 배송  0/50 | 미활동 4 | 2홉+ 0.03 | 도달  502 | 차단    0
Ep 6 | Step 1000 | R   -29.20 | 배송  6/50 | 미활동 1 | 2홉+ 0.55 | 도달 1074 | 차단  348
Ep 7 | Step 1000 | R   101.07 | 배송 15/50 | 미활동 0 | 2홉+ 0.46 | 도달 1072 | 차단  351
Ep 8 | Step 1000 | R    95.87 | 배송 14/50 | 미활동 0 | 2홉+ 0.56 | 도달 1074 | 차단  577
Ep 9 | Step 1000 | R    89.23 | 배송 13/50 | 미활동 0 | 2홉+ 0.61 | 도달 1053 | 차단 1198
Ep 10 | Step 1000 | R    77.20 | 배송 13/50 | 미활동 0 | 2홉+ 0.67 | 도달 1048 | 차단  585
Ep 11 | Step 1000 | R   108.44 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달 1074 | 차단 1309
Ep 12 | Step 1000 | R    97.17 | 배송 14/50 | 미활동 1 | 2홉+ 0.66 | 도달 1074 | 차단 1505
