episode,delivered,delivered_sd,idle_drones,hop2plus,max_reach,comm_loss,is_best,env_steps,wall_sec
50,11.1667,3.9756,0.3333,0.3565,729.4854,0,1,50000,642.1
100,12.8333,2.5441,0.3333,0.4212,869.237,0,1,100000,1334.6
150,7.8333,2.1148,0.8333,0.3803,665.1983,0,0,150000,2029.4
200,10.1667,3.8909,0.8333,0.211,647.4091,0,0,200000,2727.6
250,10.3333,5.1532,0.6667,0.2786,724.1816,0,0,250000,3424.9
300,14.5,2.4324,0.0,0.2747,711.6389,0,1,300000,4117.9
350,9.8333,4.2197,1.1667,0.3591,790.4348,0,0,350000,4814.7
400,14.8333,3.2872,0.0,0.5451,982.5637,0,1,400000,5511.8
450,12.5,3.0957,0.3333,0.5971,974.2849,0,0,450000,6204.0
500,16.8333,2.9674,0.0,0.4575,881.2614,0,1,500000,6900.8
550,13.3333,3.496,0.1667,0.5608,870.695,0,0,550000,7596.5
600,17.3333,2.8674,0.1667,0.5364,946.4377,0,1,600000,8294.0
650,14.6667,3.5434,0.0,0.5237,920.7763,0,0,650000,8992.0
700,13.3333,5.2175,0.0,0.412,781.3366,0,0,700000,9682.7
750,13.6667,3.7712,0.0,0.5174,936.185,0,0,750000,10379.2
800,15.8333,1.0672,0.1667,0.3209,898.1742,0,0,800000,11045.8
850,12.3333,4.5704,0.6667,0.3215,747.0402,0,0,850000,11649.4
900,12.6667,6.6999,0.3333,0.4224,699.6022,0,0,900000,12227.3
950,14.1667,3.3375,0.3333,0.4682,810.4962,0,0,950000,12768.9
1000,14.0,5.2281,0.3333,0.4171,781.5195,0,0,1000000,13314.0
1050,14.0,3.4157,0.5,0.2985,678.5796,0,0,1050000,13863.0
1100,15.3333,3.9016,0.1667,0.3506,901.4605,0,0,1100000,14409.4
1150,11.3333,3.5901,0.3333,0.3296,704.9593,0,0,1150000,14954.6
1200,14.0,3.559,0.3333,0.1756,668.6445,0,0,1200000,15449.3
1250,14.1667,2.7938,0.1667,0.2167,656.3196,0,0,1250000,15868.9
1300,12.8333,6.568,0.8333,0.3667,761.021,0,0,1300000,16282.0
1350,11.6667,4.3461,0.5,0.2289,802.2225,0,0,1350000,16692.9
