episode,steps,reward,delivered,completion_rate,makespan,idle_drones,deliv_min,deliv_max,deliv_std,reloads,blocked,hop2plus,max_reach,t_last_deliv,comm_loss,alpha,loss_critic,loss_actor,env_steps,wall_sec
1,1000,40.1139,9,0.18,,1,0,5,1.9203,0,45,0.2028,590.7,844,0,0.1,nan,nan,1000,2.3
2,1000,46.8253,9,0.18,,1,0,5,1.9203,0,55,0.2863,794.6,805,0,0.1,nan,nan,2000,4.4
3,1000,17.1256,8,0.16,,2,0,5,2.1213,0,12,0.2823,649.3,906,0,0.1,nan,nan,3000,6.7
4,1000,40.293,10,0.2,,1,0,5,2.0616,0,354,0.2953,892.7,867,0,0.1,nan,nan,4000,9.0
5,1000,65.808,10,0.2,,1,0,5,2.0616,0,131,0.2818,661.4,841,0,0.1,nan,nan,5000,11.5
6,1000,-51.1747,0,0.0,,4,0,0,0.0,0,4,0.0895,514.1,0,0,0.08683,2.739403,-1.708826,6000,24.9
7,1000,78.5368,11,0.22,,1,0,4,1.6394,0,58,0.1842,706.6,963,0,0.079676,1.581777,-3.053472,7000,38.6
8,1000,126.0213,16,0.32,,0,2,5,1.2247,0,175,0.378,797.4,984,0,0.076764,1.709458,-5.238647,8000,52.2
9,1000,101.5316,12,0.24,,0,1,5,1.4142,0,189,0.3262,802.7,983,0,0.075841,0.497396,-5.915875,9000,66.3
10,1000,192.0837,20,0.4,,0,5,5,0.0,0,157,0.461,807.3,767,0,0.074113,1.576956,-6.416368,10000,80.2
11,1000,119.1576,15,0.3,,0,3,5,0.8292,0,887,0.5445,994.9,979,0,0.071084,2.365152,-7.252272,11000,93.6
12,1000,149.154,17,0.34,,0,3,5,0.8292,0,301,0.5025,960.4,833,0,0.06783,1.579036,-8.50626,12000,107.5
13,1000,159.8967,20,0.4,,0,5,5,0.0,0,573,0.4843,821.6,504,0,0.067441,3.020556,-8.461618,13000,121.3
14,1000,137.3852,17,0.34,,0,3,5,0.8292,0,550,0.5138,1040.2,608,0,0.067929,1.892266,-8.647534,14000,135.0
15,1000,129.7746,17,0.34,,0,2,5,1.299,0,464,0.5693,768.4,710,0,0.065876,3.288239,-8.790735,15000,148.2
16,1000,138.5306,17,0.34,,0,2,5,1.299,0,974,0.5837,951.4,743,0,0.060943,2.043705,-8.36587,16000,162.1
17,1000,110.3345,15,0.3,,0,1,5,1.6394,0,580,0.5653,1067.4,968,0,0.058793,5.120001,-9.728133,17000,175.6
18,1000,58.4028,10,0.2,,0,1,4,1.118,0,2032,0.4385,884.0,868,0,0.059135,3.11162,-9.584981,18000,189.3
19,1000,141.7873,16,0.32,,0,1,5,1.7321,0,263,0.331,800.0,961,0,0.058867,2.074735,-8.963741,19000,202.6
20,1000,38.5494,7,0.14,,2,0,5,2.0463,0,938,0.4512,624.1,828,0,0.058618,2.369454,-8.89305,20000,216.3
21,1000,112.3687,14,0.28,,0,2,5,1.118,0,1052,0.3663,1073.5,894,0,0.059123,7.193434,-8.853409,21000,230.1
22,1000,75.6553,11,0.22,,0,1,5,1.479,0,1047,0.434,1073.5,659,0,0.059543,4.799611,-9.649739,22000,244.0
